item,name,positionItem,position,start,end
Q112175182,Gerónimo-Carlos Osa Osa Nzang,Q112174407,Fishing and Water Resources,2020,
Q55200319,Jose Esono Micha,Q112174408,Foreign Affairs,2004,
Q112128474,Victoriana Nchama Nsue,Q112174408,Foreign Affairs,2004,
Q55200319,Jose Esono Micha,Q112174408,"Foreign Affairs, International Cooperation and Francophone Affairs",2008,
Q112128474,Victoriana Nchama Nsue Okomo,Q112174408,Foreign Affairs and Cooperation,2012,
Q112128474,Victoriana Nchama Nsue Okomo,Q112174408,Foreign Affairs and Cooperation,2013,
Q112175231,Pedro Nguema Ndong,Q112174408,Foreign Affairs and Cooperation,2020,
Q112175229,Pedro Abaga Esono,Q112174409,Health,2004,
Q112175213,Maria Vida Asue Ndong,Q112174409,Health and Social Welfare,2008,
Q112175225,Miguel Obiang Abeso,Q112174409,Health and Social Welfare,2012,
Q112175248,Victor Sima Oyana,Q112174409,Health and Social Welfare,2013,
Q112175166,Dámaso Mitoha Ondo'O Ayecaba,Q112174409,Health and Social Welfare,2018,
Q112175166,Dámaso Mitoha Ondo'O Ayecaba,Q112174409,Health and Social Welfare,2020,
Q112175194,Jose Maria Ondo Oyono,Q112174410,Industry and Energy,2018,
Q112175154,Cesar Aguado Hinestrosa Gomez,Q112174410,Industry and Energy,2020,
Q112175234,Purificación Opo Barila,Q112174412,"Information, Culture and Tourism",2008,
Q112133397,Federico Abaga Ondó,Q112174412,"Information, Press and Radio",2012,
Q112175195,Jose Mba Obama Bendomo,Q112174412,"Information, Press and Radio",2013,
Q112175249,Virgilio Seriche Riloha,Q112174412,"Information, Press and Radio",2018,
Q112175140,Atalia Modesta Baha Ondo,Q112174412,"Information, Press and Radio",2020,
Q112175203,Leocadio Ndong Moñung,Q112174413,Interior and Local Corporations,2008,
Q112162989,Jeremias Ondó Ngomo,Q112174413,Interior and Local Corporations,2012,
Q112162989,Jeremias Ondó Ngomo,Q112174413,Interior and Local Corporations,2013,
Q112128491,Mauricio Asumu Bokung,Q112174414,Justice,2004,
Q112175215,Martin Ndong Nsue,Q112174414,"Justice, Religion and Penitentiary Services",2008,
Q112133236,Antonio-Pascual Oko Ebobo,Q112174414,"Justice, Religion and Penitentiary Services",2013,
Q112175199,Juan Obama Mba,Q112174415,Labour and Social Security,2003,
Q112175144,Basilio Abá,Q112174415,Labour and Social Security,2004,
Q112133776,Santiago Esua Nko,Q112174415,Labour and Social Securuty,2008,
Q112175189,Isidoro Eyi Monsuy Andeme,Q112174415,Labour and Social Security,2012,
Q112133562,Secundino Nvono Avomo,Q112174415,Labour and Social Security,2013,
Q112175206,Manuel Cristobal Morgades Ichaka,Q112174415,"Labour, Promotion of Employment and Social Security",2018,
Q45042829,Gabriel Mbega Obiang Lima,Q112174418,Mines,2004,
Q45042829,Gabriel Mbega Lima,Q112174418,"Mines, Industry and Energy",2008,
Q112175129,Agapito Edu Ndong,Q112174418,Mines and Hydrocarbons,2018,
Q112175241,Santiago Mba Eneme Nsuga,Q112174418,Mines and Hydrocarbons,2020,
Q112175138,Antonio Obama Ndong,Q112174419,National Defence,2008,
Q112175163,Daniel Ncogo Ncogo,Q112174419,National Defence,2012,
Q112175163,Daniel Ncogo Ncogo,Q112174419,National Defence,2013,
Q103916282,Victoriano Bibang Nsue Okomo,Q112174419,National Defence,2018,
Q112175162,Cándido Ncogo Engono Nchama,Q112174419,National Defence,2020,
Q112175158,Col Francisco Edu Ngua,Q112174420,National Security,2003,
Q112175176,Francisco Edu Ngua,Q112174420,National Security,2008,
Q112133252,Juan-Antonio Bibang Nchuchuma,Q112174420,National Security,2012,
Q63442033,Juan Ndong Nguema,Q112174420,National Security,2013,
Q112175139,Armando Dougan Champion,Q112174434,"of the Presidency of the Republic, in charge of Ceremonies and Translat",2018,
Q112133235,Antonio Javier Nguema Nchama,Q112174421,Deputy Minister of Planning and Economic Development,2001,
Q103916241,Carlos Nsue Otong,Q112174421,Planning,2004,
Q112175214,Martin Crisantos Esono Edjo,Q112174421,"Planning, Economic Development and Public Investment",2008,
Q112175246,Valentin Ela Maye,Q112174421,"Planning, Economic Development and Public Investment",2012,
Q112163010,Purificación Buari Lasaquero,Q112174422,Public Service and Administrative Planning,2008,
Q112175142,Baltasar Esono Eworo Nfono,Q112174422,Public Administration and Administrative Reform,2012,
Q112133712,Amparo Mele Kolifa,Q112174422,Public Administration and Administrative Reform,2013,
Q112175242,Santiago Nsobeya Barreiros,Q112174422,Public Administration and Administrative Reform,2018,
Q112175242,Santiago Nsobeya Barreiros,Q112174422,Public Administration and Administrative Reform,2020,
Q112175132,Alejandro Micha Nsue,Q112174423,Public Works and Infrastructures,2008,
Q112133445,Reginaldo Asu Mangue,Q112174423,Public Works and Infrastructures,2012,
Q112133571,Enrique Ovono Ondó,Q112174423,Public Works and Infrastructures,2013,
Q112133571,Enrique Ovono Ondo,Q112174423,"Public Works, Housing and Urbanism",2018,
Q112175228,Pascual Ondo Nse Oyana,Q112174423,"Public Works, Housing and Town Planning",2020,
Q112133389,Consuelo Ondó Nsang,Q112174424,Social and Women’s Affairs,2012,
Q112133389,Consuelo Ondó Nsang,Q112174424,Social Affairs and Gender Equality,2013,
Q112175168,Esperanza Gestrudis Davies Eiso,Q112174424,Social Affairs and Gender Equality,2018,
Q112133417,Jeronimo Osa Osa Ekoro,Q112174425,Tourism,2004,
Q112133572,Domingo Mba Esono,Q112174426,Trade and the Promotion of Small and Medium-sized Businesses,2020,
Q112175223,Miguel Eyanga Djoba Malango,Q112174571,Transport and Telecommunications,2004,
Q112175190,Isidoro Eyi Monsuy Aneme,Q112174571,"Transport, Technology, Posts and Telecommunications",2008,
Q112175192,Joaquin Elema Borengue,Q112174571,Transports,2012,
Q112175152,Carmelo Martin Modu Ebuka,Q112174571,Transports,2013,
Q112175187,Hipólito Ondo Nvo Bela,Q112174571,"Transports, Posts and Telecommunications",2018,
Q112175188,Honorato Evita Oma,Q112174571,"Transport, the Postal Service and Telecommunications",2020,
Q112175208,Manuel Cristóbal Morgades Ichaca,Q112174431,"Work, Employment Promotion and Social Security",2020,
Q112175205,Manuel Asumu Cawan,Q112174432,Youth and Sports,2012,
Q112175209,Manuel Sabino Asumu Cawan,Q112174432,Youth and Sports,2013,
Q108426370,Miguel Oyono Ndong Mifumu,Q112162701,First Deputy PM,1999,
Q112128490,Marcelino Oyono Ntutumu,Q112162701,"First Deputy Prime Minister, in charge of internal affairs",2004,
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,"First Vice Prime Minister, in charge of domestic policy",2003,
Q112175136,Aniceto Ebiaca Muete,Q112162701,"First Vice-Prime Minister, in charge of human rights",2006,
Q24761111,Francisco Pascual Obama Eyegue,Q112174435,General Secretary to the Presidency of the Government,2001,
Q112128523,Salomon Nguema Owono,Q112174436,Government Secretary-General,1996,
Q112162969,Braulio Ncogo Abegue,Q112162663,Minister at the presidency of the republic in charge of Civil Office,2008,
Q112162969,Braulio Ncogo Abegue,Q112162663,Minister at the presidency of the republic in charge of Civil Office,2012,
Q112162969,Braulio Ncogo Abegue,Q112162663,Minister at the presidency of the republic in charge of Civil Office,2013,
Q112133252,Juan-Antonio Bibang Nchuchuma,Q112162663,"Minister at the Presidency of the Republic, in charge of External Security",2018,
Q112128551,Alfonso Nsue Mokuy,Q112162663,"Minister at the presidency of the republic in charge of Information, Cu",2006,
Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2006,
