@@,item,name,positionitem,position,start,end
+++,,Feliciano Nse Mangue,Q111021196,Foreign Affairs and Cooperation,1994,
---,Q112162983,Fernando Mabale Mba,Q112162670,Civil Service and Administrative Reforms,1998-01-23,2001-03-09
+++,Q112162983,Fernando Mabale Mba,Q112174469,Civil Service and Administrative Reforms,1999,
+++,Q112162983,Fernando Mabale Mba,Q112174469,Civil Service and Administrative Reforms,1998,
+++,Q112162984,Fidel Nsue Micha,Q112174514,Housing and Urbanism,2004,
+++,Q112162984,Fidel Nsue Micha,Q112174452,Interior and Local Corporations,2020,
+++,Q112162984,Fidel Nsue Micha,Q112174452,Interior and Local Corporations,2018,
---,Q112128528,Fidel-Marcos Meñe Ncogo,Q112174445,Energy,2012-01-01,2018-01-01
+++,Q112128528,Fidel-Marcos Meñe Ncogo,Q112174445,Energy,2013,
+++,Q112128528,Fidel-Marcos Meñe Ncogo,Q112174445,Energy,2012,
+++,Q45320454,Filiberto Ntutumu Nguema,Q112174405,Deputy Minister of Education and Science,2001,
+++,Q45320454,Filiberto Ntutumu Nguema,Q112174478,"Education, Science and Sports",2010,
---,Q45320454,Filiberto Ntutumu Nguema,Q111021199,Minister of National Education,2010-01-12,2011-01-28
->,Q112175173,Florentino Alogo,Q111021205,"Public Works, Housing and Urban Affairs",2001-01-01->2001,2003-01-01
->,Q112133583,Florentino Ncogo Ndong->Florentino Nkogo Ndong,Q111021205,"Minister of Public Works->Public Works, Housing and Urban Affairs",1999-07-22->1999,2003-02-11
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112174440,Commerce and Business Promotion,2013,
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Fisheries and the Environment,2003,
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Fishing and Environment,2004,
---,Q112128545,Fortunato Ofa Mbo Nchama,Q112162665,Minister of Administrative Coordination,2006-08-22,2008-07-15
---,Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Minister of Fishing,2003-02-11,2006-08-22
---,Q112128545,Fortunato Ofa Mbo Nchama,Q112162681,Minister of Planning,1999-07-22,2003-02-11
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112174458,"Planning, Economic Development and Public Investment",2012,
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112174529,Secretary-General at the prime minister’s office in charge of Administr,2006,
+++,Q112128545,Fortunato Osa Mbo,Q112174458,Delegate of Planning and Economic Development,1998,
+++,Q112128545,Fortunato Osa Mbo,Q112162681,Planning and Economic Development,2001,
+++,Q112128545,Fortunato Osa Mbo,Q112162681,Planning and Economic Development,1999,
+++,Q112133405,Francisca Tachup Belope,Q112174403,"Economy, Commerce and Business Promotion",2008,
->,Q112133405,Francisca Tatchup Belope,Q111021198,"Economy, Commerce and Business Promotion",2011-01-28->2011,2012-05-22
+++,,Francisco Abaga Ndong,Q112174454,Delegate of Labour and Social Security,1998,
->,Q112175158,Francisco Edu Ngua,Q112174420,National Security,2008-01-01->2008,2010-01-01
->,Q112175158,Francisco Edu Ngua,Q112174519,Security,2004-01-01->2004,2006-01-01
->,Q112175158,Francisco Edu Ngua Mangue,Q112174508,Secretary of State for the National Defence,2001-01-01->2001,2003-01-01
+++,Q112162986,Francisco Javier Ngomo,Q111021203,"Justice, Religion and Penitentiary Services",2011,
->,Q112162986,Francisco Javier Ngomo Mbengono,Q111021203->Q112174485,"Minister of Justice->Justice, Religion and Penitentiary Services",2011-01-28->2012,2013-09-04
+++,Q112128497,Francisco Mabale Nseng,Q112174511,Energy,2003,
->,Q112175178,Francisco Mba Mabale,Q112174511,Energy,2004-01-01->2004,2006-01-01
+++,Q112128550,Francisco Mba Olo Bahamonde,Q112174441,Communications and Transport,2003,
---,Q112128550,Francisco Mba Olo Bahamonde,Q111021197,Minister of Agriculture,2015-04-15,2019-12-31
---,Q112128550,Francisco Mba Olo Bahamonde,Q112162675,Minister of Forests,2016-06-24,2018-02-06
---,Q112128550,Francisco Mba Olo Bahamonde,Q112162697,Minister of Transport,2012-05-22,2015-04-15
+++,Q112128550,Francisco Mba Olo Bahamonde,Q112162697,"Transport, Technology, Posts and Telecommunications",2012,
+++,Q112128550,Francisco Mba Olo Bahamonde,Q112162697,"Transport, Technology, Posts and Telecommunications",2013,
+++,Q112128550,Francisco Mba Oló Bahamonde,Q112174524,Transport and Communications,2004,
+++,Q112162986,Francisco Mbengono,Q111021203,Justice and Religion,1994,
+++,Q112162986,Francisco Ngomo Mbengono,Q112162670,"Deputy PM, Minister of the Civil Service and Administrative Reform",1996,
->,Q112175179,Francisco Obá Bahamonde,Q112174464,Posts and Transports,2011-01-01->2011,2012-01-01
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Q112174475,"Agriculture, Livestock and Rural Development",2003,
->,Q24761111,Francisco Pascual Obama Asue,Q111020058,Health Minister of Equatorial Guinea->Health and Social Welfare,2008-07-15->2008,2011-01-28
+++,Q24761111,Francisco Pascual Obama Asue,Q112174480,Health and Social Welfare,2010,
---,Q24761111,Francisco Pascual Obama Asue,Q111021197,Minister of Agriculture,2003-02-11,2004-06-15
---,Q24761111,Francisco Pascual Obama Asue,Q112162699,Minister of Youth and Sports,2012-05-22,2015-04-15
+++,Q24761111,Francisco Pascual Obama Asue,Q2351213,Prime Minister in charge of Administrative Coordination,2018,
+++,Q24761111,Francisco Pascual Obama Asue,Q2351213,Prime Minister in charge of Administrative Coordination,2020,
---,Q24761111,Francisco Pascual Obama Asue,Q2351213,Prime Minister of Equatorial Guinea,2016-06-22,
---,Q24761111,Francisco Pascual Obama Asue,Q112162701,Vice-Prime Minister,2015-04-15,2016-06-24
+++,Q24761111,Francisco Pascual Obama Asue,Q112162699,Youth and Sports,2013,
+++,Q24761111,Francisco Pascual Obama Asue,Q112162699,Youth and Sports,2012,
+++,Q24761111,Francisco Pascual Obama Eyegue,Q112174435,General Secretary to the Presidency of the Government,2001,
+++,Q24761111,Francisco Pascual [Eyegue] Obama Asue,Q112174496,Public Works and Urban Affairs,1998,
---,Q45042829,Gabriel Mbega,Q112162677,Minister of Mines,2016-06-24,2019-12-31
---,Q45042829,Gabriel Mbega,Q112162677,Minister of Mines,2012-05-22,2016-06-24
+++,Q45042829,Gabriel Mbega Lima,Q112174418,"Mines, Industry and Energy",2008,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112174418,Mines,2004,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112174516,Mines and Hydrocarbons,2003,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112162677,Mines and Hydrocarbons,2018,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112162677,Mines and Hydrocarbons,2020,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112162677,"Mines, Industry and Energy",2012,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112162677,"Mines, Industry and Energy",2013,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112174455,"Mines, Industry and Energy",2011,
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112174455,"Mines, Industry and Energy",2010,
+++,Q63731266,Gen Antonio Mba Nguema,Q111021195,National Defence,2011,
+++,Q63731266,Gen Antonio Mba Nguema,Q112174488,National Defence,2012,
+++,Q63731266,Gen Antonio Mba Nguema,Q111021195,National Defence,2008,
+++,Q63731266,Gen Antonio Mba Nguema,Q111021195,National Defence,2004,
+++,Q63731266,Gen Antonio Mba Nguema,Q111021195,National Defence,2010,
+++,Q63731266,Gen Antonio Mba Nguema,Q111021195,National Defence,2006,
+++,Q112162997,Gen Manuel Nguema Mba,Q112162679,National Security,2004,
+++,,Gen Santiago Mauro Nguema,Q112174510,Defence,2004,
->,Q112175180,Gen. Jaime Obama Owono Nchama,Q112174451,Infrastructure and Forests,2003-01-01->2003,2004-01-01
->,Q112175181,Gen. Melanio Ebendeng Nsomo,Q112174456,National Defence,2003-01-01->2003,2004-01-01
->,Q112175182,Gerónimo-Carlos Osa Osa Nzang,Q112174407,Fishing and Water Resources,2020-01-01->2020,
->,Q112162987,Gregorio Boho Camo,Q111021197,"Minister of Agriculture->Agriculture, Livestock and Rural Development",2001-03-09->2001,2003-02-11
---,Q24685671,Guillermina Mekuy,Q112162672,Minister of Culture,2016-06-24,2018-02-06
---,Q24685671,Guillermina Mokuy Mba Obono,Q112174442,Culture and Tourism,2012-01-01,2018-01-01
+++,Q24685671,Guillermina Mokuy Mba Obono,Q112174442,Culture and Tourism,2012,
+++,Q24685671,Guillermina Mokuy Mba Obono,Q112174442,Culture and Tourism,2013,
---,Q112133249,Heriberto Meco Mbengono,Q112174457,National Security,2018-01-01,
+++,Q112133249,Heriberto Meco Mbengono,Q112174457,National Security,2020,
+++,Q112133249,Heriberto Meco Mbengono,Q112174457,National Security,2018,
->,Q112133249,Heriberto Meko Mbengono,Q111021204,Minister of Labor->Labour and Social Security,2013-01-30->2013,2016-06-24
->,Q112133249,Heriberto Miko Mbengono,Q112174454,Labour and Social Security,2012-01-01->2012,2013-01-01
+++,Q112133412,Hermes Ela Mifumu,Q112174443,"Economy, Planning and Public Investment",2013,2018
+++,Q112133412,Hermes Ela Mifumu,Q112174406,"Finance, the Economy and Planning, Charged with Taxes and Contributions",2020,
---,Q112133412,Hermes Ela Mifumu,Q112162685,Minister of Promotion of Small and Medium Businesses,2016-06-24,2018-02-06
->,Q112128482,Hilario Sisa Torrez,Q112174406,Finance and Budget,2004-01-01->2004,2006-01-01
->,Q112128482,Hilario Sisa Torrez,Q112174462,Tourism and Culture,2003-01-01->2003,2004-01-01
->,Q112175187,Hipólito Ondo Nvo Bela,Q112174571,"Transports, Posts and Telecommunications",2018-01-01->2018,2020-01-01
->,Q112175188,Honorato Evita Oma,Q112174571,"Transport, the Postal Service and Telecommunications",2020-01-01->2020,
+++,Q57898,Ignacio Milam Tang,Q112174469,First Deputy PM and Minister of Civil Service and Administrative Reform,2001,
+++,Q57898,Ignacio Milam Tang,Q111021203,Justice,1996,
---,Q57898,Ignacio Milam Tang,Q112162700,Minister without Portfolio,2003-02-11,2004-06-15
+++,Q57898,Ignacio Milam Tang,Q2351213,Prime Minister,2010,
+++,Q57898,Ignacio Milam Tang,Q2351213,Prime Minister,2008,
+++,Q57898,Ignacio Milam Tang,Q2351213,Prime Minister,2011,
---,Q57898,Ignacio Milam Tang,Q2351213,Prime Minister of Equatorial Guinea,2008-07-08,2012-05-21
+++,Q57898,Ignacio Milam Tang,Q112174498,Secretary-General of the Presidency,2003,
---,Q57898,Ignacio Milam Tang,Q7925046,Vice President of Equatorial Guinea,2012-05-21,2016-06-22
+++,Q57898,Ignacio Milam Tang,Q7925046,Vice-President First,2013,
+++,Q57898,Ignacio Milam Tang,Q7925046,Vice-President First,2012,
---,Q57898,Ignacio Milam Tang,Q112162701,Vice-Prime Minister,2001-02-26,2001-03-09
---,Q57898,Ignacio Milam Tang,Q112162701,Vice-Prime Minister,2001-03-09,2003-02-11
+++,Q57898,Ignacio Milam Tang,Q112162699,Youth and Sports,1998,
->,Q112175189,Isidoro Eyi Monsuy Andeme,Q112174405,Education and Sciences,2013-01-01->2013,2018-01-01
->,Q112175189,Isidoro Eyi Monsuy Andeme,Q112174415,Labour and Social Security,2012-01-01->2012,2013-01-01
->,Q112175189,Isidoro Eyi Monsuy Aneme,Q112174571,"Transport, Technology, Posts and Telecommunications",2008-01-01->2008,2010-01-01
->,Q112128530,Jaime Ela Ndong,Q111021198,"Minister of Commerce->Economy, Trade and Business Development",2004-06-15->2004,2008-07-15
+++,Q112128530,Jaime Ela Ndong / Oyana,Q111021198,"Economy, Commerce and Business Promotion",2006,
+++,Q112162989,Jeremias Ondo Ngomo,Q112174464,Delegate to Transports and Communications,2001,
+++,Q112162989,Jeremias Ondo Ngomo,Q112162691,"Second Vice Prime Minister, in charge of Social Affairs",2003,
---,Q112162989,Jeremias Ondo Ngomo,Q112162701,Vice-Prime Minister,2003-02-11,2004-06-15
+++,Q112162989,Jeremias Ondó Ngomo,Q112174413,Interior and Local Corporations,2013,
+++,Q112162989,Jeremias Ondó Ngomo,Q112174413,Interior and Local Corporations,2012,
---,Q3177434,Jeronimo Osa Osa Ecoro,Q112128225,Minister of Information,2008-07-15,2012-05-22
+++,Q3177434,Jeronimo Osa Osa Ekoro,Q112128225,"Information, Culture and Tourism",2008,
+++,Q3177434,Jeronimo Osa Osa Ekoro,Q112128225,"Information, Tourism and Culture, Government's Spokesman",2010,
+++,Q3177434,Jeronimo Osa Osa Ekoro,Q112128225,"Information, Tourism and Culture, Government's Spokesman",2011,
+++,Q3177434,Jeronimo Osa Osa Ekoro,Q112174425,Tourism,2004,
+++,Q3177434,Jeronimo Osa Osa Ekoro,Q112174466,Youth and Sports,2003,
+++,Q112133418,Jesus Engonga Ndong,Q112174444,Education and Sciences,2013,
---,Q112133418,Jesus Engonga Ndong Eyono,Q111021199,Minister of National Education,2015-04-15,2018-02-06
---,Q112133418,Jesus Engonga Ndong Eyono,Q111021199,Minister of National Education,2018-02-06,2019-04-10
->,Q112128467,Jesusa Obono Engono,Q28555503,NULL->Women's Development,2004-06-15->2004,2006-08-22
+++,Q112133418,Jesús Engonga Ndong,Q111021199,"Education, University and Sports",2018,
->,Q112175192,Joaquin Elema Borengue,Q112174464,"Transport, Technology, Posts and Telecommunications",2013-01-01->2013,2018-01-01
->,Q112175192,Joaquin Elema Borengue,Q112174571,Transports,2012-01-01->2012,2013-01-01
->,Q112175192,Joaquin Elema Borengue,Q112174464,"Transports, Posts and Telecommunications",2018-01-01->2018,2020-01-01
+++,Q112162990,Joaquin Mbana,Q112174405,Education and University,2004,
+++,Q112162990,Joaquín Mbana,Q112174478,"Education, Science and Sports",2011,
---,Q112162990,Joaquín Mbana Nchama,Q111021199,Minister of National Education,2011-01-28,2012-05-22
->,Q112175193,Jose Angel Boricó Moisés,Q112174522,Trade,2004-01-01->2004,2006-01-01
+++,Q5438667,Jose Eneme Oyono,Q112174441,Delegate of Communications and Transport,1998,
+++,Q55200319,Jose Esono Micha,Q112174408,Foreign Affairs,2004,
+++,Q55200319,Jose Esono Micha,Q112174447,"Foreign Affairs, International Cooperation and Francophone Affairs",2003,
+++,Q55200319,Jose Esono Micha,Q112174408,"Foreign Affairs, International Cooperation and Francophone Affairs",2008,
->,Q112175194,Jose Maria Ondo Oyono,Q112174410,Industry and Energy,2018-01-01->2018,2020-01-01
->,Q112175195,Jose Mba Obama Bendomo,Q112174402,Culture and Tourism,2012-01-01->2012,2013-01-01
->,Q112175195,Jose Mba Obama Bendomo,Q112174412,"Information, Press and Radio",2013-01-01->2013,2018-01-01
---,Q112162991,José Ela Oyana,Q112162681,Minister of Planning,2006-08-22,2012-05-22
+++,Q112162991,José Elá Oyana,Q112174517,Planning,2004,
+++,Q112162991,José Elá Oyana,Q112162681,"Planning, Economic Development and Public Investment",2011,
+++,Q112162991,José Elá Oyana,Q112162681,"Planning, Economic Development and Public Investment",2008,
+++,Q112162991,José Elá Oyana,Q112162681,"Planning, Economic Development and Public Investment",2010,
->,Q112175193,José-Angel Borico Moises,Q112174443,"Economy, Commerce and Business Promotion",2012-01-01->2012,2013-01-01
->,Q112175193,José-Angel Borico Moises,Q112174454,Labour and Social Security,2013-01-01->2013,2018-01-01
->,Q112175197,José-Jaime Ondo Ndong,Q112174401,Commerce and Business Promotion,2013-01-01->2013,2018-01-01
->,Q112175197,José-Jaime Ondo Ndong,Q112174403,"Economy, Commerce and Business Promotion",2012-01-01->2012,2013-01-01
->,Q112133252,Juan Antonio Bibang Nchuchuma,Q112162673->Q112162699,Minister of External Security->Youth and Sports,2018-02-06->2001,2019-12-31
->,Q112162993,Juan Antonio Ntutumu,Q111020058,Health Minister of Equatorial Guinea->Health and Social Welfare,1999-07-22->1999,2001-03-09
---,Q112162993,Juan Antonio Ntutumu,Q112162699,Minister of Youth and Sports,2001-03-09,2003-02-11
+++,Q63442033,Juan Ndong Nguema,Q112174420,National Security,2013,
---,Q112162994,Juan Nko Mbula,Q112162698,Minister of Urban Planning and Infrastructure,2012-05-22,2016-06-24
+++,Q112162994,Juan Nko Mbula,Q111021205,Public Works and Infrastructures,2012,
+++,Q112162994,Juan Nko Mbula,Q111021205,Public Works and Infrastructures,2013,
->,Q112175199,Juan Obama Mba,Q112174415,Labour and Social Security,2003-01-01->2003,2004-01-01
---,Q112175200,Juan Olo Mba Nseng,Q112174453,"Justice, Worship and Penitentiary Institutions",2018-01-01,
+++,Q112175200,Juan Olo Mba Nseng,Q112174453,"Justice, Worship and Penitentiary Institutions",2020,
+++,Q112175200,Juan Olo Mba Nseng,Q112174453,"Justice, Worship and Penitentiary Institutions",2018,
+++,Q112175200,Juan Olo Mba Nseng,Q112162677,Mines and Hydrocarbons,1994,
+++,Q112175200,Juan Olo Mba Nseng,Q112162677,Mining and Energy,1996,
---,Q112175200,Juan Oló Mba Nseng,Q112174453,"Justice, Religion and Penitentiary Services",2012-01-01,2018-01-01
+++,Q112175200,Juan Oló Mba Nseng,Q112174453,"Justice, Religion and Penitentiary Services",2013,
+++,Q112175200,Juan Oló Mba Nseng,Q112174453,"Justice, Religion and Penitentiary Services",2012,
+++,Q112175200,Juan Oló Mba Nseng,Q112162677,Mines and Energy,1998,
+++,Q112133252,Juan-Antonio Bibang Nchuchuma,Q112162663,"Minister at the Presidency of the Republic, in charge of External Security",2018,
+++,Q112133252,Juan-Antonio Bibang Nchuchuma,Q112174505,"Minister to the Presidency of the Republic, Charged with External Security",2020,
+++,Q112133252,Juan-Antonio Bibang Nchuchuma,Q112174420,National Security,2012,
+++,Q112133252,Juan-Antonio Bibang Nchuchuma,Q112174467,"to the Presidency of te Republic, in charge of External Security",2013,
->,Q112162995,Justino Obama Nve,Q111020058,Health Minister of Equatorial Guinea->Health and Social Welfare,2003-02-11->2003,2006-08-22
+++,Q112162995,Justino Obama Nvé,Q111020058,Health and Social Welfare,2004,
+++,,Júlio Ndong Ela Mangue,Q111021202,Interior and Local Authorities,1996,
->,Q112162996,Leandro Micó Angué,Q112162668,Civil Aviation,2018-02-06->2018,2019-12-31
->,Q112133253,Leocadio Ndong Moñung,Q112174413,Interior and Local Corporations,2008-01-01->2008,2010-01-01
---,Q112133253,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2013-01-01,2018-01-01
---,Q112133253,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2012-01-01,2013-01-01
+++,Q112133253,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2013,
+++,Q112133253,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2012,
->,Q17711819,Lucas Abaga Nchama,Q111021200,"Minister of Finance->Finance, Economy and Planning",2018-02-06->2018,2019-04-10
+++,Q112128541,Lucas Nguema Esono,Q112174483,"Information, Tourism and Culture",2001,
+++,Q112128541,Lucas Nguema Esono,Q112174483,"Information, Tourism and Culture",1999,
---,Q112128541,Lucas Nguema Esono Mbang,Q112162699,Minister of Youth and Sports,2003-02-11,2004-06-15
---,Q112128541,Lucas Nguema Esono Mbang,Q112162701,Vice-Prime Minister,2013-09-04,2015-04-15
+++,Q112128541,Lucas Nguema Esono Mbang,Q112174501,Youth and Sports,2003,
->,Q112128541,Lucas Nguema Esono Mbang->Lucas Nguema Esono,Q112128225,"Minister of Information->Information, Tourism and Culture",1999-07-22->1998,2003-02-11
->,Q112175204,Luciano Esono Bitegue,Q112174399,Civil Aviation,2018-01-01->2018,2020-01-01
---,Q112133713,Ma Consuelo Nguema Oyana,Q112162691,Minister of Social Affairs,2018-02-06,2019-12-31
->,Q112175205,Manuel Asumu Cawan,Q112174432,Youth and Sports,2012-01-01->2012,2013-01-01
->,Q112175206,Manuel Cristobal Morgades Ichaka,Q112174415,"Labour, Promotion of Employment and Social Security",2018-01-01->2018,2020-01-01
->,Q112175206,Manuel Cristóbal Morgades Ichaca,Q112174431,"Work, Employment Promotion and Social Security",2020-01-01->2020,
->,Q112162997,Manuel Nguema Mba,Q112162679->Q112174452,Minister of National Security->Interior and Local Corporations,2004-06-15->2003,2009-02-24
->,Q112175205,Manuel Sabino Asumu Cawan,Q112174432,Youth and Sports,2013-01-01->2013,2018-01-01
->,Q112175210,Manuela Roca Botey,Q112174444,"Education, University Teaching and Sports",2020-01-01->2020,
->,Q55104853,Marcelino Nguema Onguene,Q111020058,Health Minister of Equatorial Guinea->Health and Social Welfare,2001-03-09->2001,2003-02-11
+++,Q29122413,Marcelino Owono,Q111021200,Finance and the Budget,2004,
+++,Q29122413,Marcelino Owono Edu,Q112174403,Deputy Minister of EDeputy Minister of Economy and Financeducation and Science,2001,
+++,Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2003,
+++,Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2006,
+++,Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2012,
+++,Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2013,
+++,Q29122413,Marcelino Owono Edu,Q112162677,"Mines, Industry and Energy",2008,
+++,Q29122413,Marcelino Owono Edu,Q112162677,"Mines, Industry and Energy",2010,
+++,Q29122413,Marcelino Owono Edu,Q112162677,"Mines, Industry and Energy",2011,
---,Q29122413,Marcelino Owono Edu,Q112162667,Minister of Budget,2003-02-11,2004-06-15
---,Q29122413,Marcelino Owono Edu,Q111021200,Minister of Finance,2004-06-15,2008-07-15
---,Q29122413,Marcelino Owono Edu,Q111021200,Minister of Finance,2012-05-22,2015-04-15
---,Q29122413,Marcelino Owono Edu,Q112162677,Minister of Mines,2008-07-15,2012-05-22
+++,Q112128490,Marcelino Oyono Ntutumu,Q112174477,Communication and Transport,1999,
+++,Q112128490,Marcelino Oyono Ntutumu,Q111021198,Economy and Finance,1996,
---,Q112128490,Marcelino Oyono Ntutumu,Q112162697,Minister of Transport,1998-01-23,2004-06-15
---,Q112128490,Marcelino Oyono Ntutumu,Q112162698,Minister of Urban Planning and Infrastructure,2008-07-15,2011-02-19
+++,Q112128490,Marcelino Oyono Ntutumu,Q112174496,Public Works and Infrastructures,2011,
+++,Q112128490,Marcelino Oyono Ntutumu,Q111021205,Public Works and Infrastructures,2008,
+++,Q112128490,Marcelino Oyono Ntutumu,Q112174496,Public Works and Infrastructures,2010,
+++,Q112128490,Marcelino Oyono Ntutumu,Q112174500,Transport and Communication,1998,
+++,Q112128490,Marcelino Oyono Ntutumu,Q112174500,Transport and Communications,2003,
+++,Q112128490,Marcelino Oyono Ntutumu,Q112174500,Transports and Communications,2001,
->,Q112128490,Marcelino Oyono Ntutumu,Q112162701,"Vice-Prime Minister->First Deputy Prime Minister, in charge of internal affairs",2004-06-15->2004,2006-08-22
+++,Q112128475,Margarita Alene Mba,Q112162691,Social Affairs and Women’s Development,1998,
+++,Q112128475,Margarita Alene Mba,Q112162691,Social and Women's Affairs,1996,
+++,Q43663042,Mari Carmen Ecoro,Q112162691,Social Affairs and Gender Equality,2013,
+++,Q112133713,Maria Consuelo Nguema Oyana,Q112162691,Social Affairs and Gender Equality,2018,
->,Q112175211,Maria Jesus Ncara Owono,Q112174405,"Education, University and Sports",2018-01-01->2018,2020-01-01
->,Q112133717,Maria Leonor Epam Biribe->Maria Leonor Epan Biribe,Q112162691,Minister of Social Affairs->Social and Women’s Affairs,2012-05-22->2012,2013-09-04
->,Q112175213,Maria Vida Asue Ndong,Q112174409,Health and Social Welfare,2008-01-01->2008,2010-01-01
->,Q112162998,Maria del Carmen Ekoro,Q111021199,Minister of National Education->Education and Sciences,2012-05-22->2012,2013-09-04
---,Q112162998,Maria del Carmen Ekoro,Q112162691,Minister of Social Affairs,2013-09-04,2015-04-15
+++,Q112128514,Mariano Esono Ondo,Q112174449,"Industry, Commerce and the Promotion of Small and Medium-sized Enterpri",2003,
+++,,Mariano Nse Nguema,Q112162680,Parliamentary Affairs,1994,
->,Q112175214,Martin Crisantos Esono Edjo,Q112174421,"Planning, Economic Development and Public Investment",2008-01-01->2008,2010-01-01
->,Q112175215,Martin Ndong Nsue,Q112174414,"Justice, Religion and Penitentiary Services",2008-01-01->2008,2010-01-01
+++,Q112133260,Martin-Crisantos Ebe Mba,Q112174446,Finance and the Budget,2010,
+++,Q112133260,Martin-Crisantos Ebe Mba,Q112174446,Finance and the Budget,2011,
+++,Q112133713,María Consuelo Nguema Oyana,Q112162691,Social Affairs and Gender Equality,2020,
+++,Q112128491,Mauricio Asumu Bokung,Q112174414,Justice,2004,
+++,Q112128491,Mauricio Bokung Asumu,Q112174505,"Minister Secretary General of the Presidency of the Government, in char",2011,
+++,Q112128491,Mauricio Bokung Asumu,Q112174505,"Minister Secretary General of the Presidency of the Government, in char",2010,
---,Q112128491,Mauricio Bokung Asumu,Q112162665,Minister of Administrative Coordination,2010-01-12,2011-01-28
->,Q112128491,Mauricio Bokung Asumu,Q111021203,"Minister of Justice->Justice, Religion and Penitentiary Services",2006-08-22->2006,2008-07-15
->,Q112128491,Mauricio Bokung Asumu,Q111021204,Minister of Labor->Labour and Social Securuty,2008-07-15->2008,2010-01-12
---,Q112128491,Mauricio Bokung Asumu,Q112162697,Minister of Transport,2011-01-28,2012-05-22
---,Q112163001,Maximiliano Meko Aveme,Q112162692,Minister of Telecommunications and New Technologies,2016-06-24,2018-02-06
---,Q112175181,Melanio Ebendeng Nsono,Q112174456,Delegate of National Defence,1999-01-01,2001-01-01
+++,Q112175181,Melanio Ebendeng Nsono,Q112174456,Delegate of National Defence,1999,
+++,Q112175181,Melanio Ebendeng Nsono,Q112174456,Delegate of National Defence,1998,
->,Q112175181,Melanio Ebendeng Nsono,Q112174456,Delegate to the National Defence,2001-01-01->2001,2003-01-01
->,Q112175219,Melchor Ekua Ondó,Q112174507,Secretary of State for the Energy,2001-01-01->2001,2003-01-01
+++,Q112133263,Melchor Esono Edjo,Q112174512,Finance and Budget,2004,
+++,Q112133263,Melchor Esono Edjo,Q111021200,Finance and the Budget,2011,
+++,Q112133263,Melchor Esono Edjo,Q112174406,Finance and the Budget,2008,
+++,Q112133263,Melchor Esono Edjo,Q111021200,Finance and the Budget,2010,
---,Q112133263,Melchor Esono Edjo,Q111021200,Minister of Finance,2010-01-12,2012-05-22
+++,Q112133263,Melchor Esono Edjo,Q112174509,Secretary of State for the Treasury and the Budget,2001,
+++,Q112133263,Melchor Esono Edjo,Q112174509,The Treasury,2003,
+++,Q1353126,Miguel Abia Biteo,Q112174443,Delegate of Economic Affairs and Finance,1998,
+++,Q1353126,Miguel Abia Biteo,Q112174490,Parliamentary Relations and Juridical Affairs,2001,
---,Q1353126,Miguel Abia Biteo Boricó,Q112162680,Minister of Parliament Relations,2001-03-09,2004-06-15
->,Q1353126,Miguel Abia Biteo Boricó->Miguel Abia Biteo,Q111021198,Minister of Commerce->Economy and Finance,1999-07-22->1999,2001-03-09
->,Q1353126,Miguel Abia Biteo Boricó->Miguel Abia Biteo Borico,Q111021204,Minister of Labor->Labour and Social Security,2012-05-22->2012,2012-12-06
->,Q1353126,Miguel Abia Biteo Boricó->Miguel Abia Biteo Boriko,Q2351213,Prime Minister of Equatorial Guinea->Prime Minister,2004-06-14->2004,2006-08-14
->,Q1353126,Miguel Abia Biteo Boriko,Q112174490,Parliamentary Relations and Juridical Affairs,2003-01-01->2003,2004-01-01
+++,Q112128511,Miguel Edjang Angue,Q112174403,Economy,2003,
---,Q112163002,Miguel Ekua Ondo,Q111021201,Minister of Industry & Mines,2018-02-06,2019-12-31
+++,Q112163002,Miguel Ekua Ondó,Q111021201,Industry and Energy,2018,
+++,Q112163002,Miguel Ekua Ondó,Q111021201,Industry and Energy,2020,
---,Q112163003,Miguel Engonga Obiang Eyang,Q111021200,Minister of Finance,2015-04-15,2018-02-06
->,Q112175222,Miguel Esono Mansogo,Q112174405,"Education, Science and Sports",2008-01-01->2008,2010-01-01
