@@,item,name,positionitem,position,start,end
---,Q112133372,Adoracion Salas Chonco,Q112162674,Minister of Fishing,2018-02-06,2019-12-31
+++,Q112133372,Adoración Salas Chonco,Q112162674,Fisheries and Water Resources,2018,
+++,Q112133372,Adoración Salas Chonco,Q112162674,Fishing and Water Resources,2020,
->,Q112175129,Agapito Edu Ndong,Q112174418,Mines and Hydrocarbons,2018-01-01->2018,2020-01-01
+++,Q24574730,Agapito Mba Mokuy,Q111021196,Foreign Affairs and Cooperation,2012,
+++,Q24574730,Agapito Mba Mokuy,Q111021196,Foreign Affairs and Cooperation,2013,
---,Q24574730,Agapito Mba Mokuy,Q111021196,Minister of Foreign Affairs,2012-05-22,2018-02-06
+++,Q36908601,Agustin Nse Nfumu,Q112128225,"Information, Press and Radio",2012,
+++,Q36908601,Agustin Nze Nfumu,Q112174483,"Information, Tourism and Culture",2003,
+++,Q36908601,Agustín Nse Nfumu,Q112162672,"Culture, Tourism and French Community Affairs",1994,
---,Q36908601,Agustín Nze Nfumu,Q112128225,Minister of Information,2012-05-22,2013-09-04
---,Q36908601,Agustín Nze Nfumu,Q112128225,Minister of Information,2003-02-11,2004-06-15
->,Q112175131,Alberto Doria Lajay,Q112174440,Commerce and Promotion of Small and Medium-sized Businesses,2018-01-01->2018,2020-01-01
->,Q112175131,Alberto Doria Lajay,Q112174463,Trade and the Promotion of Small and Medium-sized Businesses,2020-01-01->2020,
->,Q112162957,Alejandro Bacale Ncogo,Q111021195,Minister of National Defense->National Defence,2018-02-06->2018,2019-12-31
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174503,At the Presidency of the Republic in charge of Missions,2018,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2013,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2012,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2011,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2008,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2010,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2006,
---,Q112162958,Alejandro Evuna Owono Asangono,Q112162678,Minister of Missions,1989-11-25,2019-12-31
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174504,"Minister of State to the Presidency of the Republic, Charged with Missions",2020,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174487,Missions,1998,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174493,President's Office,2001,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174487,Presidential Missions,2004,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174499,Special Duties to the Presidency,2003,
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112174472,at the President's Office,1999,
->,Q112175132,Alejandro Micha Nsue,Q112174423,Public Works and Infrastructures,2008-01-01->2008,2010-01-01
+++,,Alejandro Nvoro Ovono,Q111021205,"Works, Housing and Town Planning",1994,
+++,Q112128551,Alfonso Nsue Mokuy,Q112174468,In charge of Human Rights,2018,
+++,Q112128551,Alfonso Nsue Mokuy,Q112174468,In charge of Human Rights,2020,
->,Q112128551,Alfonso Nsue Mokuy,Q112162663,"Minister at the Presidency->Minister at the presidency of the republic in charge of Information, Cu",2006-08-22->2006,2008-07-15
->,Q112128551,Alfonso Nsue Mokuy,Q112128225,"Minister of Information->Information, Culture and Tourism, Government Spokeperson",2004-06-15->2004,2006-08-22
+++,Q112128551,Alfonso Nsue Mokuy,Q112174459,"Press, Radio and Television",2003,
---,Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2015-04-15,2019-12-31
---,Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2012-05-22,2015-04-15
+++,Q112128551,Alfonso Nsué Mokuy,Q112174450,Information,2011,
->,Q112133375,Alfredo Mitogo Mitogo,Q111021197,Minister of Agriculture->Agriculture and Forests,2013-09-04->2013,2015-04-15
---,Q112133375,Alfredo Mitogo Mitogo,Q112162696,Minister of Trade,2015-04-15,2016-06-24
+++,Q112133375,Alfredo Mitogo Mitogo Ada,Q112174454,"Labour, Promotion of Employment and Social Security",2018,
+++,Q112133375,Alfredo Mitogo Mitogo Ada,Q112174471,"Work, Employment Promotion and Social Security",2020,
+++,,Alfredo Mokudi Nanga,Q111021197,"Agriculture, Fisheries and Food",1994,
+++,Q112133378,Amparo Mele Kolifa,Q112174422,Public Administration and Administrative Reform,2013,
+++,Q112133227,Anastasio Asumu Mum Muñoz,Q112162674,Fisheries and Environment,2008,
+++,Q112133227,Anastasio Asumu Mum Muñoz,Q112162674,Fisheries and Environment,2010,
