item,name,positionItem,position,start,end,psid
Q112128550,Francisco Mba Olo Bahamonde,Q112162697,Minister of Transport,2012-05-22,2015-04-15,Q112128550-2D72432C-E093-4784-AC07-FB257F9F5117
Q112128550,Francisco Mba Olo Bahamonde,Q111021197,Minister of Agriculture,2015-04-15,2019-12-31,Q112128550-E37E18A8-E3F4-4163-9641-0639D7F85FFB
Q112128550,Francisco Mba Olo Bahamonde,Q112162675,Minister of Forests,2016-06-24,2018-02-06,Q112128550-E4384699-7179-4AFD-8A34-F97B5BB38CB9
Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2015-04-15,2019-12-31,Q112128551-110C1237-E487-4AAC-9D6D-6AD9EAD4FCF7
Q112128551,Alfonso Nsue Mokuy,Q112128225,Minister of Information,2004-06-15,2006-08-22,Q112128551-306B18A5-7606-427F-A424-EB39805CF19A
Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2012-05-22,2015-04-15,Q112128551-70A0597A-41B3-49C1-BD88-B897F8C33FEB
Q112128551,Alfonso Nsue Mokuy,Q112162663,Minister at the Presidency,2006-08-22,2008-07-15,Q112128551-91377ECC-DB9B-4807-8339-EFAC1A5544EA
Q112128556,Aniceto Ebiaca Moete,Q111021198,"Vice-Prime Minister First, in charge of Economy and Finance",2010-01-01,2012-01-01,Q112128556-0F99BF55-64EF-4B55-8740-1A4E2C767104
Q112128556,Aniceto Ebiaka Moete,Q112162701,Vice-Prime Minister,2008-07-15,2012-05-22,Q112128556-7580B35F-CB0B-4043-BFF0-5A15491F191E
Q112128556,Aniceto Ebiaka Moete,Q112162698,Minister of Urban Planning and Infrastructure,2004-06-15,2006-08-22,Q112128556-C5674FE1-BCCD-4300-9A67-3516C8F781C3
Q112128556,Aniceto Ebiaca Muete,Q112162701,"First Vice-Prime Minister, in charge of human rights",2006-08-22,2008-07-15,Q112128556-FE210AE8-8EF7-439C-A636-86EFEC184860
Q112133227,Anastasio Asumu Mum Muñoz,Q112162674,Minister of Fishing,2008-07-15,2012-05-22,Q112133227-6A7529BB-09D9-4D08-ABEC-AC5AA863AD94
Q112133244,Eucario Bakale Angüe,Q112162697,Minister of Transport,2018-02-06,2019-04-10,Q112133244-2D6D5B05-D7DE-4491-A35E-369D581CCEE9
Q112133244,Eucario Bakale Angüe,Q111021198,Minister of Commerce,2015-04-15,2018-02-06,Q112133244-4473C782-411C-45FD-82EC-F5330E78EAD7
Q112133244,Eucario Bakale Angüe,Q112162686,Minister of Public Administration and Administrative Reform,2019-04-10,2019-12-31,Q112133244-92B2A32B-D728-4F04-B03A-1A45E682184F
Q112133245,Eulalia Nvo Bela,Q112162691,Social and Women’s Affairs,2006-08-22,2012-05-22,Q112133245-D57043E0-2BC5-4F01-A797-36BEB94AA04C
Q112133249,Heriberto Meko Mbengono,Q111021204,Minister of Labor,2013-01-30,2016-06-24,Q112133249-1655C849-D72D-4AE3-90BF-26B3F7DDF858
Q112133249,Heriberto Meco Mbengono,Q112174457,National Security,2018-01-01,,Q112133249-878B77DC-07B0-4152-918A-AEAF2C66C64C
Q112133249,Heriberto Miko Mbengono,Q112174454,Labour and Social Security,2012-01-01,2013-01-01,Q112133249-94547390-27E3-415E-9F44-FE45D7349D09
Q112133252,Juan Antonio Bibang Nchuchuma,Q112162673,Minister of External Security,2018-02-06,2019-12-31,Q112133252-4E3D5A71-55EE-4435-94A7-FBBC45970033
Q112133253,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2013-01-01,2018-01-01,Q112133253-07DE490A-A07D-4EDC-AC4C-2056E1F39A72
Q112133253,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2012-01-01,2013-01-01,Q112133253-42093941-CCE4-47B4-B824-430D1A86BE35
Q112133253,Leocadio Ndong Moñung,Q112174413,Interior and Local Corporations,2008-01-01,2010-01-01,Q112133253-668E9977-9E71-4F6E-835D-66B89BB6B36A
Q112133263,Melchor Esono Edjo,Q111021200,Minister of Finance,2010-01-12,2012-05-22,Q112133263-34AE1AD3-BE63-4E53-BA64-7AA08D1745E1
Q112133267,Pedro Ondo Nguema Okomo,Q111021198,Minister of Commerce,2008-07-15,2011-01-28,Q112133267-726F478D-1470-4F7B-AB29-EC6377885F1B
Q112133267,Pedro Ondo Nguema Okomo,Q111021205,Minister of Public Works,2016-06-24,2018-02-06,Q112133267-F2DF3C90-B9CE-4933-9088-3EAA57D3FA4C
Q112133270,Purificación Buhari Lesaquero,Q112174526,Women's Promotion,2004-01-01,2006-01-01,Q112133270-002355F6-F9A8-4380-AE0A-E4DCF83C31E6
Q112133270,Purificacion Buari Lazaquero,Q112174526,Women’s Affairs,2003-01-01,2004-01-01,Q112133270-0BDE73BA-4D3E-4433-8363-A5E3552B3EC4
Q112133270,Purificacion Bohari Lasaguero,Q112162687,Minister of Public Service and Administrative Planning,2012-05-22,2016-06-24,Q112133270-95070DB4-3B16-4ED3-B956-2992DF9A62B6
Q112133279,Tomas Mecheba Fernandez Galllea,Q111020058,Health Minister of Equatorial Guinea,2012-05-22,2013-09-04,Q112133279-03367B47-5C03-49D2-8CA3-628119D40903
Q112133279,Tomas Mecheba Fernandez Galllea,Q112162693,Minister of Tourism,2016-06-24,2018-02-06,Q112133279-C5FEF9E7-7EEF-46C1-963C-B49EC1BFEF65
Q112133279,Tomas Mecheba Fernandez Galllea,Q112162671,Minister of Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,2013-09-04,2016-06-24,Q112133279-FABF25F3-033C-45CC-BB4D-68B2D148BDC8
Q112133280,Vicente Rodriguez Siosa,Q112162674,Minister of Fishing,2006-08-22,2008-07-15,Q112133280-03599BA6-D8FF-4D7D-BB43-129184E1091A
Q112133282,Vidal Choni Becoba,Q112162699,Minister of Youth and Sports,1999-07-22,2001-03-09,Q112133282-CE4E2930-17FB-4747-A795-42F6BF1EB8CE
Q112133372,Adoracion Salas Chonco,Q112162674,Minister of Fishing,2018-02-06,2019-12-31,Q112133372-251E9D4E-AF8A-49D4-B04B-1D95553DE25B
Q112133375,Alfredo Mitogo Mitogo,Q111021197,Minister of Agriculture,2013-09-04,2015-04-15,Q112133375-8DEC7601-E7A4-44B3-96C6-FF94179BC529
Q112133375,Alfredo Mitogo Mitogo,Q112162696,Minister of Trade,2015-04-15,2016-06-24,Q112133375-DCC68DFF-2080-448A-93AB-B958F7FE8DA4
Q112133387,Conrado Okenve Ndoho,Q112162681,Minister of Planning,2012-05-22,2013-09-04,Q112133387-81F6B6BF-07D1-42CB-B7F2-8081A5E5A01A
Q112133387,Conrado Okenve Ndoho,Q111021198,Minister of Commerce,2013-09-04,2015-04-15,Q112133387-94EA032F-FCCC-46B0-B344-DC304E010EB3
Q112133389,Consuelo Ondo Nsang,Q112162691,Minister of Social Affairs,2015-04-15,2018-02-06,Q112133389-2E12A328-1E10-44AC-81B1-8DA58A53B065
Q112133405,Francisca Tatchup Belope,Q111021198,"Economy, Commerce and Business Promotion",2011-01-28,2012-05-22,Q112133405-EE512AC8-2335-4AFB-A4DC-B78AE3DC6B69
Q112133412,Hermes Ela Mifumu,Q112162685,Minister of Promotion of Small and Medium Businesses,2016-06-24,2018-02-06,Q112133412-7C46697A-080E-499F-8533-1ECD82B06E00
Q112133418,Jesus Engonga Ndong Eyono,Q111021199,Minister of National Education,2018-02-06,2019-04-10,Q112133418-5B35C31C-D738-49C8-A2CA-FB1F15044B9B
Q112133418,Jesus Engonga Ndong Eyono,Q111021199,Minister of National Education,2015-04-15,2018-02-06,Q112133418-64F86B23-6E6C-41CF-A16F-651A65703CF5
Q112133445,Reinaldo Asu Mangue,Q112174461,"Public Works, Housing and Urbanism",2018-01-01,2020-01-01,Q112133445-A1B0BF7E-AAAD-4F51-A37B-6A18475207BC
Q112133445,Reginaldo Asu Mangue,Q112162694,Minister of Town Planning,2016-06-24,2018-02-06,Q112133445-BAC56A56-408C-43A2-AF2C-78B7146A26C5
Q112133583,Florentino Ncogo Ndong,Q111021205,Minister of Public Works,1999-07-22,2003-02-11,Q112133583-D7719421-96CF-4713-9C59-401203333860
Q112133587,Enrique Mercader Costa,Q111021204,Minister of Labor,2004-06-15,2006-06-15,Q112133587-89C99B9A-5FB3-4259-8699-997ECBACF1A0
Q112133587,Enrique Mercader Costa,Q112162697,Minister of Transport,2006-06-15,2010-01-12,Q112133587-95B38978-E1FF-4D2E-AD6B-962CE13E6CFE
Q112133713,Ma Consuelo Nguema Oyana,Q112162691,Minister of Social Affairs,2018-02-06,2019-12-31,Q112133713-4456E3F2-8250-4676-9E23-B1EB12FF349E
Q112133717,Maria Leonor Epam Biribe,Q112162691,Minister of Social Affairs,2012-05-22,2013-09-04,Q112133717-B20B3344-1560-45FE-955A-1D0AACB182C9
Q112133750,Eugenio Nze Obiang,Q112128225,"Information, Press and Radio",2015-04-15,2020-01-01,Q112133750-3037C8CF-8AE9-434D-91FB-CEF554CB32E0
Q112133772,Cresencio Tamarite Castaño,Q112162674,Minister of Fishing,2012-05-22,2015-04-15,Q112133772-0C89694E-05BC-4E06-8098-AC2BEEE6297D
Q112162550,Cándido Nsue Okomo,Q112162699,Minister of Youth and Sports,2017-06-13,2018-02-06,Q112162550-7453A455-7821-44B4-B190-77EC657F7AD3
Q112162957,Alejandro Bacale Ncogo,Q111021195,Minister of National Defense,2018-02-06,2019-12-31,Q112162957-E3307F37-D9A9-4D4D-A04B-02F2C3590690
Q112162958,Alejandro Evuna Owono Asangono,Q112162678,Minister of Missions,1989-11-25,2019-12-31,Q112162958-BAB1E218-875E-4A06-8C35-76D61E6FA22B
Q112162959,Andrés Jorge Mbomio Nsem Abu,Q112162699,Minister of Youth and Sports,2015-04-15,2017-06-13,Q112162959-CA8D2C19-5CB5-48E6-9A6C-E522B5EDE55D
Q112162961,Anselmo Ondo Eseno,Q111021199,Minister of National Education,2008-07-15,2010-01-12,Q112162961-5708CED3-3610-4306-A958-A25185ABC185
Q112162962,Antonio Martin Ndong Ntutumu,Q111020058,Health Minister of Equatorial Guinea,2006-08-22,2008-07-15,Q112162962-10635021-6575-480B-974E-16E0A000DA0C
Q112162962,Antonio Martin Ndong Ntutumu,Q112162665,Minister of Administrative Coordination,2004-06-15,2006-08-22,Q112162962-1F0F2F11-5844-427B-91AE-4F48DF3884D0
Q112162963,Antonio Nve Nseng,Q112162681,Minister of Planning,2003-02-11,2004-06-15,Q112162963-B0F7391B-22A6-427C-86B4-0247AD4A639F
Q112162965,Antonio Pedro Olivera Boropu,Q112162696,Minister of Trade,2016-06-24,2018-02-06,Q112162965-7505AD3A-3C1A-41B9-BA95-6D907451CC61
Q112162967,Baltasar Engonga Edjo,Q111021198,Minister of Commerce,2001-03-09,2004-06-15,Q112162967-F3275785-DA53-4C09-9A5D-E3F92D93F663
Q112162967,Baltasar Engonga Edjo,Q112162689,Minister of Regional Integration,2006-02-14,2019-12-31,Q112162967-FAE69AB5-B2E5-4F49-AD19-DE8042508A10
Q112162968,Baltasar Esono Oworo Nfono,Q112162700,Minister without Portfolio,2016-06-24,2019-12-31,Q112162968-F860508B-B942-4A71-BF5E-3929929C0608
Q112162969,Braulio Ncogo Abegue,Q112162669,Minister of Civil Cabinet,2008-07-15,2016-06-24,Q112162969-E1BB1BD3-C842-465B-8E9D-E5AF81B12351
Q112162970,Carmelo Modu Acusé Bindang,Q111021201,Minister of Industry & Mines,2003-02-11,2004-06-15,Q112162970-34ED27A9-106D-4FD7-95E2-E803227CC2A7
Q112162970,Carmelo Modu Akuse Bindang,Q112162683,Minister at the presidency of the republic in charge of Political and A,2006-08-22,2008-07-15,Q112162970-37D69F02-F4A8-4764-A0AF-EA4BB875A0BD
Q112162970,Carmelo Modu Acusé Bindang,Q112162681,Minister of Planning,2004-06-15,2006-08-22,Q112162970-41EC59DC-BC7B-4F7F-9133-9C8FB5C9B336
Q112162972,Clemente Engonga Nguema Onguene,Q111021199,"Deputy PM and Minister of Education, Universities and Sports",2019-04-10,,Q112162972-8386F421-2EDA-48E3-83F2-3553AC841159
Q112162972,Clemente Engonga Nguema Onguene,Q111021202,Minister of State in charge of Interior and Local Coporations,2001-03-09,2012-05-22,Q112162972-96091113-3364-429B-9331-4D19F47DC430
Q112162972,Clemente Engonga Nguema Andeme,Q112162701,Vice-Prime Minister,2012-05-22,2019-04-10,Q112162972-A7B26D35-2649-4667-A193-D9379E208877
Q112162973,Constantino Ekong Zue,Q111021201,Minister of Industry & Mines,1999-07-22,2003-02-11,Q112162973-43135058-48E1-4C8A-8B1E-2DD5C72187AC
Q112162976,César Augusto Mba Abogo,Q111021200,Minister of Finance,2019-04-10,2020-08-14,Q112162976-227F5528-6506-4D33-B0F5-965928D5D372
Q112162976,César Augusto Mba Abogo,Q111021200,Minister of Finance,2020-08-18,,Q112162976-776b6a02-4dc4-83b2-5c0d-c7f32affd205
Q112162977,Diosdado Nsue Medja,Q111021205,Minister of Public Works,2018-02-06,2019-12-31,Q112162977-E7B85A43-DFD1-4831-885B-93174E6705F4
Q112162980,Estanislao Don Malavo,Q111021204,Minister of Labor,2010-01-12,2012-05-22,Q112162980-144FE27E-5108-4A73-A788-D9404195398C
Q112162980,Estanislao Don Malavo,Q112162674,Minister of Fishing,2015-04-15,2016-06-24,Q112162980-4A436AE3-8DD9-4F9F-8B84-4CFCEA68DF78
Q112162980,Estanislao Don Malavo,Q111021200,Minister of Finance,2008-07-15,2010-01-12,Q112162980-4C4A0800-A6CB-4DE4-9364-C9D704090585
Q112162980,Estanislao Don Malavo,Q112162674,Minister of Fishing,2016-06-24,2018-02-06,Q112162980-A7CE4BF6-701F-44EE-8690-F237BC5F4DD1
Q112162981,Eugenio Edu Ndong,Q111021201,Minister of Industry & Mines,2016-06-24,2018-02-06,Q112162981-E823FD3D-4E7F-43FF-8EE5-AE8E9F1A5094
Q112162982,Faustino Ndong Esono Eyang,Q112162700,Minister without Portfolio,2013-09-04,2016-06-24,Q112162982-3C57A2E3-6C33-4263-9ED1-20ED7C6CCD73
Q112162982,Faustino Ndong Esono Eyang,Q112162686,Minister of Public Administration and Administrative Reform,2016-06-24,2019-04-10,Q112162982-9FB84281-E016-49D3-8FD6-03FA7959E211
Q112162982,Faustino Ndong Esono Eyang,Q111021202,Minister of Interior,2019-04-10,2019-12-31,Q112162982-E1A9578E-36F2-47B1-A0E7-DFF606DA8D39
Q112162983,Fernando Mabale Mba,Q112162670,Civil Service and Administrative Reforms,1998-01-23,2001-03-09,Q112162983-A477E24F-7D68-4A16-9621-E235D1B17AD2
Q112162984,Miguel Nsue Micha,Q112162698,Infrastructure and Urban Development,2006-08-22,2008-07-15,Q112162984-D4791657-D953-469F-A3D4-02BDC15439CD
Q112162986,Francisco Javier Ngomo Mbengono,Q111021203,Minister of Justice,2011-01-28,2013-09-04,Q112162986-266746C9-8C17-4CDB-9CA9-3482153A81A3
Q112162987,Gregorio Boho Camo,Q111021197,Minister of Agriculture,2001-03-09,2003-02-11,Q112162987-6E022882-43E0-4A9B-8C64-5B6390AE7D68
Q112162989,Jeremias Ondo Ngomo,Q112162701,Vice-Prime Minister,2003-02-11,2004-06-15,Q112162989-571D17C1-6772-4EB0-A495-6B43A0A0DD16
Q112162990,Joaquín Mbana Nchama,Q111021199,Minister of National Education,2011-01-28,2012-05-22,Q112162990-909D4DA4-52AA-4F86-93D8-1F36E7DA3E52
Q112162991,José Ela Oyana,Q112162681,Minister of Planning,2006-08-22,2012-05-22,Q112162991-AC751B1B-8F23-4F34-95E2-569A592550C6
Q112162993,Juan Antonio Ntutumu,Q112162699,Minister of Youth and Sports,2001-03-09,2003-02-11,Q112162993-62A82668-CF0B-4F7D-B2C0-0FD1C4A0FCD9
Q112162993,Juan Antonio Ntutumu,Q111020058,Health Minister of Equatorial Guinea,1999-07-22,2001-03-09,Q112162993-E1B181E9-6DA1-4751-B75D-FB14B879BD5A
Q112162994,Juan Nko Mbula,Q112162698,Minister of Urban Planning and Infrastructure,2012-05-22,2016-06-24,Q112162994-F057A542-6980-4D5F-AC5D-A16AB0BB9A7C
Q112162995,Justino Obama Nve,Q111020058,Health Minister of Equatorial Guinea,2003-02-11,2006-08-22,Q112162995-47773E91-454E-4B35-A6E0-292BD3BA0242
Q112162996,Leandro Micó Angué,Q112162668,Civil Aviation,2018-02-06,2019-12-31,Q112162996-CCCE1B4E-246F-47F7-BC52-CB9C47C057A0
Q112162997,Manuel Nguema Mba,Q112162679,Minister of National Security,2004-06-15,2009-02-24,Q112162997-AB760487-0456-46DD-9706-586E9B671FA5
Q112162998,Maria del Carmen Ekoro,Q111021199,Minister of National Education,2012-05-22,2013-09-04,Q112162998-05F4E109-E32E-4F01-9F2E-B11561B1D19C
Q112162998,Maria del Carmen Ekoro,Q112162691,Minister of Social Affairs,2013-09-04,2015-04-15,Q112162998-995567CA-C940-441B-893B-F99FC45E9812
Q112163001,Maximiliano Meko Aveme,Q112162692,Minister of Telecommunications and New Technologies,2016-06-24,2018-02-06,Q112163001-49C6664B-2E80-4534-A51F-C836A4540141
Q112163002,Miguel Ekua Ondo,Q111021201,Minister of Industry & Mines,2018-02-06,2019-12-31,Q112163002-1E52253B-2B0A-4F50-84A4-539766E45CF0
Q112163003,Miguel Engonga Obiang Eyang,Q111021200,Minister of Finance,2015-04-15,2018-02-06,Q112163003-1EECD834-F563-442D-A59F-F10BA49EF730
Q112163004,Miguel Eyanga Jobe Malango,Q111021204,Minister of Labor,2003-02-11,2004-06-15,Q112163004-47A01DC6-E7AE-40E2-8683-C33228C5031B
Q112163004,Miguel Eyanga Djoba Malango,Q112174571,Transport and Telecommunications,2004-01-01,2006-01-01,Q112163004-73BA1671-3B65-4DF8-8108-4BBCECA44C26
Q112163007,Nicolas Obama Nchama,Q112162679,Minister of National Security,2009-02-24,2019-12-31,Q112163007-E1DACF6D-23CC-436C-BF46-9522D7A43635
Q112163009,Nicolás Houtonji Acapo,Q111021197,Minister of Agriculture,2018-02-06,2019-12-31,Q112163009-E30AE807-C2F6-4B52-B1AE-6FE26AD995ED
Q112163012,Ruben Mye Nsue,Q111021203,Minister of Justice,1998-01-23,2004-06-15,Q112163012-8AEACCC4-1592-476B-A287-AC871F871CC7
Q112163013,Rufino Ndong Esono Nchama,Q112162672,Minister of Culture,2018-02-06,2019-12-31,Q112163013-3DE63F49-EAFA-41A4-AA0D-EC1A0CF9A3F9
Q112163014,Rufino Owono Engonga,Q112162697,Minister of Transport,2019-04-10,2019-12-31,Q112163014-DEC32AC2-DFE7-42FC-A687-B6965837D9BF
Q112163015,Salvador Mangue Avingono,Q112162687,Minister of Public Service and Administrative Planning,2008-07-15,2010-01-12,Q112163015-060654FC-144C-4840-871C-1455FE5978FF
Q112163015,Salvador Mangue Ayingono,Q112162686,Public Service and Administrative Planning,2008-01-01,2010-01-01,Q112163015-3C4B90C1-2545-4EF4-BDE9-67A851410518
Q112163015,Salvador Mangue Ayingono,Q112174518,Public Function (?) Public Service,2004-01-01,2006-01-01,Q112163015-BAF102AE-5255-4DBB-B720-D2ED735C7902
Q112163016,Salvador Ondo Nkumu,Q111021203,Minister of Justice,2018-02-06,2020-01-17,Q112163016-58906551-4104-48CB-B80B-E3C75FD89EFC
Q112163016,Salvador Ondo Nkumu,Q111021203,Minister of Justice,2008-07-15,2011-01-28,Q112163016-B87BABCB-4C16-475B-90A1-55A7DB78DE75
Q112163017,Teobaldo Nchaso Matomba,Q112128225,Minister of Information,2013-09-04,2015-04-15,Q112163017-FCB036B4-3F91-4738-A1D3-16712B0CCFBE
Q112163018,Tomas Esono Ava,Q112162700,Minister without Portfolio,2012-05-22,2013-09-04,Q112163018-7587161F-2C81-4056-94C4-A5621EC5B643
Q112163018,Tomas Esono Ava,Q112162687,Minister of Public Service and Administrative Planning,2010-01-12,2012-05-22,Q112163018-CC8A3675-B134-4987-9C49-3EA847FABF69
Q112163019,Vicente Eya Olomo,Q111021195,Minister of National Defense,2016-06-24,2017-05-30,Q112163019-55043C72-7649-4645-A5A8-146E4E7969D5
Q112163021,Víctor Grange Meile,Q111021197,Minister of Agriculture,2016-06-24,2018-02-06,Q112163021-F139DDF4-D4B1-49D8-9BFE-B3B2DD931A17
Q112163023,Ángel Borico Moisés,Q111021204,Minister of Labor,2016-06-24,2018-02-06,Q112163023-412CC50E-08A7-48C3-A758-19422B79B59B
Q112175129,Agapito Edu Ndong,Q112174418,Mines and Hydrocarbons,2018-01-01,2020-01-01,Q112175129-06F37386-E9F3-4D63-82AE-165800A539C0
Q112175131,Alberto Doria Lajay,Q112174463,Trade and the Promotion of Small and Medium-sized Businesses,2020-01-01,,Q112175131-0344640D-5849-4677-A5D1-D793C1BEB089
