transformed,raw
Minister Delegate of National Defence,Minister Delegate of National Defence
Minister Delegate of National Security,Minister Delegate of National Security
Minister Delegate of Planning,Minister Delegate of Planning
"Minister Delegate of Press, Radio and Television","Minister Delegate of Press, Radio and Television"
Minister Delegate of Public Administration,Minister Delegate of Public Administration
Minister Delegate of Public Works,Minister Delegate of Public Works
Minister Delegate of Tourism and Culture,Minister Delegate of Tourism and Culture
Minister Delegate of Trade,Minister Delegate of Trade
Minister Delegate of Transport,Minister Delegate of Transport
Minister Delegate of Transport,Minister Delegate of Transports and Communications
Minister Delegate of University Education and Science,Minister Delegate of University Education and Science
Minister Delegate of Youth and Sports,Minister Delegate of Youth and Sports
"Minister Delegate to the Presidency","Minister Delegate of the Presidency of te Republic, in charge of External Security"
Minister Delegate of Agriculture,Minister Delegate to Agriculture
Minister in charge of Human Rights,Minister In charge of Human Rights
Minister at the Presidency,Minister at the Presidency in charge of External Security
Minister at the Presidency,Minister at the Presidency in charge of the Administrative Coordination
Minister at the Presidency,Minister at the presidency in charge of Civil Office
Minister at the Presidency,Minister at the presidency in charge of Information
Minister at the Presidency,Minister at the presidency in charge of Missions
Minister at the Presidency,Minister at the presidency in charge of Political and A
Minister at the Presidency,Minister at the presidency in charge of Regional Inte
Minister at the Presidency,Minister at the presidency in charge of Regional Integration
Minister at the Presidency,Minister at the presidency of the republic in charge of Missions
Minister of Public Administration and Administrative Reform,Minister in charge of the Political Secor and Democr
Minister of Agriculture,Minister of Agriculture
Minister of Civil Aviation,Minister of Civil Aviation
Minister of Civil Service,Minister of Civil Service
Minister of Trade,Minister of Commerce
Minister of Culture,Minister of Culture
Minister of Economy,Minister of Economy and Finance
"Minister of Economy","Minister of Economy, Commerce and Business Promotion"
"Minister of Economy","Minister of Economy, Planning and Public Investment"
"Minister of Economy","Minister of Economy, Trade and Business Development"
Minister of Education,Minister of Education
Minister of Finance,Minister of Finance
Minister of Fisheries,Minister of Fisheries
Minister of Foreign Affairs,Minister of Foreign Affairs
Minister of Forests,Minister of Forestry and Environment
Minister of Health,Minister of Health
Minister of Industry,Minister of Industry
Minister of Information,Minister of Information
Minister of Infrastructure and Forests,Minister of Infrastructure
Minister of Interior,Minister of Interior
Minister of Justice,Minister of Justice
Minister of Labour,Minister of Labour
Minister of Labour,Minister of Labour and Social Security
Minister of Mines,Minister of Mines
Minister of Defence,Minister of National Defence
Minister of National Security,Minister of National Security
Minister of Parliament Relations,Minister of Parliamentary Affairs
Minister of Planning,Minister of Planning
Minister of Public Administration and Administrative Reform,Minister of Public Administration
Minister of Public Works,Minister of Public Works
Minister of Relations with Parliament and Legal Affairs of the Government,Minister of Relations with the Parliament and Juridical Affairs
Minister of Social Affairs,Minister of Social Affairs
Minister of Social Affairs,Minister of Social Sector
Minister of State at the Presidency,Minister of State at the Presidency of the Government
Minister of State at the Presidency,Minister of State at the Presidency of the Government in charge of the
Minister of State at the Presidency,Minister of State at the President's Office
Minister of State in charge of Interior and Local Coporations,Minister of State in charge of Interior and Local Coporations
Minister of State of the Presidency,Minister of State of  the Presidency of the Republic in charge of Missions
Minister of State of Agriculture,Minister of State of Agriculture
Minister of State of Communication and Transport,Minister of State of Communication and Transport
Minister of State of Education,Minister of State of Education
Minister of State of Forestry,Minister of State of Forestry
Minister of State of Health,Minister of State of Health
Minister of State of Industry,Minister of State of Industry
Minister of State of Information,Minister of State of Information
Minister of State of Infrastructure,Minister of State of Infrastructure
Minister of State of Justice,Minister of State of Justice
Minister of State of Labour and Social Security,Minister of State of Labour and Social Security
Minister of State of Missions,Minister of State of Missions
Minister of State of National Defence,Minister of State of National Defence
Minister of State of National Security,Minister of State of National Security
Minister of State of Parliamentary Relations,Minister of State of Parliamentary Relations and Juridical Affairs
"Minister of State of Planning, and Government Spokesman","Minister of State of Planning and Economic Development, and Government Spokesman"
Minister of State of President's Office,Minister of State of President's Office
Minister of State of Public Service and Administrative Coordination,Minister of State of Public Service and Administrative Coordination
Minister of State of Public Works,Minister of State of Public Works
Minister of State of Parliamentary Relations,Minister of State of Relations with the Parliament and Juridical Affairs
Minister of State of Secretary-General of the Presidency,Minister of State of Secretary-General at the Presidency
Minister of State of Secretary-General of the Presidency,Minister of State of Secretary-General of the Presidency
Minister of State of Special Duties,Minister of State of Special Duties to the Presidency
Minister of State of Transport,Minister of State of Transport and Communication
Minister of State of Transport,Minister of State of Transport and Communications
Minister of State of Transport,Minister of State of Transports and Communications
Minister of State of Youth and Sports,Minister of State of Youth and Sports
Minister of State of Parliamentary Relations,"Minister of State of for Parliamentary Relations and Judicial Affairs, Government Spokesman"
Minister of State of the Interior,Minister of State of the Interior
"Minister of State to the Presidency","Minister of State of the Presidency of the Republic, in charge of the Civil Office"
"Minister of State to the Presidency","Minister of State to the Presidency of the Government, Charged with Regional Integration"
"Minister of State to the Presidency","Minister of State to the Presidency of the Republic, Charged with Missions"
Minister of Trade,Minister of Trade and the Promotion of Small and Medium-sized Businesses
Minister of Transport,Minister of Transport and Communications
"Minister of Transport","Minister of Transport, Technology, Posts and Telecommunications"
"Minister of Transport","Minister of Transport, the Postal Service and Telecommunications"
"Minister of Transport","Minister of Transports, Posts and Telecommunications"
Minister of Women,Minister of Women's Development
Minister of Women,Minister of Women’s Promotion and Social Affairs
"Minister of Employment","Minister of Work, Employment Promotion and Social Security"
"Minister of Public Works","Minister of Works, Housing and Town Planning"
Minister of Youth and Sports,Minister of Youth and Sports
Minister of Relations with Parliament and Legal Affairs of the Government,Minister of in charge of Relations with Parliament and Legal Affairs
Minister of Civil Service and Administrative Reform,Minister of the Civil Service and Administrative Reform
Minister of Economy,Minister of the Economy and Finance
Minister of Interior,Minister of the Interior and Local Corporations
Minister of Political and Administrative Affairs,Minister of the Political Sector and Democracy
