@@,name,gender,item,psid
+++,BENIGNA OTUGU NDONG,female,,
+++,ISABEL ERAUL IVINA,female,,
+++,MONICA ANGUE NGUA NCHAMA,female,,
+++,AMPARO MELE KOLIFA,female,,
+++,Ma CONSUELO NGUEMA OYANA,female,,
+++,FELISA AMADI SUAKÍN,female,,
+++,NURIA LUCIA BEHOLI,female,,
+++,FILEBERTA PILAR BEKARI JANDU,female,,
+++,MARIA LEONOR EPAM BIRIBE,female,,
+++,GLORIA ADA MBA,female,,
+++,EVANGELINA FILOMENA OYO EBULE,female,,
+++,JOSEFINA MEDJA NSENG MANGUE,female,,
+++,FELICITAS SAMUEL NDONG MANGUE,female,,
+++,ANITA MBASOGO OBIANG,female,,
+++,CONSUELO ONDO NSANG,female,,
+++,ENRIQUETA NSE MIKO,female,,
+++,PELAGIA ABESO TOMO,female,,
+++,CLEMENTINA EDAYONG NDONG,female,,
+++,Ma GORRETI MANGUE ETOHO,female,,
+++,ADORACIÓN SALAS CHONCO,female,,
+++,FRANCISCA TACHUP BELOPE,female,,
+++,ALFREDO MITOGO MITOGO ADA,male,,
+++,MIGUEL MBA NSANG MIKUE,male,,
+++,RAMIRO PEDRO NSUE NFUMU,male,,
+++,REGINALDO ESONO AFUGU,male,,
+++,JOSE ANTONIO ESONO ABESO MAQUINA,male,,
+++,JOSE ANTONIO ESONO OBIANG,male,,
+++,FERNANDO ANGOSSO BACALE,male,,
+++,PEDRO ONDO MITOGO,male,,
+++,METODIO MBA NSOGO MANGUE,male,,
+++,SATURNINO ENGUAN EMAN,male,,
+++,BENJAMIN P. ESAWONG EKOM,male,,
+++,LUIS MANSOGO ABESO,male,,
+++,AMANCIO MITOGO NSE,male,,
+++,JOSE PABLO NVO OWONO AVIRI,male,,
+++,FERNANDO OBIANG ANGUE,male,,
+++,GREGORIO ESONO MIKO,male,,
+++,SALVADOR NGUEMA MANGUE,male,,
+++,MIGUEL EDJANG ANGUE,male,,
+++,BENJAMIN BAKALE NCARA,male,,
+++,REGINALDO ASU MANGUE,male,,
+++,FAUSTINO ENDAMAN MBA,male,,
+++,CONSTANTINO O. ESONO AYINGONO,male,,
+++,SALVADOR ELA NDONG MBUY,male,,
+++,ANTONIO NDONG NFA MBUY,male,,
+++,GABRIEL BEE NDONG MANGUE,male,,
+++,FRANCISCO ASUMU BIKUY,male,,
+++,SEVERINO ONDO NGUEMA,male,,
+++,SALOMON NFA NDONG,male,,
+++,JESUS EVUY MONSUY,male,,
+++,SANTIAGO ONDO ESONO,male,,
+++,JOAQUIN MBA ABUY,male,,
+++,SERAFIN ONDO MAYE,male,,
+++,EULOGIO MONGORO MAÑANA,male,,
+++,JERONIMO OSA OSA EKORO,male,,
+++,Santiago NSOBEYA EFUMAN N.,male,,
+++,JOSE VENANCIO EYENE ONA,male,,
+++,LUIS EDJANG NCUMU,male,,
+++,HIPOLITO MBA SIMA,male,,
+++,DIOSDADO VICENTE NSUE MILANG,male,,
+++,EUGENIO NSE OBIANG,male,,
+++,SANTOS OBA OBAMA,male,,
+++,SANTIAGO CASTO NVONO BIBANG,male,,
+++,FEDERICO ABAGA ONDO,male,,
+++,SILVESTRE ABAGA EYANG,male,,
+++,FERNANDO NVARA ENGONGA,male,,
+++,SANTIAGO NGUEMA ABAGA MANGUE,male,,
+++,BERNARDO ABAGA NDONG MAYE,male,,
+++,FELICIANO NVO OLUY,male,,
+++,JESUS MBA NGUEMA,male,,
+++,VICENTE ABESO MBUY,male,,
+++,JUAN AGUSTIN NDONG NVE,male,,
+++,JUAN ZACARIAS ONDO BINDANG,male,,
+++,CARMELO NGUEMA NTUTUMU,male,,
+++,ANTONIO EDU EDU,male,,
+++,JUAN BENITO MONSUY EDU,male,,
+++,JOSE MBO ABESO ABEGUE,male,,
+++,JOSE EMILIO NDONG MESIE,male,,
+++,LAMBERTO OWONO MAYE-EBANG,male,,
+++,GABRIEL OROBIYI BANKOLE,male,,
+++,DAVID MBA EDU,male,,
+++,JUAN JOSE ALAIS ESIN,male,,
+++,AGUSTJN MASSOKO ABEGUE,male,,
+++,TOMAS MBA MONABANG,male,,
+++,JESUS MITOGO OYONO ANDEME,male,,
+++,ISAIAS LOKA SIALE,male,,
+++,PELAYO ERIBO KUBAKUBA,male,,
+++,GAUDENCIO MOHABA MESU,male,,
+++,ANSELMO SEPA MBAMUALA,male,,
+++,BENJAMIN MITOGO BIELO,male,,
+++,VENANCIO KAMI FOGATA,male,,
+++,MIGUEL BOTEY SOBOLE,male,,
+++,CHESCENCIO TAMARITE GASTAÑO,male,,
+++,DAMASO CORAL ZAMORA,male,,
+++,MAXIMILIANO MARTIN MEKO A.,male,,
+++,SALVADOR BONSUNDI MABALE ,male,,
+++,JOSE Ma ONDO OYONO EYANG,male,,
+++,JUAN ROKU ENUMBIE,male,,
+++,CRISPIN ENGONO NGUEMA,male,,
+++,SANTIAGO ESUA NKO,male,,
