number,name,gender
1,ISABEL ERAUL IVINA,female
2,GABRIEL OROBIYI BANKOLE,male
3,FELISA AMADI SUAKÍN,female
4,EVANGELINA FILOMENA OYO EBULE,female
5,DAVID MBA EDU,male
6,JUAN JOSE ALAIS ESIN,male
7,FILEBERTA PILAR BEKARI JANDU,female
8,AGUSTJN MASSOKO ABEGUE,male
9,TOMAS MBA MONABANG,male
10,JESUS MITOGO OYONO ANDEME,male
11,ISAIAS LOKA SIALE,male
12,MARIA LEONOR EPAM BIRIBE,female
13,FRANCISCA TACHUP BELOPE,female
14,PELAYO ERIBO KUBAKUBA,male
15,GAUDENCIO MOHABA MESU,male
16,AMPARO MELE KOLIFA,female
17,ANSELMO SEPA MBAMUALA,male
18,BENJAMIN MITOGO BIELO,male
19,VENANCIO KAMI FOGATA,male
20,MIGUEL BOTEY SOBOLE,male
21,ADORACIÓN SALAS CHONCO,female
22,CHESCENCIO TAMARITE GASTAÑO,male
23,DAMASO CORAL ZAMORA,male
24,MONICA ANGUE NGUA NCHAMA,female
25,MAXIMILIANO MARTIN MEKO A.,male
26,SALVADOR BONSUNDI MABALE,male
27,JOSE Ma ONDO OYONO EYANG,male
28,JUAN ROKU ENUMBIE,male
29,CRISPIN ENGONO NGUEMA,male
30,ANITA MBASOGO OBIANG,female
31,SANTIAGO ESUA NKO,male
32,ALFREDO MITOGO MITOGO ADA,male
33,MIGUEL MBA NSANG MIKUE,male
34,RAMIRO PEDRO NSUE NFUMU,male
35,REGINALDO ESONO AFUGU,male
36,Ma CONSUELO NGUEMA OYANA,female
37,JOSE ANTONIO ESONO ABESO MAQUINA,male
38,NURIA LUCIA BEHOLI,female
39,JOSE ANTONIO ESONO OBIANG,male
40,FERNANDO ANGOSSO BACALE,male
41,PEDRO ONDO MITOGO,male
42,METODIO MBA NSOGO MANGUE,male
43,Ma GORRETI MANGUE ETOHO,female
44,SATURNINO ENGUAN EMAN,male
45,BENJAMIN P. ESAWONG EKOM,male
46,BENIGNA OTUGU NDONG,female
47,LUIS MANSOGO ABESO,male
48,AMANCIO MITOGO NSE,male
49,JOSE PABLO NVO OWONO AVIRI,male
50,FERNANDO OBIANG ANGUE,male
51,GREGORIO ESONO MIKO,male
52,SALVADOR NGUEMA MANGUE,male
53,MIGUEL EDJANG ANGUE,male
54,BENJAMIN BAKALE NCARA,male
55,REGINALDO ASU MANGUE,male
56,FELICITAS SAMUEL NDONG MANGUE,female
57,FAUSTINO ENDAMAN MBA,male
58,CLEMENTINA EDAYONG NDONG,female
59,CONSTANTINO O. ESONO AYINGONO,male
60,SALVADOR ELA NDONG MBUY,male
61,ANTONIO NDONG NFA MBUY,male
62,GABRIEL BEE NDONG MANGUE,male
63,FRANCISCO ASUMU BIKUY,male
64,SEVERINO ONDO NGUEMA,male
65,SALOMON NFA NDONG,male
66,JESUS EVUY MONSUY,male
67,SANTIAGO ONDO ESONO,male
68,JOAQUIN MBA ABUY,male
69,SERAFIN ONDO MAYE,male
70,EULOGIO MONGORO MAÑANA,male
71,JERONIMO OSA OSA EKORO,male
72,Santiago NSOBEYA EFUMAN N.,male
73,JOSE VENANCIO EYENE ONA,male
74,ENRIQUETA NSE MIKO,female
75,PELAGIA ABESO TOMO,female
76,LUIS EDJANG NCUMU,male
77,HIPOLITO MBA SIMA,male
78,DIOSDADO VICENTE NSUE MILANG,male
79,EUGENIO NSE OBIANG,male
80,SANTOS OBA OBAMA,male
81,SANTIAGO CASTO NVONO BIBANG,male
82,FEDERICO ABAGA ONDO,male
83,SILVESTRE ABAGA EYANG,male
84,FERNANDO NVARA ENGONGA,male
85,SANTIAGO NGUEMA ABAGA MANGUE,male
86,BERNARDO ABAGA NDONG MAYE,male
87,FELICIANO NVO OLUY,male
88,JESUS MBA NGUEMA,male
89,GLORIA ADA MBA,female
90,VICENTE ABESO MBUY,male
91,JOSEFINA MEDJA NSENG MANGUE,female
92,JUAN AGUSTIN NDONG NVE,male
93,JUAN ZACARIAS ONDO BINDANG,male
94,CONSUELO ONDO NSANG,female
95,CARMELO NGUEMA NTUTUMU,male
96,ANTONIO EDU EDU,male
97,JUAN BENITO MONSUY EDU,male
98,JOSE MBO ABESO ABEGUE,male
99,JOSE EMILIO NDONG MESIE,male
100,LAMBERTO OWONO MAYE-EBANG,male
