item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112133372,ADORACIÓN SALAS CHONCO,,,,,2018-01-12,,female,Q112133372-2C54F89F-554F-48C3-B78F-061D68119454
Q112133765,AGUSTJN MASSOKO ABEGUE,,,,,2018-01-12,,male,Q112133765-5C3747EC-D90E-4F8B-A094-54B20DB3F5B3
Q112133726,ALFREDO MITOGO MITOGO ADA,,,,,2018-01-12,,male,Q112133726-6D4C3EF8-AFB3-485A-B8CC-D6AEF4CB3C63
Q112133377,AMANCIO MITOGO NSE,,,,,2018-01-12,,male,Q112133377-0B955001-0DD1-4838-968A-BCB1DF90B0D4
Q112133712,AMPARO MELE KOLIFA,,,,,2018-01-12,,female,Q112133712-FECE231E-C8AA-4C9B-A4B9-F2AE24801F87
Q112133380,ANITA MBASOGO OBIANG,,,,,2018-01-12,,female,Q112133380-1F75C824-98C3-4B72-BB93-172AAB672A78
Q112133381,ANSELMO SEPA MBAMUALA,,,,,2018-01-12,,male,Q112133381-C5553BA7-1B54-4EC7-A4F9-740AA4EBB48F
Q112133758,ANTONIO EDU EDU,,,,,2018-01-12,,male,Q112133758-7EBE636F-7E48-4397-815D-33FEBC4807AC
Q112133740,ANTONIO NDONG NFA MBUY,,,,,2018-01-12,,male,Q112133740-038E8F7A-CCBE-49E0-A0F9-52412119FDAA
Q112133709,BENIGNA OTUGU NDONG,,,,,2018-01-12,,female,Q112133709-593AB010-BB5E-4583-A32C-7EEC935B7469
Q112133737,BENJAMIN BAKALE NCARA,,,,,2018-01-12,,male,Q112133737-4628EEA0-6F6F-4607-B095-E06030CA9857
Q112133770,BENJAMIN MITOGO BIELO,,,,,2018-01-12,,male,Q112133770-A27EAA58-247F-4C15-89FE-51982B6CDEBD
Q112133734,BENJAMIN P. ESAWONG EKOM,,,,,2018-01-12,,male,Q112133734-0FF8944F-BF4A-4C98-91D5-411214A03860
Q112133754,BERNARDO ABAGA NDONG MAYE,,,,,2018-01-12,,male,Q112133754-44D8E8A2-00BB-4565-ABDC-50DB71ECEB64
Q112133385,CARMELO NGUEMA NTUTUMU,,,,,2018-01-12,,male,Q112133385-9A455E04-CBE0-436F-91D2-2314277D3B5B
Q112133772,CHESCENCIO TAMARITE GASTAÑO,,,,,2018-01-12,,male,Q112133772-7FDCDEF3-6DF0-439E-BE0F-6BEFD8A6ECA4
Q112133386,CLEMENTINA EDAYONG NDONG,,,,,2018-01-12,,female,Q112133386-BF021CEF-26A8-4A1E-A316-C4D6D88B8F17
Q112133739,CONSTANTINO O. ESONO AYINGONO,,,,,2018-01-12,,male,Q112133739-188BDAAC-C755-42DD-9CD6-FE16B8FCD08A
Q112133389,CONSUELO ONDO NSANG,,,,,2018-01-12,,female,Q112133389-4852DA6A-DC95-424D-A508-C4DC59962E4B
Q112133390,CRISPIN ENGONO NGUEMA,,,,,2018-01-12,,male,Q112133390-79899B30-A219-4AD7-89C3-8A3B1BCBE252
Q112133773,DAMASO CORAL ZAMORA,,,,,2018-01-12,,male,Q112133773-CA8101C0-5CE3-411F-B9A9-73FC96FA92A3
Q112133391,DAVID MBA EDU,,,,,2018-01-12,,male,Q112133391-3645B486-0943-46BB-8AB2-2B914370229A
Q112054486,DIOSDADO VICENTE NSUE MILANG,,,,,2018-01-12,,male,Q112054486-C85DC3E2-E04E-4DE7-86DC-881F94FCEC9D
Q112133722,ENRIQUETA NSE MIKO,,,,,2018-01-12,,female,Q112133722-DDE79F9F-C07E-4F85-BAA6-2D97885D48FE
Q112133750,EUGENIO NSE OBIANG,,,,,2018-01-12,,male,Q112133750-221D6113-6186-455B-B24E-3A763783311E
Q112133744,EULOGIO MONGORO MAÑANA,,,,,2018-01-12,,male,Q112133744-0D1C3E2C-AF82-4E53-BDDC-4350879B2542
Q112133719,EVANGELINA FILOMENA OYO EBULE,,,,,2018-01-12,,female,Q112133719-9BABB455-AFDB-4285-8BA4-161300DA7198
Q112133738,FAUSTINO ENDAMAN MBA,,,,,2018-01-12,,male,Q112133738-1371CD6C-1A17-4B1F-B6FA-DF5C6AF2ADE6
Q112133397,FEDERICO ABAGA ONDO,,,,,2018-01-12,,male,Q112133397-8B1685BC-8496-4B62-9D97-6A359BC2FB78
Q112133755,FELICIANO NVO OLUY,,,,,2018-01-12,,male,Q112133755-679B7095-C69A-4297-AA68-1F9A31ABD506
Q112133721,FELICITAS SAMUEL NDONG MANGUE,,,,,2018-01-12,,female,Q112133721-A2D21E85-4636-456D-88B2-05C24F163AF9
Q112133714,FELISA AMADI SUAKÍN,,,,,2018-01-12,,female,Q112133714-D5C40E43-A890-4951-A3E3-F87E2F0EA078
Q112133731,FERNANDO ANGOSSO BACALE,,,,,2018-01-12,,male,Q112133731-CF1C62B9-D1C9-4566-BB73-4D8632D08CA2
