item,itemLabel,startDate,endDate,sourceDate,psid
Q251902,Ángel Serafín Seriche Dougan,1996-04-11,2001-03-04,,Q251902-A76F2E48-A8E6-4FE9-AD3D-EA86A084A4ED
Q1149802,Cándido Muatetema Rivas,2001-03-04,2004-06-14,,Q1149802-0CC941E6-8861-42F8-9DDF-FC63825DE5D1
Q1353126,Miguel Abia Biteo Boricó,2004-06-14,2006-08-14,,Q1353126-D61B3587-5B21-43E3-BBBB-87FE756361E0
Q602837,Ricardo Mangue Obama Nfubea,2006-08-14,2008-07-08,,Q602837-7475A633-57C6-4F5F-ABA5-89BA5A33CE9D
Q57898,Ignacio Milam Tang,2008-07-08,2012-05-21,,Q57898-BE0CA2C2-4124-437C-9235-EF2576C39219
Q2201806,Vicente Ehate Tomi,2012-05-21,2016-06-22,,Q2201806-64188B02-419B-4044-8F48-0C667C5F9CE9
Q24761111,Francisco Pascual Obama Asue,2016-06-22,,,Q24761111-bcace455-4919-84b0-9b54-ac7de8dbcde2
