@@,name,gender,item,psid
+++,JACINTA MBANG NGUEMA,female,,
+++,TERESA EFUA ASANGONO,female,,
+++,JESUSA OBONO ENGONO,female,,
+++,TRINIDAD MBULITO MESAKA,female,,
+++,MARÍA DEL PILAR BUEPOYO BOSEKA,female,,
+++,ASUNCIÓN EYANG NCHUCHUMA,female,,
+++,EVANGELINA-FILOMENA OYO EBLE,female,,
+++,MARÍA DEL CARMEN ANDEME ELA,female,,
+++,VICTORIANA NCHAMA NSUE,female,,
+++,MARGARITA ALENE MBA,female,,
+++,ANACLETA OYANA NGUEMA,female,,
+++,PILAR ASANGONO OSA,female,,
+++,BERNARDITA ANGUESOMO EKEKANG,female,,
+++,MAGDALENA EYANG ONDO,female,,
+++,VICENTE EHATE TOMI,male,,
+++,TEOFILO NGUEMA ESONO,male,,
+++,LEONCIO PANADES GARCÍA,male,,
+++,HILARIO SISA TORRES,male,,
+++,CIRIACO TAMARITE BURGOS,male,,
+++,FRANCISCO GARCÍA GAETJENS,male,,
+++,AMADO NGUEMA OWONO,male,,
+++,TEODORO NGUEMA OBIANG MANGUE,male,,
+++,FORTUNATO NZAMBI MACHINDE,male,,
+++,SANTIAGO NGUA NFUMU EYANG,male,,
+++,BONIFACIO MANGA OBIANG,male,,
+++,JOSÉ MARÍA ANDJIMI ONDO BECHENG,male,,
+++,MARCELINO OYONO NTUTUMU,male,,
+++,MAURICIO BOKUNG ASUMU,male,,
+++,FLORENCIO MAYANGA MBELA,male,,
+++,SAMUEL ATEBA OWONO,male,,
+++,PRÁXEDES RABAT MACAMBO,male,,
+++,ESTEBAN NDONG MEMBIA,male,,
+++,FRANCISCO PASCUAL OBAM ASUE,male,,
+++,FRANCISCO MABALE NSENG,male,,
+++,SANTIAGO HINESTROSA BEHOLI,male,,
+++,CELESTINO MANSOGO NSI,male,,
+++,IGNACIO MILAM TANG,male,,
+++,DOMINGO ANTONIO NVE MBA,male,,
+++,FLORENCIO GERARDO ONDO EKANG,male,,
+++,LUIS OYONO ESONO,male,,
+++,BUENAVENTURA MONSUY ESONO,male,,
+++,FRANCISCO ABAHA NDONG,male,,
+++,TEÓFILO ONDO ELA ASUE,male,,
+++,ATANASIO ELA NTUGU NSA,male,,
+++,MANUEL SIMA NNEME,male,,
+++,ANTONIO NCULU ASUMU ANGUE,male,,
+++,LEANDRO ELA BIYANG,male,,
+++,MIGUEL EDJANG ANGUE,male,,
+++,ANGEL ALOGO NCHAMA,male,,
+++,BENJAMÍN PABLO NDONG MIBUI,male,,
+++,MARIANO ESONO ONDO MIBUI,male,,
+++,SANTIAGO ENGONGA NDONG,male,,
+++,ALEJANDRO ENVORO OVONO,male,,
+++,DEMETRIO ELO NDONG NSEFUMU,male,,
+++,FRANCISCO ASUMU BIKUY,male,,
+++,SEVERINO ONDO NGUEMA,male,,
+++,BATHÓ OBAM NSUE MENGUE,male,,
+++,ALEJANDRO EVUNA OWONO,male,,
+++,AGUSTÍN NSE NFUMU,male,,
+++,SALOMÓN NGUEMA OWONO,male,,
+++,CRISTÓBAL MEÑANA ELA,male,,
+++,LUCIANO ASUMU EDJANG,male,,
+++,SANTIAGO NSOBEYA EFUMAN,male,,
+++,ANGEL ESONO ABAHA MANGUE,male,,
+++,CARLOS EYI OBAMA NSANG,male,,
+++,FIDEL MARCOS MAÑE NCOGO,male,,
+++,ANTONIO FERNANDO NVE NGU,male,,
+++,JAIME ELA NDONG,male,,
+++,GUILLERMO OBAMA NZE,male,,
+++,ELÍAS ONDO EDJO,male,,
+++,FÉLIX MONSUY ENGO,male,,
+++,JUAN FERNANDO NVARA ENONGA,male,,
+++,ALEJANDRO EDU BEE,male,,
+++,FEDERICO EDJO OVONO,male,,
+++,JOSE MANUEL AKONO MONSUY,male,,
+++,RICARDO MANGUE OBAMA NFUBE,male,,
+++,PABLO ABAGA MANGUE,male,,
+++,ANGEL MASIE MIBUY,male,,
+++,LUCAS NGUEMA ESONO MBA,male,,
+++,MIGUEL OYONO NDONG MIFUMU,male,,
+++,MARIANO OBIANG NSANG,male,,
+++,CARMELO MODU AKUSE,male,,
+++,ANTONIO NDIBA AVOMO,male,,
+++,FORTUNATO OFA MBO NCHAMA,male,,
+++,BASILIO EDU NGUEMA NSANG,male,,
+++,FILIBERTO NSUE MIBIMI,male,,
---,Plácido Micó Abogo,male,Q5481126,Q5481126-C1BE1711-B306-4E65-A780-6AE98150D37F
+++,PELAYO ONDO NDONG,male,,
+++,GABRIEL MBA BELA,male,,
+++,FRANCISCO MBA OLO BAHAMONDE,male,,
+++,ALFONSO NSUE MOKUY,male,,
+++,PLÁCIDO MIKO ABOGO,male,,
+++,CELESTINO-BONIFACIO BACALE,male,,
+++,EULOGIO OYO RIQUESA,male,,
+++,MIGUEL ABIA BITEO BORICO,male,,
+++,HERMÓGENES EJAPA COFFI,male,,
+++,FRANCISCO MASA BELOPE,male,,
+++,GAUDENCIO MOHABÁ MESU,male,,
+++,CÁNDIDO MUATETEMA RIVAS,male,,
+++,ANGEL SERAFÍN SERICHE DOUGAN,male,,
+++,ANICETO EBIAKA MOETE,male,,
