item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112133372,ADORACION SALAS CHONCO,,,,,2013-07-12,2017-09-15,,Q112133372-AB3DAD8D-833E-476B-AA80-E1F7E8AF9A30
Q112133373,AGAPITO OBAMA BEE ONDO,,,,,2013-07-12,2017-09-15,,Q112133373-A408BE11-B1BA-4A02-87B9-10EC24E556FD
Q112133375,ALFREDO MITOGO MITOGO,,,,,2013-07-12,2017-09-15,,Q112133375-257538F3-F429-49C9-9A97-CB34028F107C
Q112128485,AMADO NGUEMA OWONO,,,,,2013-07-12,2017-09-15,male,Q112128485-FC519111-1C21-47F7-9FD6-3C780713AB07
Q112133377,AMANCIO MITOGO NSE AFANG,,,,,2013-07-12,2017-09-15,,Q112133377-EF782D1D-7DFB-49E8-B032-3AB5E32DCAF7
Q112133378,AMPARO MELE COLlFA,,,,,2013-07-12,2017-09-15,,Q112133378-4F1359D7-9DC2-48CD-8026-ED4B89C31567
Q112133379,ANGELA ASUNCION MBASOGO,,,,,2013-07-12,2017-09-15,,Q112133379-EC419600-3043-41C5-B489-7873493D6A01
Q112133380,ANITA MBASOGO OBIANG,,,,,2013-07-12,2017-09-15,,Q112133380-D6ECC6AA-E606-446A-965F-9C95A0098346
Q112133381,ANSELMO SEPA MBAMUALA,,,,,2013-07-12,2017-09-15,,Q112133381-EDBFB54B-358D-49ED-9B17-694FFECE3491
Q112133382,ANTONIA MBANG NDONG,,,,,2013-07-12,2017-09-15,,Q112133382-C2B8BD0E-E7C0-4C05-9128-958451575266
Q112133383,BARTOLOME MENE AKOGO,,,,,2013-07-12,2017-09-15,,Q112133383-3695A402-1E7F-417C-8A4A-646F23A641AC
Q112133384,BERNARDO ABAGA NDONG,,,,,2013-07-12,2017-09-15,,Q112133384-1007466C-1284-49C0-BCFC-0874DD1396CF
Q112133385,CARMELO NGUEMA NTUTUMU,,,,,2013-07-12,2017-09-15,,Q112133385-45612224-2D61-4FA2-80C3-9EED62D1BD8E
Q112128483,CIRIACO TAMARITE BURGOS,,,,,2013-07-12,2017-09-15,male,Q112128483-2DB0AAD1-E7FA-4458-99B5-8064DF210E34
Q112133386,CLEMENTINA EDAYONG NDONG,,,,,2013-07-12,2017-09-15,,Q112133386-4E881C82-C989-4D36-86F5-FB1E5DB3A5EA
Q112133387,CONRADO OKENVE NDOHO,,,,,2013-07-12,2017-09-15,,Q112133387-261AA6E6-E088-48AE-9B7D-C4CF211905B1
Q112133388,CONSTANTINO OBIANG ESONO,,,,,2013-07-12,2017-09-15,,Q112133388-5DF043F9-5AAA-480C-A861-0C7C3C5830B9
Q112133389,CONSUELO ONDO NSANG,,,,,2013-07-12,2017-09-15,,Q112133389-91E9BE55-15D1-4595-8FD5-B2E429239911
Q112133390,CRISPIN ENGONO NGUEMA,,,,,2013-07-12,2017-09-15,,Q112133390-12CE6730-28B1-4561-BA85-7F00AD2D3B61
Q112133391,DAVID MBA EDU,,,,,2013-07-12,2017-09-15,,Q112133391-018C3148-26C4-49D6-9EE5-EF2219FAA7FE
Q112054486,DIOSDADO VICENTE NSUE MILANG,,,,,2013-07-12,2017-09-15,male,Q112054486-1C5EB4F9-66DC-49F6-8A4C-4C952F970DF5
Q112133392,DOLORES NCHAMA SIMA,,,,,2013-07-12,2017-09-15,,Q112133392-5804184B-6A16-49ED-8B79-FE94BD6BFC5F
Q112128501,DOMINGO ANTONIO NVE MBA,,,,,2013-07-12,2017-09-15,male,Q112128501-9B1E623F-2D97-4AC9-87A7-45E596CD2C81
Q112133393,ENRIQUETA NZE MIKO,,,,,2013-07-12,2017-09-15,,Q112133393-B593B70B-8DC3-4B68-A707-5070C74D9506
Q112133394,EPIFANIO NDONG SIMA,,,,,2013-07-12,2017-09-15,,Q112133394-EACCF3D3-8CF7-4798-959A-73EDA686505D
Q112133395,EUSEBIO IPIKO PENDA,,,,,2013-07-12,2017-09-15,,Q112133395-940A3EC0-13FE-4D00-9B3C-A77BEE39429B
Q112133396,EVANGELlNA FILOMENA OYO EBULE,,,,,2013-07-12,2017-09-15,,Q112133396-70B75E04-9AB0-4481-8335-B5D504B1E2AE
Q112133397,FEDERICO ABAGA ONDO NFONO,,,,,2013-07-12,2017-09-15,,Q112133397-36AB36F8-2D3D-4243-BCB8-1E7D44331FFD
Q112133398,FELlCIANO NVO OLUY,,,,,2013-07-12,2017-09-15,,Q112133398-3F1767A1-40F1-451D-9C86-B827FE9416CE
Q112133399,FELlCITAS SAMUEL NDONG MANGUE,,,,,2013-07-12,2017-09-15,,Q112133399-EDD423DF-5A0B-4941-8EC7-E1B2C477BC9D
Q112133400,FELlSA MADI SUAKIN,,,,,2013-07-12,2017-09-15,,Q112133400-B3B5E09D-B4FC-46BE-ACEA-0C520F4A385F
Q112133401,FELlZ ANGOSO BAKALE,,,,,2013-07-12,2017-09-15,,Q112133401-EB649653-AABA-47E1-94A4-DC33BAF95253
Q112133402,FERNANDO OBIANG ANGÜE,,,,,2013-07-12,2017-09-15,,Q112133402-011F9599-CB16-4C79-99D7-61D8E4A9C6F7
Q112133403,FILlBERTA PILAR BEKARI JANDU,,,,,2013-07-12,2017-09-15,,Q112133403-492B47C7-61A0-4319-90A9-873F021AD5F4
Q112133404,FILlBERTO NGUEMA AFUGU,,,,,2013-07-12,2017-09-15,,Q112133404-0CBC954D-D85C-46D8-BE27-588144A25D77
Q112128502,FLORENCIO GERARDO ONDO EKANG,,,,,2013-07-12,2017-09-15,male,Q112128502-9F31B67F-BF7F-43B3-ADD0-CE34207BDC0B
Q112133405,FRANCISCA TATCHOUP BELOPE,,,,,2013-07-12,2017-09-15,,Q112133405-97B1337C-6DA2-4693-A84B-7494D51917BC
Q112128518,FRANCISCO ASUMU BIKUY,,,,,2013-07-12,2017-09-15,male,Q112128518-6C2C3759-4AC4-4B68-A575-DB41DD4C3249
Q112128550,FRANCISCO MBA OLO BAHAMONDE,,,,,2013-07-12,2017-09-15,male,Q112128550-3051BE72-5606-4057-A5AE-DD3B89213AC2
Q112133406,GABRIEL BEE NDONG MENGUE,,,,,2013-07-12,2017-09-15,,Q112133406-7BA293C1-27F1-46FC-AC07-C043DED5272F
Q112133407,GABRIEL MEMBILA BORILO,,,,,2013-07-12,2017-09-15,,Q112133407-623BE090-64D2-4FF2-92BF-B118904F3DB4
Q112133408,GAUDENCIO MUABA MESSU,,,,,2013-07-12,2017-09-15,,Q112133408-8FD303E6-A1A6-4899-BDC2-EC561F35DC39
Q112133409,GREGORIO ESONO MIKO,,,,,2013-07-12,2017-09-15,,Q112133409-DAC9E673-95C6-4CE6-B763-46680A3CC347
Q112133410,GUADALUPE NCHAMA ELA,,,,,2013-07-12,2017-09-15,,Q112133410-0B2FA770-86D4-4660-B396-2348B2AC2903
Q112133411,HERIBERTO MATUKU AMAGRO,,,,,2013-07-12,2017-09-15,,Q112133411-F5F5B9B2-E81F-4053-B062-B2C87B9A2F30
Q112133412,HERMES ELA MIFUMU,,,,,2013-07-12,2017-09-15,,Q112133412-C156F3EE-4F19-4EAF-B306-BF25ED397A8F
Q112133413,HIPOLlTO MBA SIMA,,,,,2013-07-12,2017-09-15,,Q112133413-9B9A146F-48C2-4AC6-BD14-61B54CE0E0AB
Q112133414,ISABEL ERAUL IVINA,,,,,2013-07-12,2017-09-15,,Q112133414-C1E871A3-07A5-4EBD-9A36-D83ED509E47F
Q112133417,JERONIMO OSA OSA EKORO,,,,,2013-07-12,2017-09-15,,Q112133417-BFFF6246-E348-495B-9FB3-5120C4A2DD66
Q112133418,JESUS ENGONGA NDONG EYONO,,,,,2013-07-12,2017-09-15,,Q112133418-7D4E5C31-1963-4235-B83E-343A0C8DA99E
Q112133416,JESUS EVUY MONSUY,,,,,2013-07-12,2017-09-15,,Q112133416-2064E524-1C60-47A0-8794-570699C2A566
Q112133419,JESUS MBA NGUEMA,,,,,2013-07-12,2017-09-15,,Q112133419-57690193-2DD8-4105-A8B5-83DE42FF5FB7
Q112133420,JESUSA OBONO ENGONO NCHAMA,,,,,2013-07-12,2017-09-15,,Q112133420-BC1396E8-5F09-421A-B862-AA71D1EB674B
Q112133421,JOSE ANTONIO ESONO OBIANG,,,,,2013-07-12,2017-09-15,,Q112133421-55DBF7A9-6A10-4090-9346-015762A25D76
Q112133422,JOSE EMILlO NDONG MESIE,,,,,2013-07-12,2017-09-15,,Q112133422-0F03B519-9B57-4A06-9DD1-54EC840FE0E0
Q112133423,JOSE PABLO NVO OWONO,,,,,2013-07-12,2017-09-15,,Q112133423-56EF1F6C-8C89-4636-BE94-4F8412C54B68
Q112133424,JOSEFINA MEDJA NZENG MANGUE,,,,,2013-07-12,2017-09-15,,Q112133424-39E560EF-4BCA-4A94-A162-D1C7567AA2EC
Q112133425,JUAN ASUMU ELA MEDJA,,,,,2013-07-12,2017-09-15,,Q112133425-084024FB-1941-4FC6-808D-D371EEDD7F17
Q112133426,JUAN FERNANDO NVARA ENGONGA,,,,,2013-07-12,2017-09-15,,Q112133426-D5B6B360-56A5-4AD3-83D5-EFDE772034EE
