@@,name,item,psid
+++,ADORACION SALAS CHONCO,,
+++,AGAPITO OBAMA BEE ONDO,,
+++,ALFREDO MITOGO MITOGO,,
+++,AMADO NGUEMA OWONO,,
+++,AMANCIO MITOGO NSE AFANG,,
+++,AMPARO MELE COLlFA,,
+++,ANGELA ASUNCION MBASOGO,,
+++,ANITA MBASOGO OBIANG,,
+++,ANSELMO SEPA MBAMUALA,,
+++,ANTONIA MBANG NDONG,,
+++,BARTOLOME MENE AKOGO,,
+++,BERNARDO ABAGA NDONG,,
+++,CARMELO NGUEMA NTUTUMU,,
+++,CIRIACO TAMARITE BURGOS,,
+++,CLEMENTINA EDAYONG NDONG,,
+++,CONRADO OKENVE NDOHO,,
+++,CONSTANTINO OBIANG ESONO,,
+++,CONSUELO ONDO NSANG,,
+++,CRISPIN ENGONO NGUEMA,,
+++,DAVID MBA EDU,,
+++,DIOSDADO VICENTE NSUE MILANG,,
+++,DOLORES NCHAMA SIMA,,
+++,DOMINGO ANTONIO NVE MBA,,
+++,ENRIQUETA NZE MIKO,,
+++,EPIFANIO NDONG SIMA,,
+++,EUSEBIO IPIKO PENDA,,
+++,EVANGELlNA FILOMENA OYO EBULE,,
+++,FEDERICO ABAGA ONDO NFONO,,
+++,FELlCIANO NVO OLUY,,
+++,FELlCITAS SAMUEL NDONG MANGUE,,
+++,FELlSA MADI SUAKIN,,
+++,FELlZ ANGOSO BAKALE,,
+++,FERNANDO OBIANG ANGÜE,,
+++,FILlBERTA PILAR BEKARI JANDU,,
+++,FILlBERTO NGUEMA AFUGU,,
+++,FLORENCIO GERARDO ONDO EKANG,,
+++,FRANCISCA TATCHOUP BELOPE,,
+++,FRANCISCO ASUMU BIKUY,,
+++,FRANCISCO MBA OLO BAHAMONDE,,
+++,GABRIEL BEE NDONG MENGUE,,
+++,GABRIEL MEMBILA BORILO,,
+++,GAUDENCIO MUABA MESSU,,
+++,GREGORIO ESONO MIKO,,
+++,GUADALUPE NCHAMA ELA,,
+++,HERIBERTO MATUKU AMAGRO,,
+++,HERMES ELA MIFUMU,,
+++,HIPOLlTO MBA SIMA,,
+++,ISABEL ERAUL IVINA,,
+++,JESUS EVUY MONSUY,,
+++,JERONIMO OSA OSA EKORO,,
+++,JESUS ENGONGA NDONG EYONO,,
+++,JESUS MBA NGUEMA,,
+++,JESUSA OBONO ENGONO NCHAMA,,
+++,JOSE ANTONIO ESONO OBIANG,,
+++,JOSE EMILlO NDONG MESIE,,
+++,JOSE PABLO NVO OWONO,,
+++,JOSEFINA MEDJA NZENG MANGUE,,
+++,JUAN ASUMU ELA MEDJA,,
+++,JUAN FERNANDO NVARA ENGONGA,,
+++,JUAN JOSE ALAIS ESIN,,
+++,JUAN ONDO NSE MEDJA,,
+++,JUAN ROKU ENUMBIE,,
+++,JUAN ZACARIAS ONDO BINDANG,,
+++,LAMBERTO OWONO MAYE,,
+++,LEONOR BULA EPAM BIRIBE,,
+++,LUIS EDJANG NKUMU,,
+++,MANUEL NGUEMA MUANAYONG,,
+++,MANUELA AYANG NTONGA,,
+++,MARCOS MITOGO MBA AVOMO,,
+++,MARGARITA AYETO MBURU,,
+++,MARIA LUISA SIMA MANGUE,,
+++,MARIANO NVO NDONG NCHAMA,,
+++,METODIO MBASOGO MANGUE,,
+++,MIGUEL EDJANG ANGUE,,
+++,MIGUEL BOTEY SOBOLE,,
+++,OLEGARIO OPO BIAHO,,
+++,PEDRO CRISTINO BUERIBERI BOKESA,,
+++,PEDRO ONDO MITOGO,,
+++,PLACIDO MICO ABOGO,,
+++,PRAXEDES RABAT MAKAMBO,,
+++,REGINALDO ASU MANGUE,,
+++,ROBUSTIANO MOMOCOBO TALE,,
+++,RUFINO CAMARERO PELAYO,,
+++,SALOMON NFA NDONG NSENG,,
+++,SALVADOR BENGONO BENGONO,,
+++,SALVADOR BONSUNDI MABALE,,
+++,SALVADOR ELA NDONG MBUY,,
+++,SALVADOR NGUEMA MANGUE,,
+++,SAMUEL ATEBA OWONO,,
+++,SANTIAGO CASTO NVOMO BIBANG,,
+++,SANTIAGO GABRIEL OSCAR NSUE MOKUY,,
+++,SANTIAGO NGUEMA ABAGA,,
+++,SANTIAGO NSOBEYA EFUMAN,,
+++,SANTIAGO ONDO ESONO,,
+++,SEVERINO ONDO NGUEMA,,
+++,SILVESTRE ABAGA EYANG,,
+++,TIBURCIO NDONG NGUEMA AYINGONO,,
+++,VENANCIO KAMI MOKATA,,
+++,VICTOR ONDO NSO MBASOGO,,
