number,name
1,ADORACION SALAS CHONCO
2,AGAPITO OBAMA BEE ONDO
3,ALFREDO MITOGO MITOGO
4,AMADO NGUEMA OWONO
5,AMANCIO MITOGO NSE AFANG
6,AMPARO MELE COLlFA
7,ANGELA ASUNCION MBASOGO
8,ANITA MBASOGO OBIANG
9,ANSELMO SEPA MBAMUALA
10,ANTONIA MBANG NDONG
11,BARTOLOME MENE AKOGO
12,BERNARDO ABAGA NDONG
13,CARMELO NGUEMA NTUTUMU
14,CIRIACO TAMARITE BURGOS
15,CLEMENTINA EDAYONG NDONG
16,CONRADO OKENVE NDOHO
17,CONSTANTINO OBIANG ESONO
18,CONSUELO ONDO NSANG
19,CRISPIN ENGONO NGUEMA
20,DAVID MBA EDU
21,DIOSDADO VICENTE NSUE MILANG
22,DOLORES NCHAMA SIMA
23,DOMINGO ANTONIO NVE MBA
24,ENRIQUETA NZE MIKO
25,EPIFANIO NDONG SIMA
26,EUSEBIO IPIKO PENDA
27,EVANGELlNA FILOMENA OYO EBULE
28,FEDERICO ABAGA ONDO NFONO
29,FELlCIANO NVO OLUY
30,FELlCITAS SAMUEL NDONG MANGUE
31,FELlSA MADI SUAKIN
32,FELlZ ANGOSO BAKALE
33,FERNANDO OBIANG ANGÜE
34,FILlBERTA PILAR BEKARI JANDU
35,FILlBERTO NGUEMA AFUGU
36,FLORENCIO GERARDO ONDO EKANG
37,FRANCISCA TATCHOUP BELOPE
38,FRANCISCO ASUMU BIKUY
39,FRANCISCO MBA OLO BAHAMONDE
40,GABRIEL BEE NDONG MENGUE
41,GABRIEL MEMBILA BORILO
42,GAUDENCIO MUABA MESSU
43,GREGORIO ESONO MIKO
44,GUADALUPE NCHAMA ELA
45,HERIBERTO MATUKU AMAGRO
46,HERMES ELA MIFUMU
47,HIPOLlTO MBA SIMA
48,ISABEL ERAUL IVINA
49,JESUS EVUY MONSUY
50,JERONIMO OSA OSA EKORO
51,JESUS ENGONGA NDONG EYONO
52,JESUS MBA NGUEMA
53,JESUSA OBONO ENGONO NCHAMA
54,JOSE ANTONIO ESONO OBIANG
55,JOSE EMILlO NDONG MESIE
56,JOSE PABLO NVO OWONO
57,JOSEFINA MEDJA NZENG MANGUE
58,JUAN ASUMU ELA MEDJA
59,JUAN FERNANDO NVARA ENGONGA
60,JUAN JOSE ALAIS ESIN
61,JUAN ONDO NSE MEDJA
62,JUAN ROKU ENUMBIE
63,JUAN ZACARIAS ONDO BINDANG
64,LAMBERTO OWONO MAYE
65,LEONOR BULA EPAM BIRIBE
66,LUIS EDJANG NKUMU
67,MANUEL NGUEMA MUANAYONG
68,MANUELA AYANG NTONGA
69,MARCOS MITOGO MBA AVOMO
70,MARGARITA AYETO MBURU
71,MARIA LUISA SIMA MANGUE
72,MARIANO NVO NDONG NCHAMA
73,METODIO MBASOGO MANGUE
74,MIGUEL EDJANG ANGUE
75,MIGUEL BOTEY SOBOLE
76,OLEGARIO OPO BIAHO
77,PEDRO CRISTINO BUERIBERI BOKESA
78,PEDRO ONDO MITOGO
79,PLACIDO MICO ABOGO
80,PRAXEDES RABAT MAKAMBO
81,REGINALDO ASU MANGUE
82,ROBUSTIANO MOMOCOBO TALE
83,RUFINO CAMARERO PELAYO
84,SALOMON NFA NDONG NSENG
85,SALVADOR BENGONO BENGONO
86,SALVADOR BONSUNDI MABALE
87,SALVADOR ELA NDONG MBUY
88,SALVADOR NGUEMA MANGUE
89,SAMUEL ATEBA OWONO
90,SANTIAGO CASTO NVOMO BIBANG
91,SANTIAGO GABRIEL OSCAR NSUE MOKUY
92,SANTIAGO NGUEMA ABAGA
93,SANTIAGO NSOBEYA EFUMAN
94,SANTIAGO ONDO ESONO
95,SEVERINO ONDO NGUEMA
96,SILVESTRE ABAGA EYANG
97,TIBURCIO NDONG NGUEMA AYINGONO
98,VENANCIO KAMI MOKATA
99,VICTOR ONDO NSO MBASOGO
