position,title
Q72264106,First Lady
Q112186154,Advisor to the Presidency
Q112186168,National Security Delegate
Q112186174,Personal Assistant to the Head of State
Q112186567,Secretary General
Q112187535,Director General
Q112188846,Delegate Cashier of the Continental Region
Q112188848,Principal Cashier
Q112188881,Chancellor of the National Orders
Q112188871,Controller-General of Municipal Accounts
Q112188858,Ambassador-in-chief of the Francophone
Q112188888,Ambassador-in-chief of the Misiones
Q112188883,Ambassador-in-chief of the Lusofone
Q112188852,Central Labuor Inspector
Q112188877,"General Inspector, in charge of the discipline of the National Police in the continental region"
Q112188864,"General Inspector, in charge of the discipline of the National Police in the insular region"
Q112188866,"General Inspector of the Armed Forces, in charge of the island region"
Q112188875,"General Inspector of the Armed Forces, in charge of the continental region"
Q112188868,General Inspector of Government Services
Q112188886,Comptroller General of Public Finance
Q112188844,Comtroller Delegate of the Continetal Region
Q112188854,Comptroller General of the Treasury
Q112188841,Chief of the General Staff of the Armed Forces
Q112188879,Senior Officer of the State Headquarters
Q112188862,Senior Officer of the Presidency of the Government
Q112188850,"Second Chief of General Staff, in charge of the continental region"
Q112188856,"Second Chief of General Staff, in charge of the insular region"
Q112188873,Delegate Treasurer of the Continental Region
Q112188860,Treasurer General
Q112306771,ambassador to Brazil
Q30061199,ambassador to France
Q112306767,ambassador to Gabon
Q112306791,ambassador to Germany
Q112306762,ambassador to Morocco
Q106452641,ambassador to the People's Republic of China
Q106452783,ambassador to the Russian Federation
Q28555529,ambassador to Spain
Q112306781,ambassador to Switzerland
Q28555522,ambassador to the United States of America
Q112202472,Permanent Representative to the United Nations
Q28555512,Ambassador
