,year,country_isocode,country_name,id,position,name,title,gender,birthyear,deadyear,party,party_english,party_otherlanguage,core,minister,leader,classification,portfolio_1,prestige_1,portfolio_2,prestige_2,portfolio_3,prestige_3,portfolio_4,prestige_4,m_finance,m_defense,m_agriculture,m_foreignaffairs
58476,2000,GNQ,Equatorial Guinea,746,President,Teodoro Obiang Nguema Mbasogo,Brig. Gen.,Male,1942,A (2020),pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,0,1,President,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58477,2000,GNQ,Equatorial Guinea,747,Prime Min. & Head Of Govt,Serafin Seriche Dougan,NA,Male,1946,A (2020),pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,0,0,Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58478,2000,GNQ,Equatorial Guinea,748,First Dep. Prime Min.,Miguel Oyono Ndong Mifumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,0,0,Deputy Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58479,2000,GNQ,Equatorial Guinea,749,Dep. Prime Min.,Demetrio Elo Ndong Nsefumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,0,0,Deputy Prime Minister,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58480,2000,GNQ,Equatorial Guinea,750,Sec. Gen. Of The Government,Francisco Pascual Eyegue Obama Asue,NA,Male,1949,A (2020),pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,"Member, Ruling Group","Government, Interior & Home Affairs",High,NA,NA,NA,NA,NA,NA,0,0,0,0
58481,2000,GNQ,Equatorial Guinea,751,Min. Political Adviser To The Govt,Demetrio Elo Ndong Nsefumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Other,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58482,2000,GNQ,Equatorial Guinea,752,Min. Of State In Charge Of Economy & Commerce,Marcelino Nguema Onguene,M.D.,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),General Economic Affairs,Medium,Industry & Commerce,Medium,NA,NA,NA,NA,0,0,0,0
58483,2000,GNQ,Equatorial Guinea,753,Min. Of State In Charge Of Planning & International Cooperation,Anatolio Ndong Mba,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Foreign Relations,High,Planning & Development,Medium,NA,NA,NA,NA,0,0,0,0
58484,2000,GNQ,Equatorial Guinea,754,Min. Of State For The Interior & Local Corporations,Demetrio Elo Ndong Nsefumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Other,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58485,2000,GNQ,Equatorial Guinea,755,Min. Of State For Missions,Alejandro Evuna Owono Asangono,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Other,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58486,2000,GNQ,Equatorial Guinea,756,Min. Of State At The Presidency In Charge Of Relations With Assemblies & Legal Matters,Antonio Fernando Nve Ngu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Executive & Legislative Relations,Medium,Justice & Legal Affairs,Medium,NA,NA,NA,NA,0,0,0,0
58487,2000,GNQ,Equatorial Guinea,757,Min. Of State In The Presidency In Charge Of Special Duties,Alejandro Evuna Owono Asangono,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Other,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
58488,2000,GNQ,Equatorial Guinea,758,Min. Of State For Transport & Communication,Marcelino Oyono Ntutumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Communications & Information,Medium,Transport,Medium,NA,NA,NA,NA,0,0,0,0
58489,2000,GNQ,Equatorial Guinea,759,"Min. Of Agriculture, Fisheries & Animal Husbandry",Constantine Eko Nsue,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Agriculture, Food, Fisheries & Livestock",Medium,NA,NA,NA,NA,NA,NA,0,0,1,0
58490,2000,GNQ,Equatorial Guinea,760,Min. Of Civil Service & Administrative Reforms,Fernando Mabale Mba,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Civil Service,Medium,Political Reform,Medium,NA,NA,NA,NA,0,0,0,0
58491,2000,GNQ,Equatorial Guinea,761,"Min. Of Culture, Tourism & Francophone Affairs",Augustin Nse Nfumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Culture & Heritage,Medium,Tourism,Low,NA,NA,NA,NA,0,0,0,0
58492,2000,GNQ,Equatorial Guinea,762,Min. Of Economic Affairs & Finance,Baltasar Engonga Edjo,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Finance, Budget & Treasury",High,General Economic Affairs,Medium,NA,NA,NA,NA,1,0,0,0
58493,2000,GNQ,Equatorial Guinea,763,"Min. Of Education, Science & Francophone Affairs",Santiago Ngua Nfumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Education, Training & Skills",Medium,"Science, Technology & Research",Low,NA,NA,NA,NA,0,0,0,0
58494,2000,GNQ,Equatorial Guinea,764,Min. Of Employment & Social Security,Constantino Congue,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Labor, Employment & Social Security",Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
58495,2000,GNQ,Equatorial Guinea,765,Min. Of Foreign Affairs & International Cooperation,Santiago Nsobeya Efuman Nchama,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Foreign Relations,High,NA,NA,NA,NA,NA,NA,0,0,0,1
58496,2000,GNQ,Equatorial Guinea,766,Min. Of Forestry & Environment,Teodoro Nguema Obiang Mangu,NA,Male,1968,A (2020),pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Environment,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
58497,2000,GNQ,Equatorial Guinea,767,Min. Of Health & Social Welfare,Juan Antonio Ntutumu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Health & Social Welfare,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
58498,2000,GNQ,Equatorial Guinea,768,"Min. Of Industry, Commerce, Small & Medium Enterprises",Vidal Djoni Becoba,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Enterprises, Companies & Business",Medium,Industry & Commerce,Medium,NA,NA,NA,NA,0,0,0,0
58499,2000,GNQ,Equatorial Guinea,769,"Min. Of Information, Tourism & Culture",Lucas Nguema Esono,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Communications & Information,Medium,Culture & Heritage,Medium,Tourism,Low,NA,NA,0,0,0,0
58500,2000,GNQ,Equatorial Guinea,770,Min. Of Justice & Religion,Ruben Maye Nsue,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Justice & Legal Affairs,Medium,Religion,Medium,NA,NA,NA,NA,0,0,0,0
58501,2000,GNQ,Equatorial Guinea,771,Min. Of Labor & Social Promotion,Ernesto Maria Cayetano Toherida,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Labor, Employment & Social Security",Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
58502,2000,GNQ,Equatorial Guinea,772,Min. Of Mines & Energy,Cristobal Menana Ela,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Energy,Medium,Environment,Medium,NA,NA,NA,NA,0,0,0,0
58503,2000,GNQ,Equatorial Guinea,773,Min. Of Planning,Antonio Fernando Nve Ngu,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Planning & Development,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
58504,2000,GNQ,Equatorial Guinea,774,"Min. Of Public Works, Housing & Urban Affairs",Florentino Nkogo Ndong,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Construction & Public Works,Medium,Housing,Medium,NA,NA,NA,NA,0,0,0,0
58505,2000,GNQ,Equatorial Guinea,775,Min. Of Social Affairs & Women's Development,Margarita Alene,NA,Female,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),Women,Low,NA,NA,NA,NA,NA,NA,0,0,0,0
58506,2000,GNQ,Equatorial Guinea,776,Min. Of Territorial Admin. & Local Govt.,Julio Ndong Ela Mangue,NA,Male,NA,NA,pdge,Democratic Party of Equatorial Guinea,Partido Democrático de Guinea Ecuatorial,1,1,0,Minister (Full Rank),"Government, Interior & Home Affairs",High,Local Government,Medium,NA,NA,NA,NA,0,0,0,0
