raw,transformed,position
"Min. Del. To Agriculture, Livestock & Rural Development",Minister Delegate of Agriculture,Q112174437
Min. Of Social Affairs & Women's Development,Minister of Social Affairs,Q112162691
Min. Of State In Charge Of Planning & International Cooperation,"Minister of State of Planning, and Government Spokesman",Q112174492
"Permanent Representative To The Un, New York",Permanent Representative to the United Nations,Q112202472
Sec. Of State For International Cooperation & Francophone Affairs,Secretary of State for Foreign Affairs,Q112174513
"Vice Min. Of Culture, Tourism & Crafts Promotion",Deputy Minister of Culture and Tourism,Q112174402
Vice Min. Of Education,Deputy Minister of Education,Q112174405
Vice Min. Of Planning & Economic Development,Deputy Minister of Planning,Q112174421

