id,name,positionItem,position,start,end,dob,dod,gender
Q57385,Teodoro Obiang Nguema Mbasogo,,President,2000,2000,1942,,male
Q251902,Serafin Seriche Dougan,,Prime Min. & Head Of Govt,2000,2000,1946,,male
Q108426370,Miguel Oyono Ndong Mifumu,,First Dep. Prime Min.,2000,2000,,,male
Q112128517,Demetrio Elo Ndong Nsefumu,,Dep. Prime Min.,2000,2000,,,male
Q24761111,Francisco Pascual Eyegue Obama Asue,,Sec. Gen. Of The Government,2000,2000,1949,,male
Q112128517,Demetrio Elo Ndong Nsefumu,,Min. Political Adviser To The Govt,2000,2000,,,male
Q55104853,Marcelino Nguema Onguene,,Min. Of State In Charge Of Economy & Commerce,2000,2000,,,male
Q112133229,Anatolio Ndong Mba,Q112174492,Min. Of State In Charge Of Planning & International Cooperation,2000,2000,,,male
Q112128517,Demetrio Elo Ndong Nsefumu,,Min. Of State For The Interior & Local Corporations,2000,2000,,,male
Q112162958,Alejandro Evuna Owono Asangono,,Min. Of State For Missions,2000,2000,,,male
Q112128529,Antonio Fernando Nve Ngu,,Min. Of State At The Presidency In Charge Of Relations With Assemblies & Legal Matters,2000,2000,,,male
Q112162958,Alejandro Evuna Owono Asangono,,Min. Of State In The Presidency In Charge Of Special Duties,2000,2000,,,male
Q112128490,Marcelino Oyono Ntutumu,,Min. Of State For Transport & Communication,2000,2000,,,male
Q112162973,Constantine Eko Nsue,,"Min. Of Agriculture, Fisheries & Animal Husbandry",2000,2000,,,male
Q112162983,Fernando Mabale Mba,,Min. Of Civil Service & Administrative Reforms,2000,2000,,,male
Q36908601,Augustin Nse Nfumu,,"Min. Of Culture, Tourism & Francophone Affairs",2000,2000,,,male
Q112162967,Baltasar Engonga Edjo,,Min. Of Economic Affairs & Finance,2000,2000,,,male
Q112128487,Santiago Ngua Nfumu,,"Min. Of Education, Science & Francophone Affairs",2000,2000,,,male
,Constantino Congue,,Min. Of Employment & Social Security,2000,2000,,,male
Q17198388,Santiago Nsobeya Efuman Nchama,,Min. Of Foreign Affairs & International Cooperation,2000,2000,,,male
Q477201,Teodoro Nguema Obiang Mangu,,Min. Of Forestry & Environment,2000,2000,1968,,male
Q112162993,Juan Antonio Ntutumu,,Min. Of Health & Social Welfare,2000,2000,,,male
Q112133282,Vidal Djoni Becoba,,"Min. Of Industry, Commerce, Small & Medium Enterprises",2000,2000,,,male
Q112128541,Lucas Nguema Esono,,"Min. Of Information, Tourism & Culture",2000,2000,,,male
Q55104856,Ruben Maye Nsue,,Min. Of Justice & Religion,2000,2000,,,male
,Ernesto Maria Cayetano Toherida,,Min. Of Labor & Social Promotion,2000,2000,,,male
Q112128524,Cristobal Menana Ela,,Min. Of Mines & Energy,2000,2000,,,male
Q112128529,Antonio Fernando Nve Ngu,,Min. Of Planning,2000,2000,,,male
Q112133583,Florentino Nkogo Ndong,,"Min. Of Public Works, Housing & Urban Affairs",2000,2000,,,male
Q112128475,Margarita Alene,Q112162691,Min. Of Social Affairs & Women's Development,2000,2000,,,female
,Julio Ndong Ela Mangue,,Min. Of Territorial Admin. & Local Govt.,2000,2000,,,male
Q57898,Ignacio Milam Tang,,Min. Of Youth & Sports,2000,2000,1940,,male
Q112128527,Carlos Eyi Obama,Q112174437,"Min. Del. To Agriculture, Livestock & Rural Development",2000,2000,,,male
Q1353126,Miguel Abia Biteo Boriko,,Min. Del. Of Economic Affairs & Finance,2000,2000,1961,2012,male
Q100786539,Teresa Efua Asangono,,Min. Del. Of Foreign Affairs & Cooperation,2000,2000,,,female
Q112175181,Melanio Ebendeng Nsomo,,Min. Del. Of National Defense,2000,2000,,,male
