name,id,found,desc
Agapito Mba Mokuy,Q24574730,Agapito Mba Mokuy,Equatorial Guinean politician
Alejandro Evuna Owono Asangono,Q112162958,Alejandro Evuna Owono Asangono,Equatoguinean politician
Alfonso Nsue Mokuy,Q112128551,Alfonso Nsue Mokuy,Equatoguinean politician
Alfredo Mitogo Mitogo Ada,Q112133375,Alfredo Mitogo Mitogo,Equatoguinean politician
Anacleto Olo Mibuy,Q103916291,Anacleto Oló Mibuy,
Anastasio Asumu Mum Munoz,Q112133227,Anastasio Asumu Mum Muñoz,Equatoguinean politician
Anatolio Ndong Mba,Q112133229,Anatollo Ndong Mba,Equatoguinean politician
Angel Masie Mibuy,Q112128540,Angel Masie Mibuy,Equatoguinean politician
Aniceto Ebiaka Moete,Q112128556,Aniceto Ebiaka Moete,Equatoguinean politician
Antanasio Ela Ntugu Nsa,Q112128507,Atanasio Ela Ntugu Nsa,Equatoguinean politician
Antonio Fernando Nve Ngu,Q112128529,Antonio Fernando Nve Ngu,Equatoguinean politician
Antonio Javier Nguema Nchama,Q112133235,Antonio Javier Nguema Nchama,Equatoguinean politician
Antonio Martin Ndong Ntutumu,Q112162962,Antonio Martin Ndong Ntutumu,Equatoguinean politician
Antonio Mba Nguema,Q63731266,Antonio Mba Nguema,Equatoguinean politician
Augustin Nse Nfumu,Q36908601,Agustín Nze Nfumu,Equatoguinean politician
Baltasar Engonga Edjo,Q112162967,Baltasar Engonga Edjo,Equatoguinean politician
Braulio Ncogo Abegue,Q112162969,Braulio Ncogo Abegue,Equatoguinean politician
Candido Muatetema Rivas,Q1149802,Cándido Muatetema Rivas,Prime Minister of Equatorial Guinea (1960-2014)
Caridad Besari Borilo,Q112175149,Caridad Besari Borilo,Equatoguinean politician
Carlos Eyi Obama,Q112128527,Carlos Eyi Obama Nsang,Equatoguinean politician
Carmelo Modu Acuse Bindang,Q112162970,Carmelo Modu Acusé Bindang,Equatoguinean politician
Ceferino Eburi Matta,Q112186226,Ceferino Eburi Mata,Equatoguinean politician
Celestino Bonifacio Bakale Obiang,Q5057941,Celestino Bonifacio Bacale,Equatorial-Guinean politician (1957-2021)
Clemente Engonga Nguema Onguene,Q112162972,Clemente Engonga Nguema Andeme,Equatoguinean politician
Constantino Ekong Nsue,Q112162973,Constantino Ekong Zue,Equatoguinean politician
Consuelo Ondo Nzang,Q112133389,Consuelo Ondo Nsang,Equatoguinean politician
Crescencio Tamarite Castano,Q112133772,Cresencio Tamarite Castaño,Equatoguinean politician
Cristobal Menana Ela,Q112128524,Cristóbal Meñana Ela,Equatoguinean politician
Demetrio Elo Ndong Nsefumu,Q112128517,Demetrio Elo Ndong Nsefumu,Equatoguinean politician
Enrique Mercader Costa,Q112133587,Enrique Mercader Costa,Equatoguinean politician
Estanislao Don Malavo,Q112162980,Estanislao Don Malavo,Equatoguinean politician
Eucario Bakale Angue,Q112133244,Eucario Bakale Angüe,Equatoguinean politician
Eugenio Nze Obiang,Q112133750,Eugenio Nse Obiang,Equatoguinean politician
Eulalia Envo Bela,Q112133245,Eulalla Envo Bela,Equatoguinean politician
Evangelina Oyo Ebule,Q42907516,Evangelina Oyo Ebule,Equatorial Guinean politician
Federico Edjoo Ovono,Q112128536,Federico Edjo Ovono,Equatoguinean politician
Fernando Mabale Mba,Q112162983,Fernando Mbale Mba,Equatoguinean politician
Fidel Nsue Micha,Q112162984,Fidel Nsue Micha,Equatoguinean politician
Filiberto Ntutumu Nguema,Q45320454,Filiberto Ntutumu Nguema,
Florentino Nkogo Ndong,Q112133583,Florentino Ncogo Ndong,Equatoguinean politician
Fortunado Ofa Mbo,Q112128545,Fortunato Ofa Mbo Nchama,Equatoguinean politician
Francisca Tatchoup Belope,Q112133405,Francisca Tatchoup Belope,Equatoguinean politician
Francisco Edu Ngua,Q112175158,Francisco Edu Ngua,Equatoguinean politician
Francisco Javier Ngomo Mbengono,Q112162986,Francisco Javier Ngomo Mbengono,Equatoguinean politician
Francisco Mba Olo Bahamonde,Q112128550,Francisco Mba Olo Bahamonde,Equatoguinean politician
Francisco Pascual Eyegue Obama Asue,Q24761111,Francisco Pascual Obama Asue,Prime Minister of Equatorial Guinea (2016-present)
Gabriel Mbega Obiang Lima,Q45042829,Gabriel Mbega,Equatorial Guinean Government member
Gregorio Boho Camo,Q112162987,Gregorio Boho Camo,Equatoguinean politician
Heriberto Miko Mbengono,Q112133249,Heriberto Meko Mbengono,Equatoguinean politician
Hilario Sisa Torrez,Q112128482,Hilario Sisa Torres,Equatoguinean politician
Ignacio Milam Tang,Q57898,Ignacio Milam Tang,Equatoguinean politician
Jaime Ela Ndong,Q112128530,Jaime Ela Ndong,Equatoguinean politician
Jeronimo Osa Osa Ecoro,Q3177434,Jeronimo Osa Osa Ecoro,Equatoguinean politician
Jesusa Obono Engono,Q112128467,Jesusa Obono Engono,Equatoguinean politician
Joaquin Nbana Nchama,Q112162990,Joaquín Mbana Nchama,Equatoguinean politician
Jose Ela Oyana,Q112162991,José Ela Oyana,Equatoguinean politician
Juan Antonio Ntutumu,Q112162993,Juan Antonio Ntutumu,Equatoguinean politician
Juan Ndong Nguema,Q63442033,Juan Ndong Nguema Mbengono,Equatoguinean diplomat
Juan Nko Mbula,Q112162994,Juan Nko Mbula,Equatoguinean politician
Lino Sima Ekua Avomo,Q6554690,Lino Sima Ekua Avomo,Equatoguinean diplomat
Lucas Nguema Esono,Q112128541,Lucas Nguema Esono Mbang,Equatoguinean politician
M. Jeremias Ondo Ngomo,Q112162989,Jeremias Ondo Ngomo,Equatoguinean politician
Manuel Nguema Mba Ma Mba,Q112162997,Manuel Nguema Mba,Equatoguinean politician
Marcelino Nguema Onguene,Q55104853,Marcelino Nguema Onguene,Equatoguinean politician
Marcelino Owono Edu,Q29122413,Marcelino Owono Edu,politician
Marcelino Oyono Ntutumu,Q112128490,Marcelino Oyono Ntutumu,Equatoguinean politician
Margarita Alene,Q112128475,Margarita Alene Mba,Equatoguinean politician
Maria Del Carmen Ekoro,Q112162998,Maria del Carmen Ekoro,Equatoguinean politician
Maria Lenor Epam Biribe,Q112133717,Maria Leonor Epam Biribe,Equatoguinean politician
Mauricio Bokung Asumu,Q112128491,Mauricio Bokung Asumu,Equatoguinean politician
Melanio Ebendeng Nsomo,Q112175181,Melanio Ebendeng Nsomo,Equatoguinean politician
Melchor Esono Edjo,Q112133263,Melchor Esono Edjo,Equatoguinean politician
Miguel Abia Biteo Boriko,Q1353126,Miguel Abia Biteo Boricó,Equatoguinean politician (1961-2012)
Miguel Ekua Ondo,Q112163002,Miguel Ekua Ondo,Equatoguinean politician
Miguel Engonga Obiang Eyang,Q112163003,Miguel Engonga Obiang Eyang,Equatoguinean politician
Miguel Ntutumu Evuna Andeme,Q112195300,Miguel Ntutumu Evuna Andeme,Equatoguinean Ambassador
Miguel Oyono Ndong Mifumu,Q108426370,Miguel Oyono Ndong Mifumu,Minister of foreign affairs for Equatorial Guinea
Nicolas Obama Nchama,Q112163007,Nicolas Obama Nchama,Equatoguinean politician
Pastor Micha Ondo Bile,Q58151,Pastor Micha Ondó Bile,Equatoguinean diplomat
Purificacion Angue Ondo,Q28532112,Purificación Angue Ondo,Equatorial Guinean ambassador to Spain
Ricardo Mangue Obama Nfube,Q602837,Ricardo Mangue Obama Nfubea,Equatoguinean politician
Ruben Maye Nsue,Q55104856,Rubén Maye Nsue Mangue,Equatoguinean politician
Salomon Nguema Owono,Q112128523,Salomón Nguema Owono,Equatoguinean politician
Santiago Ngua Nfumu,Q112128487,Santiago Ngua Nfumu Eyang,Equatoguinean politician
Santiago Nsobeya Efuman Nchama,Q17198388,Santiago Nchama,equatoguinean politician
Secundino Oyono Awong,Q112175244,Secundino Oyono Awong Ada,Equatoguinean politician
Serafin Seriche Dougan,Q251902,Ángel Serafín Seriche Dougan,Equatorial Guinea politician
Teodoro Biyogo Nsue,Q103916279,Teodoro Biyogo Nsue Okomo,Equatoguinean politician
Teodoro Nguema Obiang Mangu,Q477201,Teodoro Nguema,"Equatoguinean politician, son of Equatorial Guinea President Teodoro Obiang"
Teodoro Obiang Nguema Mbasogo,Q57385,Teodoro Obiang,"Equatoguinean politician, President of Equatorial Guinea since 1979"
Teresa Efua Asangono,Q100786539,Teresa Efua Asangono,Equatoguinean politician
Tomas Esono Ava,Q112163018,Tomas Esono Ava,Equatoguinean politician
Tomas Mecheba Fernandez Galilea,Q112133279,Tomas Mecheba Fernandez Galllea,Equatoguinean politician
Vidal Djoni Becoba,Q112133282,Vidal Choni Becoba,Equatoguinean politician
Vincente Ehate Tomi,Q2201806,Vicente Ehate Tomi,Equatorial Guinea politician
Vincente Rodriguez Siosa,Q112133280,Vicente Rodriguez Siosa,Equatoguinean politician
Andres Jorge Mbomio Nsem Abua,Q112162959,Andrés Jorge Mbomio Nsem Abu,
Conrado Okwenve Ndohe,Q112133387,Conrado Okenve Ndoho,
Juan Antonio Bibang Ntutumu,Q112162993,Juan Antonio Ntutumu,
Constantine Eko Nsue,Q112162973,Constantino Ekong Zue,
Basilio Ava,Q112175144,Basilio Abá,
