number,name
1,AGUSTIN NDONG ONA MBUY
2,AGUSTIN NSE NFUMU
3,ALEJANDRO ENVORO OVONO
4,ALFONSO NSUE MOKUY
5,ANASTASIO ASUMU MUM MUÑOZ
6,ANATOLlO NDONG MBA
7,ANGEL ESONO ABAHA MANGUE
8,ANGEL MESIE MIBUY
9,ANGEL NDONG ESONO EYANGA
10,ANGEL SERAFIN SERICHE DOUGAN MALABO
11,ANICETO EBIAKA MOHETE
12,ANSELMO ONDO ESONO ASANGONO
13,ANTONIO JAVIER NGUEMA NCHAMA
14,ANTONIO PASCUAL OKO EBOBO
15,ATANASIO ELA NTUGU NSA
16,BASILlO EDU NGUEMA NZANG
17,BATHO OBAM NSUE MENGUE
18,BERNARDINO EDU OBA
19,BUENAVENTURA MOSWI M'ASUMU
20,CARMELO MOKONG ONGUENE
21,DEMETRIO ELO NDONG NSEFUMU
22,DOMINGO MITUY EDJANG
23,ELlAS ONDO EDJO
24,ELlAS OVONO NGUEMA
25,EUCARIO BAKALE ANGÜE
26,EULALlA ENVO BELA
27,FIDEL MARCOS MEÑE NKOGO EYANG
28,FLORENCIO MAYE ELA
29,FORTUNATO NZAMBI MACHINDE
30,FORTUNATO OFA MBO
31,FRANCISCO MABALE NSENG
32,FRANCISCO MASA BELOPE
33,GUILLERMINA MOKUY MBA
34,HERIBERTO MEKO MBENGONO
35,HILARIO KOMBA DIVANI
36,IGNACIO MILAM TANG
37,JACINTA MBANG NGUEMA
38,JOSE ANTONIO ELOMBA VIÑAS
39,JUAN ANTONIO BIBANG NCHUCHUMA
40,LEOCADIO NDONG MONUMU
41,LUCAS NGUEMA ESONO MBANG
42,MANUEL SAÑABA SILOCHI
43,MARCELlNO NGUEMA ONGUENE
44,MARCELlNO OYONO NTUTUMU
45,MARIA NCHAMA BAYEME
46,MARIA NIEVES EKORO NSANG
47,MARTIN CRISANTOS EBEE MBA
48,MARTIN ELA ONDO
49,MAXIMO MICO ONDO
50,MELCHOR ESONO EDJO
51,METODIO SEHE NSI BINDANG
52,MIGUEL MBA NZANG
53,PASCUAL ONDO MASA
54,PEDRO ONDO NGUEMA OKOMO
55,PILAR DJOMBE DJANGANI
56,POLlCARPO MONSUY MBA
57,PURIFICACION BOHARI LASAGUERO
58,RICARDO MAXIMO TORAO OYO
59,ROSENDO ELA NSUE MIBUY
60,SALOMON NGUEMA OWONO
61,SALVADOR ELA NSENG
62,SANTIAGO HINESTROSA BEHOLl
63,SANTIAGO OBAMA NDONG
64,SANTIAGO ONDO NTUGU ANGUESOMO
65,SATURNINO OKE ESONO BINDANG
66,SILVESTRE SIALE BILEKA
67,TEODOMIRO NZE MANGUE
68,TEODORO NGUEMA OBIANG MANGUE
69,TERESA AVORO NGUEMA
70,TERESA EFUA ASANGONO
71,TOMAS MECHEBA FERNANDEZ GALlLEA
72,VICENTE EHATE TOMI
73,VICENTE RODRIGUEZ SIOSA
74,VICTORIANA NCHAMA NSUE OKOMO
75,VIDAL CHONI BECOBA
