id,name,relationship,relative,relativename
Q103916282,Victoriano Bibang Nsue Okomo,sibling,Q45147779,Constancia Mangue
Q112162550,Cándido Nsue Okomo,sibling,Q45147779,Constancia Mangue
Q45042829,Gabriel Mbega,father,Q57385,Teodoro Obiang
Q45147779,Constancia Mangue,child,Q477201,Teodoro Nguema
Q45147779,Constancia Mangue,sibling,Q112162550,Cándido Nsue Okomo
Q45147779,Constancia Mangue,spouse,Q57385,Teodoro Obiang
Q45320454,Filiberto Ntutumu Nguema,father,Q211936,Francisco Macías Nguema
Q477201,Teodoro Nguema,father,Q57385,Teodoro Obiang
Q477201,Teodoro Nguema,mother,Q45147779,Constancia Mangue
Q57385,Teodoro Obiang,child,Q103916276,Ruslan Obiang Nsue
Q57385,Teodoro Obiang,child,Q45042829,Gabriel Mbega
Q57385,Teodoro Obiang,child,Q477201,Teodoro Nguema
Q57385,Teodoro Obiang,spouse,Q45147779,Constancia Mangue
Q63731266,Antonio Mba Nguema,relative,Q57385,Teodoro Obiang
