item,itemLabel,position,positionLabel,start,psid
Q103916282,Victoriano Bibang Nsue Okomo,Q111021195,Minister of National Defense,2020-01-01,Q103916282-DAFA5EBC-AB8E-455E-97BD-A513032244E3
Q112054486,Diosdado Vicente Nsue Milang,Q111020058,Health Minister of Equatorial Guinea,2013-09-04,Q112054486-BB9CD7DF-D0F1-41EC-9702-F0F5B81BE787
Q112128540,Angel Masie Mibuy,Q112162701,Vice-Prime Minister,2016-06-24,Q112128540-BF7A4BFB-D3CA-4EBF-BFD0-C45DF086A08A
Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2015-04-15,Q112128551-110C1237-E487-4AAC-9D6D-6AD9EAD4FCF7
Q112133244,Eucario Bakale Angüe,Q112162686,Minister of Public Administration and Administrative Reform,2019-04-10,Q112133244-92B2A32B-D728-4F04-B03A-1A45E682184F
Q112133249,Heriberto Meko Mbengono,Q112174457,Minister Delegate of National Security,2018-01-01,Q112133249-878B77DC-07B0-4152-918A-AEAF2C66C64C
Q112133252,Juan Antonio Bibang Nchuchuma,Q112162673,Minister of External Security,2018-02-06,Q112133252-4E3D5A71-55EE-4435-94A7-FBBC45970033
Q112133372,Adoracion Salas Chonco,Q112162674,Minister of Fishing,2018-02-06,Q112133372-251E9D4E-AF8A-49D4-B04B-1D95553DE25B
Q112133375,Alfredo Mitogo Mitogo,Q112174471,Minister of Employment,2020-01-01,Q112133375-D71AC999-DCB3-4BEA-B623-161290997B07
Q112133713,María Consuelo Nguema Oyana,Q112162691,Minister of Social Affairs,2018-02-06,Q112133713-4456E3F2-8250-4676-9E23-B1EB12FF349E
Q112162958,Alejandro Evuna Owono Asangono,Q112162678,Minister of Missions,1989-11-25,Q112162958-BAB1E218-875E-4A06-8C35-76D61E6FA22B
Q112162967,Baltasar Engonga Edjo,Q112162689,Minister of Regional Integration,2006-02-14,Q112162967-FAE69AB5-B2E5-4F49-AD19-DE8042508A10
Q112162972,Clemente Engonga Nguema Andeme,Q111021199,Minister of National Education,2019-04-10,Q112162972-8386F421-2EDA-48E3-83F2-3553AC841159
Q112162982,Faustino Ndong Esono Eyang,Q111021202,Minister of Interior of Equatorial Guinea,2019-04-10,Q112162982-E1A9578E-36F2-47B1-A0E7-DFF606DA8D39
Q112163002,Miguel Ekua Ondo,Q111021201,Minister of Industry,2018-02-06,Q112163002-1E52253B-2B0A-4F50-84A4-539766E45CF0
Q112163007,Nicolas Obama Nchama,Q112162679,Minister of National Security,2009-02-24,Q112163007-E1DACF6D-23CC-436C-BF46-9522D7A43635
Q112163009,Nicolás Houtonji Acapo,Q111021197,Minister of Agriculture,2018-02-06,Q112163009-E30AE807-C2F6-4B52-B1AE-6FE26AD995ED
Q112163013,Rufino Ndong Esono Nchama,Q112162672,Minister of Culture,2018-02-06,Q112163013-3DE63F49-EAFA-41A4-AA0D-EC1A0CF9A3F9
Q112163016,Salvador Ondo Nkumu,Q111021203,Minister of Justice,2018-02-06,Q112163016-58906551-4104-48CB-B80B-E3C75FD89EFC
Q112175131,Alberto Doria Lajay,Q112174463,Minister Delegate of Trade,2020-01-01,Q112175131-0344640D-5849-4677-A5D1-D793C1BEB089
Q112175139,Armando Dougan Champion,Q112174531,Vice-Minister to the Presidency,2020-01-01,Q112175139-78213990-BCD8-4E2F-BE84-91A62CF6BAD4
Q112175140,Atalia Modesta Baha Ondo,Q112174412,Deputy Minister of Information,2020-01-01,Q112175140-EF73AB71-B6FB-47B8-BF98-754FC027D88A
Q112175141,Baltasar Esono Eworo Fono,Q112174505,Secretary General of the Presidency,2020-01-01,Q112175141-0FD2C451-EA13-4C69-B334-21781E4C7203
Q112175154,Cesar Aguado Hinestrosa Gomez,Q112174410,Deputy Minister of Industry and Energy,2020-01-01,Q112175154-EFFFA4D7-A30C-47B5-9A31-C4170A6BA05A
Q112175156,Clemente Ferreiro Villarino,Q111021205,Minister of Public Works,2020-01-01,Q112175156-54B74F01-DC15-425E-A445-4E3B0B8D4C69
Q112175162,Cándido Ncogo Engono Nchama,Q112174419,Deputy Minister of National Defence,2020-01-01,Q112175162-478B326E-865E-4218-8B88-DDC02A3D83A3
Q112175166,Dámaso Mitoha Ondo'o Ayecaba,Q112174409,Deputy Minister of Health,2018-01-01,Q112175166-49791314-9C3B-42C6-AC0F-970919B4EC28
Q112175182,Gerónimo-Carlos Osa Osa Nzang,Q112174407,Deputy Minister of Fisheries,2020-01-01,Q112175182-49647A5E-4EF5-47E4-9760-2412C17A019B
Q112175188,Honorato Evita Oma,Q112174571,Deputy Minister of Transport,2020-01-01,Q112175188-1B4EAAD3-5913-4C90-9F86-4238C92ADF1C
Q112175200,Juan Olo Mba Nseng,Q112174453,Minister Delegate of Justice,2018-01-01,Q112175200-B73308D8-07A0-4979-99FB-ACEEDB345825
Q112175206,Manuel Cristobal Morgades Ichaka,Q112174431,"Deputy Minister of Work, Employment Promotion and Social Security",2020-01-01,Q112175206-586E21EC-E6AC-4D62-AB7E-13E75A899E50
Q112175210,Manuela Roca Botey,Q112174444,Minister Delegate of Education,2020-01-01,Q112175210-5AC3B06E-ADB5-4E56-AFE2-69DBFBF31934
Q112175227,Norborto-Bartolomé Mensuy Mañe Andeme,Q112162668,Minister of Civil Aviation,2020-01-01,Q112175227-819D73F1-1AFD-4543-9E9C-61959A753412
Q112175228,Pascual Ondo Nse Oyana,Q112174423,Deputy Minister of Public Works,2020-01-01,Q112175228-0767293C-76DA-4A78-8077-B58B0F390193
Q112175231,Pedro Nguema Ndong,Q112174408,Deputy Minister of Foreign Affairs,2020-01-01,Q112175231-2D4F3AB7-A7AC-4539-B7FC-27BB981B8A7A
Q112175236,Rufino Ovono Ondo,Q112162697,Minister of Transport,2020-01-01,Q112175236-70E5DCEA-3E2D-4D82-B9AF-24E2B7913D8D
Q112175241,Santiago Mba Eneme Nsuga,Q112174418,Deputy Minister of Mines,2020-01-01,Q112175241-F7E325FF-F8E3-485E-9BFD-3084CFA39D45
Q112175242,Santiago Nsobeya Barreiros,Q112174422,Deputy Minister of Public Administration,2020-01-01,Q112175242-697873CE-7322-492D-AE0F-E4F1728EB53D
Q112175246,Valentin Ela Maye,Q111021200,Minister of Finance,2020-08-18,Q112175246-50D9572C-C4D2-46C3-A8EA-C03FB1922864
Q112175249,Virgilio Seriche Riloha,Q112128225,Minister of Information,2020-01-01,Q112175249-1531B5D4-8795-4937-AFB6-6D99055358E4
Q24761111,Francisco Pascual Obama Asue,Q2351213,Prime Minister of Equatorial Guinea,2016-06-22,Q24761111-bcace455-4919-84b0-9b54-ac7de8dbcde2
Q45042829,Gabriel Mbega,Q112162677,Minister of Mines,2016-06-24,Q45042829-44F01153-E9A1-4F57-937C-27EF7BD10C2C
Q477201,Teodoro Nguema,Q7925046,Vice President of Equatorial Guinea,2012-05-21,Q477201-994A9014-A18F-475E-8C72-3746518FC022
Q55098190,Simeón Oyono Esono,Q111021196,Minister of Foreign Affairs,2018-02-06,Q55098190-4D604F86-186B-4902-83E2-9157E84C9520
Q61767161,Prudencio Botey Sobole,Q112174402,Deputy Minister of Culture and Tourism,2020-01-01,Q61767161-0437BE34-203A-4723-8B20-781972C7EF70
Q57385,Teodoro Obiang,Q19058522,President of Equatorial Guinea,1979-08-03,Q57385-89f0f77d-4aba-f646-254d-58d700a57d57
Q58151,Pastor Micha Ondó Bile,Q112162696,Minister of Trade,2018-02-06,Q58151-C983511A-379C-404D-AFD2-EDEE55DF51C5
