@@,name,gender,item,psid
+++,MARIA TERESA AVORO NGUEMA,female,,
+++,PURIFICACION OLIVERA PACO,female,,
+++,TERESA EFUA ASANGONO,female,,
+++,PILAR DJOMBE DJANGANI,female,,
+++,RAIMUNDA AYETO ESONO AKENG,female,,
+++,SILVIA PALOMA OBONO EDJANG,female,,
+++,PURIFICACIÓN BUARI LASAKERHO,female,,
+++,EULALIA ENVO BELA,female,,
+++,ANGELINA ADA ONDO,female,,
+++,VICTORIANA NCHAMA NSUE OKOMO,female,,
+++,EMILIA NCHAMA NDONG,female,,
+++,JOSE ANTONLO ELOMBA VIÑAS,male,,
+++,EXUPERANCIO NDONG NSI,male,,
+++,SECUNDINO NVONO AVOMO,male,,
+++,ANTONIO PASCUAL OKO EBOBO,male,,
+++,BUENAVENTURA MOSWI M'ASUMU,male,,
+++,ANATOLIO NDONG MBA,male,,
+++,TOMAS MECHEBA FERNANDEZ GALILEA,male,,
+++,CESAR A. INESTROSA GOMES,male,,
+++,ALBERTO NGUEMA NCHUCHUMA,male,,
+++,FRANCISCO MABALE NSENG,male,,
+++,DOMINGO ANTONIO NVE MBA,male,,
+++,BUENAVENTURA MONSUY ESONO,male,,
+++,ANDRES J. MBOMIO NSEM ABOA,male,,
+++,SATURNINO OKE ESONO,male,,
+++,HERIBERTO MEKO MBENGONO,male,,
+++,ATANASIO ELA NTUGU NSA,male,,
+++,SALVADOR ESONO NCHAMA,male,,
+++,EUCARIO BACALE ANGÜE,male,,
+++,JOSE DOMINGO NDONG BACALE,male,,
+++,ALEJANDRO ENVORO OVONO,male,,
+++,DEMETRIO ELO NDONG NSEFUMU,male,,
+++,BATHO OBAM NSUE MENGUE,male,,
+++,AGUSTIN NZE NFUMU,male,,
+++,ENRIQUE OVONO ONDO,male,,
+++,DOMINGO MBA ESONO,male,,
+++,CARLOS EYI OBAMA,male,,
+++,MARTIN CRISANTOS EBE MBA,male,,
+++,JAIME ELA NDONG NZANG,male,,
+++,LUCAS ABADA NCHAMA,male,,
+++,ELIAS OVONO NGUEMA NFONO,male,,
+++,PAULINO MBO OBAMA MASIE,male,,
+++,MARCELINO ASUMU NSUE OKOMO,male,,
+++,BENEDICTO NSUE OBIANG MANGUE,male,,
+++,ANGEL MESIE MIBUY,male,,
+++,FRANCISCO MBA OLO BAHAMONDE,male,,
+++,ANTONIO JAVIER NGUEMA,male,,
+++,MATUSALEN OBURU ONDO,male,,
+++,REGINALDO BIYOGO NDONG,male,,
+++,FLORENTINO NCOGO NDONG,male,,
+++,ANGEL SERAFIN SERICHE DOUGAN MALABO,male,,
+++,SANTIAGO ONDO NTUGU ANGUESOMO,male,,
+++,PEDRO CRISTINO BUERIBERI BOKESA,male,,
+++,CARMELO MBA BAKALE,male,,
+++,SANTIAGO OBAMA NDONG,male,,
+++,CRISPIN JAIME SANGALE RONDO,male,,
+++,AGUSTIN NDONG ONA MBUY,male,,
+++,LUCIANO ASUMU EDJANG,male,,
+++,TEODOMIRO NSE MANGUE,male,,
+++,DOMINGO MITUY EDJANG,male,,
+++,ENRIQUE MERCADER COSTA,male,,
+++,VICENTE RODRIGUEZ SIOSA,male,,
+++,MARTIN ELA ONDO,male,,
+++,MELCHOR BONO EDJO,male,,
+++,SILVESTRE SIALE BILEKA,male,,
+++,ALFONSO NSUE MOKUY,male,,
+++,ILIDIO BOYA RIOCHI,male,,
+++,SALVADOR-SABAS BOLEKIA BUERIBERI,male,,
+++,MANUEL SAÑABA SILOCHI,male,,
+++,PLACIDO ERIMOLA MENESES,male,,
+++,VICENTE EHATE TOMI,male,,
+++,ANASTASIO ASUMU MUM MUÑOZ,male,,
