pageid,title
263622,Teodoro Obiang Nguema Mbasogo
1258322,Teodoro Nguema Obiang Mangue
3597011,Armengol Ondo Nguema
5744960,Rodolfo Bodipo
10427167,Pastor Micha Ondó Bile
26577112,Fausto Abeso Fuma
50912647,Francisco Pascual Obama Asue
55704922,Purificación Angue Ondo
58545009,Constancia Mangue
65642874,Gabriel Mbaga Obiang Lima
66305810,Mari-Cruz Evuna Andeme
