@@,item,name,position,start,end
+++,,Baltasar Engonga Edjo,Economy and Finance,2001-03-09,2004-06-15
+++,,Baltasar Engonga Edjo,Regional Integration,2006-02-14,2020-01-17
+++,,Baltasar Esono Oworo Nfono,Minister without Portfolio,2016-06-24,2020-01-17
+++,,Braulio Ncogo Abegue,Civil Cabinet,2008-07-15,2016-06-24
->,Q1149802,Candido Muatetema Rivas,Prime Minister,2001-03-04->2001-02-26,2004-06-14->2004-06-15
+++,,Carmelo Modu Acusé Bindang,"Industry, Commerce and Small and Medium Enterprises",2003-02-11,2004-06-15
+++,,Carmelo Modu Acusé Bindang,Planning and Economic Development,2004-06-15,2006-08-22
+++,,Carmelo Modu Acusé Bindang,Political and Administrative Affairs,2006-08-22,2008-07-15
+++,,Carmelo Modu Acusé Bindang,Political and Administrative Affairs,2006-08-22,2006-08-22
+++,,Celestino Bonifacio Bakale Obiang,"Economy, Commerce, and Business Promotion",2012-05-22,2013-09-04
+++,,Celestino Bonifacio Bakale Obiang,"Labour, Employment Promotion and Social Security",2018-02-06,2020-01-17
+++,,Celestino Bonifacio Bakale Obiang,Trade and Business Promotion,2013-09-04,2015-04-15
+++,,Celestino Bonifacio Bakale Obiang,Transport and Posts,2016-06-24,2018-02-06
+++,,Celestino Bonifacio Bakale Obiang,"Transport, Technology, and Posts and Telecommunications",2015-04-15,2016-06-24
+++,,Clemente Engonga Nguema Andeme,Interior and Local Corporations,2001-03-09,2012-05-22
+++,,Clemente Engonga Nguema Andeme,"Vice-Prime Minister and Minister for Education, University Teaching and Sports",2019-04-10,2020-01-17
+++,,Clemente Engonga Nguema Andeme,"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations",2012-05-22,2019-04-10
+++,Q112133387,Conrado Okenve Ndoho,"Economy, Planning and Public Investment",2013-09-04,2015-04-15
+++,Q112133387,Conrado Okenve Ndoho,"Planning, Economic Development, and Public Investment",2012-05-22,2013-09-04
+++,,Constantino Ekong Zue,"Industry, Commerce and Small and Medium Enterprises",1999-07-22,2003-02-11
+++,Q112133389,Consuelo Ondo Nsang,Social Affairs and Gender Equality,2015-04-15,2018-02-06
+++,,Crescencio Tamarite Castano,Fishing and Environment,2012-05-22,2015-04-15
+++,Q112128524,Cristobal Menana Ela,"Education, Science and Sport",2004-06-15,2008-07-15
+++,Q112128524,Cristobal Menana Ela,Mines and Energy,1999-07-22,2004-06-15
+++,Q112162550,Cándido Nsue Okomo,Youth and Sports,2017-06-13,2018-02-06
+++,,César Augusto Mba Abogo,"Finance, Economy and Planning",2019-04-10,2020-01-17
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Labour and Social Security,2006-06-15,2006-08-22
+++,Q112128517,Demetrio Elo Ndong Nsefumu,"Transport, Technology, and Posts and Telecommunications",2004-06-15,2006-06-15
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Vice-Prime Minister and Minister of Interior and Local Corporations,1999-07-22,2001-02-26
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Vice-Prime Minister in charge of Domestic Policy,2006-08-22,2011-02-19
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Vice-Prime Minister in charge of Domestic Policy,2003-02-11,2004-06-15
+++,Q112128517,Demetrio Elo Ndong Nsefumu,"Vice-Prime Minister in charge of Domestic Policy, Urban Planning and Infrastructure",2011-02-19,2012-05-22
+++,,Diosdado Nsue Medja,"Public Works, Housing, and Town Planning",2018-02-06,2020-01-17
+++,,Diosdado Vicente Nsue Milan,Health and Social Welfare,2013-09-04,2016-06-24
+++,Q112133587,Enrique Mercader Costa,Labour and Social Security,2004-06-15,2006-06-15
+++,Q112133587,Enrique Mercader Costa,"Transport, Technology, and Posts and Telecommunications",2006-06-15,2010-01-12
+++,,Estanislao Don Malavo,Finance and Budget,2008-07-15,2010-01-12
+++,,Estanislao Don Malavo,Fishing and Environment,2015-04-15,2016-06-24
+++,,Estanislao Don Malavo,Fishing and Water Resources,2016-06-24,2018-02-06
+++,,Estanislao Don Malavo,Labour and Social Security,2010-01-12,2012-05-22
+++,Q112133244,Eucario Bakale Angüe,"Economy, Planning and Public Investment",2015-04-15,2018-02-06
+++,Q112133244,Eucario Bakale Angüe,Public Administration and Administrative Reform,2019-04-10,2020-01-17
+++,Q112133244,Eucario Bakale Angüe,"Transport, the Postal Service and Telecommunications",2018-02-06,2019-04-10
+++,,Eugenio Edu Ndong,Industry and Energy,2016-06-24,2018-02-06
+++,Q112133750,Eugenio Nse Obiang,"Information, Press, and Radio",2015-04-15,2020-01-17
+++,Q112133557,Eulalia Envo Bela,Social Affairs and Promotion of Women,2006-08-22,2012-05-22
+++,Q42907516,Evangelina Oyo Ebule,"Justice, Religion, and Penitentiary Institutions",2013-09-04,2018-02-06
+++,Q42907516,Evangelina Oyo Ebule,Labour and Social Security,2006-08-22,2008-07-15
+++,,Faustino Ndong Esono Eyang,Interior and Local Corporations,2019-04-10,2020-01-17
+++,,Faustino Ndong Esono Eyang,Minister without Portfolio,2013-09-04,2016-06-24
+++,,Faustino Ndong Esono Eyang,Public Administration and Administrative Reform,2016-06-24,2019-04-10
+++,Q5438322,Fausto Abeso Fuma,Civil Aviation,2016-06-24,2018-02-06
+++,,Fernando Mbale Mba,Civil Service and Administrative Reform,1998-01-23,2001-03-09
+++,,Fidel Nsue Micha,Urban Planning and Infrastructure,2006-08-22,2008-07-15
+++,Q45320454,Filiberto Ntutumu Nguema,"Education, Science and Sport",2010-01-12,2011-01-28
+++,,Florentino Nkogo Ndong,Public Works and Urban Affairs,1999-07-22,2003-02-11
+++,Q112128545,Fortunato Ofa Mbo Nchama,Administrative Coordination,2006-08-22,2008-07-15
+++,Q112128545,Fortunato Ofa Mbo Nchama,Fishing and Environment,2003-02-11,2006-08-22
+++,Q112128545,Fortunato Ofa Mbo Nchama,Planning and Economic Development,1999-07-22,2003-02-11
+++,Q112133405,Francisca Tatchoup Belope,"Economy, Commerce, and Business Promotion",2011-01-28,2012-05-22
+++,,Francisco Javier Ngomo Mbengono,"Justice, Religion, and Penitentiary Institutions",2011-01-28,2013-09-04
+++,Q112128550,Francisco Mba Olo Bahamonde,Agriculture and Forests,2015-04-15,2020-01-17
+++,Q112128550,Francisco Mba Olo Bahamonde,Forests and Environment,2016-06-24,2018-02-06
+++,Q112128550,Francisco Mba Olo Bahamonde,"Transport, Technology, and Posts and Telecommunications",2012-05-22,2015-04-15
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,"Agriculture, Livestock and Rural Development",2003-02-11,2004-06-15
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Health and Social Welfare,2008-07-15,2011-01-28
---,Q24761111,Francisco Pascual Eyegue Obama Asue,Prime Minister,2016-06-22,
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Prime Minister and Minister of Administrative Coordination,2016-06-24,2020-01-17
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Vice-Prime Minister in charge of the Social Sector,2015-04-15,2016-06-24
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Youth and Sports,2012-05-22,2015-04-15
+++,Q45042829,Gabriel Mbega Obiang Lima,Mines and Hydrocarbons,2016-06-24,2020-01-17
+++,Q45042829,Gabriel Mbega Obiang Lima,"Mines, Industry and Energy",2012-05-22,2016-06-24
+++,,Gregorio Boho Camo,"Agriculture, Livestock and Rural Development",2001-03-09,2003-02-11
+++,Q24685671,Guillermina Mekuy Mba Obono,Culture and Craft Production,2016-06-24,2018-02-06
+++,,Heriberto Mico Mbengono,Labour and Social Security,2013-01-30,2016-06-24
+++,Q112133412,Hermes Ela Mifumu,Promotion of Small and Medium Businesses,2016-06-24,2018-02-06
+++,Q57898,Ignacio Milam Tang,Minister without Portfolio,2003-02-11,2004-06-15
+++,Q57898,Ignacio Milam Tang,Prime Minister,2008-07-15,2012-05-22
---,Q57898,Ignacio Milam Tang,Prime Minister of Equatorial Guinea,2008-07-08,2012-05-21
---,Q57898,Ignacio Milam Tang,Vice President of Equatorial Guinea,2012-05-21,2016-06-22
+++,Q57898,Ignacio Milam Tang,Vice-President,2012-05-22,2016-06-24
+++,Q57898,Ignacio Milam Tang,Vice-Prime Minister,2001-02-26,2001-03-09
+++,Q57898,Ignacio Milam Tang,Vice-Prime Minister and Minister of Administrative Reform and Civil Service,2001-03-09,2003-02-11
+++,Q112128530,Jaime Ela Ndong,"Economy, Trade and Promotion",2004-06-15,2008-07-15
+++,,Jeremias Ondo Ngomo,Vice-Prime Minister in charge of Social Affairs and Human Rights,2003-02-11,2004-06-15
+++,Q3177434,Jeronimo Osa Osa Ecoro,"Information, Tourism and Culture",2008-07-15,2012-05-22
+++,Q112128467,Jesusa Obono Engono,Women Affairs,2004-06-15,2006-08-22
+++,Q112133418,Jesús Engonga Ndong,Education and Science,2015-04-15,2018-02-06
+++,Q112133418,Jesús Engonga Ndong,"Education, University Teaching and Sports",2018-02-06,2019-04-10
+++,,Joaquín Mbana Nchama,Education and Science,2011-01-28,2012-05-22
+++,,José Ela Oyana,"Planning, Economic Development, and Public Investment",2006-08-22,2012-05-22
+++,Q112133252,Juan Antonio Bibang Nchuchuma,External Security,2018-02-06,2020-01-17
+++,,Juan Antonio Ntutumu,Health and Social Welfare,1999-07-22,2001-03-09
+++,,Juan Antonio Ntutumu,Youth and Sports,2001-03-09,2003-02-11
+++,,Juan Nko Mbula,Urban Planning and Infrastructure,2012-05-22,2016-06-24
+++,,Justino Obama Nve,Health and Social Welfare,2003-02-11,2006-08-22
+++,,Leandro Miko Angue,Civil Aviation,2018-02-06,2020-01-17
+++,Q17711819,Lucas Abaga Nchama,"Finance, Economy, and Planning",2018-02-06,2019-04-10
+++,Q112133254,Lucas Nguema Esono Mbang,"Information, Tourism and Culture",1999-07-22,2003-02-11
+++,Q112133254,Lucas Nguema Esono Mbang,Vice-Prime Minister in charge of the Social Sector and Minister of Education and Science,2013-09-04,2015-04-15
+++,Q112133254,Lucas Nguema Esono Mbang,Youth and Sports,2003-02-11,2004-06-15
+++,,Manuel Nguema Mba,National Security,2004-06-15,2009-02-24
+++,Q55104853,Marcelino Nguema Onguene,Health and Social Welfare,2001-03-09,2003-02-11
+++,Q29122413,Marcelino Owono Edu,Budget,2003-02-11,2004-06-15
+++,Q29122413,Marcelino Owono Edu,Finance and Budget,2012-05-22,2015-04-15
+++,Q29122413,Marcelino Owono Edu,Finance and Budget,2004-06-15,2008-07-15
+++,Q29122413,Marcelino Owono Edu,"Mines, Industry and Energy",2008-07-15,2012-05-22
+++,Q112128490,Marcelino Oyono Ntutumu,Transport and Communications,1998-01-23,2004-06-15
+++,Q112128490,Marcelino Oyono Ntutumu,Urban Planning and Infrastructure,2008-07-15,2011-02-19
+++,Q112128490,Marcelino Oyono Ntutumu,Vice-Prime Minister in charge of Domestic Policy,2004-06-15,2006-08-22
+++,Q112133717,Maria Leonor Epam Biribe,Social Affairs and Promotion of Women,2012-05-22,2013-09-04
+++,,Maria del Carmen Ekoro,Education and Science,2012-05-22,2013-09-04
+++,,Maria del Carmen Ekoro,Social Affairs and Gender Equality,2013-09-04,2015-04-15
+++,,María Consuelo Nguema Oyana,Social Affairs and Gender Equality,2018-02-06,2020-01-17
+++,Q112128491,Mauricio Bokung Asumu,Administrative Coordination,2010-01-12,2011-01-28
+++,Q112128491,Mauricio Bokung Asumu,"Justice, Religion, and Penitentiary Institutions",2006-08-22,2008-07-15
+++,Q112128491,Mauricio Bokung Asumu,Labour and Social Security,2008-07-15,2010-01-12
+++,Q112128491,Mauricio Bokung Asumu,"Transport, Technology, and Posts and Telecommunications",2011-01-28,2012-05-22
+++,,Maximiliano Meko Aveme,Telecommunications and New Technologies,2016-06-24,2018-02-06
+++,Q112133263,Melchor Esono Edjo,Finance and Budget,2010-01-12,2012-05-22
+++,Q58151,Micha Ondo Bile,"Foreign Affairs, International Cooperation and Francophone Affairs",2003-02-11,2012-05-22
+++,Q58151,Micha Ondo Bile,Trade and Promotion of Small and Medium Businesses,2018-02-06,2020-01-17
+++,Q1353126,Miguel Abia Biteo Borico,Economy and Finance,1999-07-22,2001-03-09
+++,Q1353126,Miguel Abia Biteo Borico,Labour and Social Security,2012-05-22,2012-12-06
+++,Q1353126,Miguel Abia Biteo Borico,"Parliament Relations, Juridical Affairs and Government Spokesman",2001-03-09,2004-06-15
->,Q1353126,Miguel Abia Biteo Borico,Prime Minister,2004-06-14->2004-06-15,2006-08-14->2006-08-22
+++,,Miguel Ekua Ondo,Industry and Energy,2018-02-06,2020-01-17
+++,,Miguel Engonga Obiang Eyang,Finance and Budget,2015-04-15,2018-02-06
+++,,Miguel Eyanga Jobe Malango,Labour and Social Security,2003-02-11,2004-06-15
+++,,Miguel Oyono Ndongo Mifumu,Agriculture and Forests,2012-05-22,2013-09-04
+++,,Miguel Oyono Ndongo Mifumu,Vice-Prime Minister,1999-07-22,2001-02-26
+++,,Nguema Mbasogo,President,2004-06-15,2020-01-17
+++,,Nguema Mbasogo,President and Minister of Defence,1993-12-22,2004-06-15
+++,Q477201,Nguema Teodoro Obiang,Agriculture and Forests,2004-06-15,2012-05-22
+++,Q477201,Nguema Teodoro Obiang,"Forests, Fishing and Environment",1999-07-22,2003-02-11
+++,Q477201,Nguema Teodoro Obiang,Infrastructure and Forests,2003-02-11,2004-06-15
->,Q477201,Nguema Teodoro Obiang,Vice-President,2012-05-21->2012-05-22,NULL->2016-06-24
+++,Q477201,Nguema Teodoro Obiang,Vice-Prime Minister in charge of National Defence and State Security,2016-06-24,2020-01-17
+++,,Nicolas Obama Nchama,National Security,2009-02-24,2020-01-17
+++,,Nicolás Houtonji Acapo,"Agriculture, Livestock, Forests, and Environment",2018-02-06,2020-01-17
+++,Q112133267,Pedro Ondo Nguema,"Economy, Commerce, and Business Promotion",2008-07-15,2011-01-28
+++,Q112133267,Pedro Ondo Nguema,Public Works and Infrastructure,2016-06-24,2018-02-06
+++,,Purificacion Buari Lasaqueros,Public Service and Administrative Planning,2012-05-22,2016-06-24
+++,,Reginaldo Asue Mangue,Town Planning,2016-06-24,2018-02-06
+++,Q112128538,Ricardo Mangue Obama Nfube,Labour and Social Security,1999-07-22,2003-02-11
->,Q602837->Q112128538,Ricardo Mangue Obama Nfube,Prime Minister,2006-08-14->2006-08-22,2008-07-08->2008-07-15
+++,Q112128538,Ricardo Mangue Obama Nfube,Public Works and Administrative Coordination,2003-02-11,2004-06-15
+++,Q112128538,Ricardo Mangue Obama Nfube,Vice-Prime Minister in charge of Civil Service and Administrative Reform,2004-06-15,2006-08-22
+++,,Ruben Mye Nsue,Justice,1998-01-23,2004-06-15
+++,,Rufino Ndong Esono Nchama,"Culture, Tourism and Craft Promotion",2018-02-06,2020-01-17
+++,,Rufino Owono Engonga,"Transport, the Postal Service and Telecommunications",2019-04-10,2020-01-17
+++,Q112128523,Salomon Nguema Owono,Health and Social Welfare,2016-06-24,2020-01-17
+++,Q112128523,Salomon Nguema Owono,Vice-Prime Minister in charge of Health and Social Wellbeing,2011-01-28,2012-05-22
+++,Q112128523,Salomon Nguema Owono,Vice-Prime Minister in charge of Human Rights,2008-07-15,2011-01-28
+++,,Salvador Mangue Avingono,Public Service and Administrative Planning,2008-07-15,2010-01-12
+++,,Salvador Ondo Nkumu,"Justice, Religion, and Penitentiary Institutions",2008-07-15,2011-01-28
+++,,Salvador Ondo Nkumu,"Justice, Religion, and Penitentiary Institutions",2018-02-06,2020-01-17
---,Q17198388,Santiago Nchama,Minister of Foreign Affairs,1999-01-01,2003-01-01
---,Q17198388,Santiago Nchama,Minister of Information,2006-01-01,2008-01-01
+++,Q112128487,Santiago Ngua Nfumu,"Education, Science and Francophone Affairs",1998-01-23,2001-03-09
+++,Q112133745,Santiago Nsobeya Efuman,Foreign Affairs and International Cooperation,1999-07-22,2001-03-09
+++,Q112133745,Santiago Nsobeya Efuman,"Foreign Affairs, International Cooperation and Francophone Affairs",2001-03-09,2003-02-11
+++,Q112133745,Santiago Nsobeya Efuman,"Information, Tourism and Culture",2006-08-22,2008-07-15
+++,Q55098190,Simeón Oyono Esono Angue,"Foreign Affairs, International Cooperation and Francophone Affairs",2018-02-06,2020-01-17
+++,,Teobaldo Nchaso Matomba,"Information, Press, and Radio",2013-09-04,2015-04-15
---,Q57385,Teodoro Obiang,President of Equatorial Guinea,1979-08-03,
+++,Q100786539,Teresa Efua Asangono,Women Advancement and Social Affairs,1999-07-22,2004-06-15
+++,,Tomas Esono Ava,Minister without Portfolio,2012-05-22,2013-09-04
+++,,Tomas Esono Ava,Public Service and Administrative Planning,2010-01-12,2012-05-22
+++,Q112133279,Tomas Mecheba Fernandez,Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,2013-09-04,2016-06-24
+++,Q112133279,Tomas Mecheba Fernandez,Health and Social Welfare,2012-05-22,2013-09-04
+++,Q112133279,Tomas Mecheba Fernandez,Tourism,2016-06-24,2018-02-06
+++,,Vicente Eate Tomi,Administrative Coordination,2008-07-15,2010-01-12
+++,,Vicente Eate Tomi,Administrative Coordination,2011-01-28,2012-05-22
+++,,Vicente Eate Tomi,Civil Service and Administrative Reform,2006-08-22,2008-07-15
+++,,Vicente Eate Tomi,Prime Minister and Minister of Administrative Coordination,2012-05-22,2016-06-24
+++,,Vicente Eate Tomi,"Transport, Technology, and Posts and Telecommunications",2010-01-12,2011-01-28
---,Q2201806,Vicente Ehate Tomi,Prime Minister of Equatorial Guinea,2012-05-21,2016-06-22
+++,,Vicente Eya Olomo,Defence,2016-06-24,2017-05-30
+++,Q112133280,Vicente Rodriguez Siosa,Fishing and Environment,2006-08-22,2008-07-15
+++,,Vidal Djoni Becoba,Youth and Sports,1999-07-22,2001-03-09
+++,,Víctor Grange Meile,"Agriculture, Livestock and Food",2016-06-24,2018-02-06
+++,,Ángel Borico Moisés,"Labour, Employment Promotion and Social Security",2016-06-24,2018-02-06
---,Q251902,Ángel Serafín Seriche Dougan,Prime Minister of Equatorial Guinea,1996-04-11,2001-03-04
