@@,item,name,position,start,end
+++,Q112133372,Adoracion Salas Chonco,Fishing and Water Resources,2018-02-06,2020-01-17
+++,Q24574730,Agapito Mba Mokuy,"Foreign Affairs, International Cooperation and Francophone Affairs",2012-05-22,2018-02-06
+++,,Alejandro Bacale Ncogo,Defence,2018-02-06,2020-01-17
+++,,Alejandro Evuna Owono Asangono,Missions,1989-11-25,2020-01-17
+++,Q112128551,Alfonso Nsue Mokuy,"Information, Tourism and Culture",2004-06-15,2006-08-22
+++,Q112128551,Alfonso Nsue Mokuy,Minister at the Presidency,2006-08-22,2008-07-15
+++,Q112128551,Alfonso Nsue Mokuy,Vice-Prime Minister in charge of Human Rights Affairs,2015-04-15,2020-01-17
+++,Q112128551,Alfonso Nsue Mokuy,Vice-Prime Minister in charge of Social and Human Rights Affairs,2012-05-22,2015-04-15
+++,Q112133375,Alfredo Mitogo Mitogo,Agriculture and Forests,2013-09-04,2015-04-15
+++,Q112133375,Alfredo Mitogo Mitogo,Trade and Business Promotion,2015-04-15,2016-06-24
+++,Q112133227,Anastasio Asumu Mum Munoz,Fishing and Environment,2008-07-15,2012-05-22
+++,,Andrés Jorge Mbomio Nsem Abu,Youth and Sports,2015-04-15,2017-06-13
+++,Q112128540,Angel Masie Mibuy,Justice and Penitentiary Institutions,2004-06-15,2006-08-22
+++,Q112128540,Angel Masie Mibuy,Relations with Parliament and Legal Affairs of the Government,2006-08-22,2006-08-22
+++,Q112128540,Angel Masie Mibuy,Relations with Parliament and Legal Affairs of the Government,2006-08-22,2016-06-24
+++,Q112128540,Angel Masie Mibuy,Vice-Prime Minister in charge of Parliamentary Relations and Judicial Affairs,2016-06-24,2020-01-17
+++,,Angel Serafin Seriche Dugan,Prime Minister,1996-03-25,2001-02-23
+++,,Aniceto Ebiaka Muete,Urban Planning and Infrastructure,2004-06-15,2006-08-22
+++,,Aniceto Ebiaka Muete,Vice-Prime Minister in charge of Economy and Finance,2008-07-15,2012-05-22
+++,,Aniceto Ebiaka Muete,Vice-Prime Minister in charge of Human Rights,2006-08-22,2008-07-15
+++,,Anselmo Ondo Eseno,"Education, Science and Sport",2008-07-15,2010-01-12
+++,Q112128529,Antonio Fernando Nve Ngu,Education and Science,2003-02-11,2004-06-15
+++,Q112128529,Antonio Fernando Nve Ngu,Education and Science,2001-03-09,2003-02-11
+++,Q112128529,Antonio Fernando Nve Ngu,"Parliament Relations, Juridical Affairs and Government Spokesman",1999-07-22,2001-03-09
+++,,Antonio Martin Ndong Ntutumu,Administrative Coordination and Relations with Parliament,2004-06-15,2006-08-22
+++,,Antonio Martin Ndong Ntutumu,Health and Social Welfare,2006-08-22,2008-07-15
+++,Q63731266,Antonio Mba Nguema,Defence,2004-06-15,2016-06-24
+++,Q63731266,Antonio Mba Nguema,Presidential Security,2016-06-24,2020-01-17
+++,,Antonio Nve Nseng,Planning and Economic Development,2003-02-11,2004-06-15
+++,,Antonio Pedro Olivera Boropu,Trade,2016-06-24,2018-02-06
+++,Q112128507,Atanasio Ela Ntugu Nsa,"Mines, Industry and Energy",2004-06-15,2008-07-15
+++,,Augustin Nse Nfumu,"Information, Press, and Radio",2012-05-22,2013-09-04
+++,,Augustin Nse Nfumu,"Information, Tourism and Culture",2003-02-11,2004-06-15
