minister,country,startdate,enddate,position
Adoracion Salas Chonco,Eq. Guinea,2018-02-06,2019-12-31,Fishing and Water Resources
Agapito Mba Mokuy,Eq. Guinea,2012-05-22,2018-02-06,"Foreign Affairs, International Cooperation and Francophone Affairs"
Alejandro Bacale Ncogo,Eq. Guinea,2018-02-06,2019-12-31,Defence
Alejandro Evuna Owono Asangono,Eq. Guinea,1989-11-25,2019-12-31,Missions
Alfonso Nsue Mokuy,Eq. Guinea,2004-06-15,2006-08-22,"Information, Tourism and Culture"
Alfonso Nsue Mokuy,Eq. Guinea,2006-08-22,2008-07-15,Minister at the Presidency
Alfonso Nsue Mokuy,Eq. Guinea,2012-05-22,2015-04-15,Vice-Prime Minister in charge of Social and Human Rights Affairs
Alfonso Nsue Mokuy,Eq. Guinea,2015-04-15,2019-12-31,Vice-Prime Minister in charge of Human Rights Affairs
Alfredo Mitogo Mitogo,Eq. Guinea,2013-09-04,2015-04-15,Agriculture and Forests
Alfredo Mitogo Mitogo,Eq. Guinea,2015-04-15,2016-06-24,Trade and Business Promotion
Anastasio Asumu Mum Munoz,Eq. Guinea,2008-07-15,2012-05-22,Fishing and Environment
Andrés Jorge Mbomio Nsem Abu,Eq. Guinea,2015-04-15,2017-06-13,Youth and Sports
Angel Masie Mibuy,Eq. Guinea,2004-06-15,2006-08-22,Justice and Penitentiary Institutions
Angel Masie Mibuy,Eq. Guinea,2006-08-22,2016-06-24,Relations with Parliament and Legal Affairs of the Government
Angel Masie Mibuy,Eq. Guinea,2006-08-22,2006-08-22,Relations with Parliament and Legal Affairs of the Government
Angel Masie Mibuy,Eq. Guinea,2016-06-24,2019-12-31,Vice-Prime Minister in charge of Parliamentary Relations and Judicial Affairs
Angel Serafin Seriche Dugan,Eq. Guinea,1996-03-25,2001-02-23,Prime Minister
Aniceto Ebiaka Muete,Eq. Guinea,2004-06-15,2006-08-22,Urban Planning and Infrastructure
Aniceto Ebiaka Muete,Eq. Guinea,2006-08-22,2008-07-15,Vice-Prime Minister in charge of Human Rights
Aniceto Ebiaka Muete,Eq. Guinea,2008-07-15,2012-05-22,Vice-Prime Minister in charge of Economy and Finance
Anselmo Ondo Eseno,Eq. Guinea,2008-07-15,2010-01-12,"Education, Science and Sport"
Antonio Fernando Nve Ngu,Eq. Guinea,1999-07-22,2001-03-09,"Parliament Relations, Juridical Affairs and Government Spokesman"
Antonio Fernando Nve Ngu,Eq. Guinea,2001-03-09,2003-02-11,Education and Science
Antonio Fernando Nve Ngu,Eq. Guinea,2003-02-11,2004-06-15,Education and Science
Antonio Martin Ndong Ntutumu,Eq. Guinea,2004-06-15,2006-08-22,Administrative Coordination and Relations with Parliament
Antonio Martin Ndong Ntutumu,Eq. Guinea,2006-08-22,2008-07-15,Health and Social Welfare
Antonio Mba Nguema,Eq. Guinea,2004-06-15,2016-06-24,Defence
Antonio Mba Nguema,Eq. Guinea,2016-06-24,2019-12-31,Presidential Security
Antonio Nve Nseng,Eq. Guinea,2003-02-11,2004-06-15,Planning and Economic Development
Antonio Pedro Olivera Boropu,Eq. Guinea,2016-06-24,2018-02-06,Trade
Atanasio Ela Ntugu Nsa,Eq. Guinea,2004-06-15,2008-07-15,"Mines, Industry and Energy"
Augustin Nse Nfumu,Eq. Guinea,2003-02-11,2004-06-15,"Information, Tourism and Culture"
Augustin Nse Nfumu,Eq. Guinea,2012-05-22,2013-09-04,"Information, Press, and Radio"
Baltasar Engonga Edjo,Eq. Guinea,2001-03-09,2004-06-15,Economy and Finance
Baltasar Engonga Edjo,Eq. Guinea,2006-02-14,2019-12-31,Regional Integration
Baltasar Esono Oworo Nfono,Eq. Guinea,2016-06-24,2019-12-31,Minister without Portfolio
Braulio Ncogo Abegue,Eq. Guinea,2008-07-15,2016-06-24,Civil Cabinet
Candido Muatetema Rivas,Eq. Guinea,2001-02-26,2004-06-15,Prime Minister
Carmelo Modu Acusé Bindang,Eq. Guinea,2003-02-11,2004-06-15,"Industry, Commerce and Small and Medium Enterprises"
Carmelo Modu Acusé Bindang,Eq. Guinea,2004-06-15,2006-08-22,Planning and Economic Development
Carmelo Modu Acusé Bindang,Eq. Guinea,2006-08-22,2006-08-22,Political and Administrative Affairs
Carmelo Modu Acusé Bindang,Eq. Guinea,2006-08-22,2008-07-15,Political and Administrative Affairs
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2012-05-22,2013-09-04,"Economy, Commerce, and Business Promotion"
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2013-09-04,2015-04-15,Trade and Business Promotion
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2015-04-15,2016-06-24,"Transport, Technology, and Posts and Telecommunications"
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2016-06-24,2018-02-06,Transport and Posts
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2018-02-06,2019-12-31,"Labour, Employment Promotion and Social Security"
Clemente Engonga Nguema Andeme,Eq. Guinea,2001-03-09,2012-05-22,Interior and Local Corporations
Clemente Engonga Nguema Andeme,Eq. Guinea,2012-05-22,2019-04-10,"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations"
Clemente Engonga Nguema Andeme,Eq. Guinea,2019-04-10,2019-12-31,"Vice-Prime Minister and Minister for Education, University Teaching and Sports"
Conrado Okenve Ndoho,Eq. Guinea,2012-05-22,2013-09-04,"Planning, Economic Development, and Public Investment"
Conrado Okenve Ndoho,Eq. Guinea,2013-09-04,2015-04-15,"Economy, Planning and Public Investment"
Constantino Ekong Zue,Eq. Guinea,1999-07-22,2003-02-11,"Industry, Commerce and Small and Medium Enterprises"
Consuelo Ondo Nsang,Eq. Guinea,2015-04-15,2018-02-06,Social Affairs and Gender Equality
Crescencio Tamarite Castano,Eq. Guinea,2012-05-22,2015-04-15,Fishing and Environment
Cristobal Menana Ela,Eq. Guinea,1999-07-22,2004-06-15,Mines and Energy
Cristobal Menana Ela,Eq. Guinea,2004-06-15,2008-07-15,"Education, Science and Sport"
Cándido Nsue Okomo,Eq. Guinea,2017-06-13,2018-02-06,Youth and Sports
César Augusto Mba Abogo,Eq. Guinea,2019-04-10,2019-12-31,"Finance, Economy and Planning"
Demetrio Elo Ndong Nsefumu,Eq. Guinea,1999-07-22,2001-02-26,Vice-Prime Minister and Minister of Interior and Local Corporations
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2003-02-11,2004-06-15,Vice-Prime Minister in charge of Domestic Policy
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2004-06-15,2006-06-15,"Transport, Technology, and Posts and Telecommunications"
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2006-06-15,2006-08-22,Labour and Social Security
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2006-08-22,2011-02-19,Vice-Prime Minister in charge of Domestic Policy
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2011-02-19,2012-05-22,"Vice-Prime Minister in charge of Domestic Policy, Urban Planning and Infrastructure"
Diosdado Nsue Medja,Eq. Guinea,2018-02-06,2019-12-31,"Public Works, Housing, and Town Planning"
Diosdado Vicente Nsue Milan,Eq. Guinea,2013-09-04,2016-06-24,Health and Social Welfare
Enrique Mercader Costa,Eq. Guinea,2004-06-15,2006-06-15,Labour and Social Security
Enrique Mercader Costa,Eq. Guinea,2006-06-15,2010-01-12,"Transport, Technology, and Posts and Telecommunications"
Estanislao Don Malavo,Eq. Guinea,2008-07-15,2010-01-12,Finance and Budget
Estanislao Don Malavo,Eq. Guinea,2010-01-12,2012-05-22,Labour and Social Security
Estanislao Don Malavo,Eq. Guinea,2015-04-15,2016-06-24,Fishing and Environment
Estanislao Don Malavo,Eq. Guinea,2016-06-24,2018-02-06,Fishing and Water Resources
Eucario Bakale Angüe,Eq. Guinea,2015-04-15,2018-02-06,"Economy, Planning and Public Investment"
Eucario Bakale Angüe,Eq. Guinea,2018-02-06,2019-04-10,"Transport, the Postal Service and Telecommunications"
Eucario Bakale Angüe,Eq. Guinea,2019-04-10,2019-12-31,Public Administration and Administrative Reform
Eugenio Edu Ndong,Eq. Guinea,2016-06-24,2018-02-06,Industry and Energy
Eugenio Nse Obiang,Eq. Guinea,2015-04-15,2019-12-31,"Information, Press, and Radio"
Eulalia Envo Bela,Eq. Guinea,2006-08-22,2012-05-22,Social Affairs and Promotion of Women
Evangelina Oyo Ebule,Eq. Guinea,2006-08-22,2008-07-15,Labour and Social Security
Evangelina Oyo Ebule,Eq. Guinea,2013-09-04,2018-02-06,"Justice, Religion, and Penitentiary Institutions"
Faustino Ndong Esono Eyang,Eq. Guinea,2013-09-04,2016-06-24,Minister without Portfolio
Faustino Ndong Esono Eyang,Eq. Guinea,2016-06-24,2019-04-10,Public Administration and Administrative Reform
Faustino Ndong Esono Eyang,Eq. Guinea,2019-04-10,2019-12-31,Interior and Local Corporations
Fausto Abeso Fuma,Eq. Guinea,2016-06-24,2018-02-06,Civil Aviation
Fernando Mbale Mba,Eq. Guinea,1998-01-23,2001-03-09,Civil Service and Administrative Reform
Fidel Nsue Micha,Eq. Guinea,2006-08-22,2008-07-15,Urban Planning and Infrastructure
Filiberto Ntutumu Nguema,Eq. Guinea,2010-01-12,2011-01-28,"Education, Science and Sport"
