item,itemLabel,position,positionLabel,start,end
,Adoracion Salas Chonco,Q112162674,Minister of Fishing,2018-02-06,2019-12-31
,Agapito Mba Mokuy,Q111021196,Minister of Foreign Affairs,2012-05-22,2018-02-06
,Alejandro Bacale Ncogo,Q111021195,Minister of Defence,2018-02-06,2019-12-31
,Alejandro Evuna Owono Asangono,Q112162678,Minister of Missions,1989-11-25,2019-12-31
,Alfonso Nsue Mokuy,Q112128225,Minister of Information,2004-06-15,2006-08-22
,Alfonso Nsue Mokuy,Q112162663,Minister at the Presidency,2006-08-22,2008-07-15
,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2012-05-22,2015-04-15
,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2015-04-15,2019-12-31
,Alfredo Mitogo Mitogo,Q111021197,Minister of Agriculture,2013-09-04,2015-04-15
,Alfredo Mitogo Mitogo,Q112162696,Minister of Trade,2015-04-15,2016-06-24
,Anastasio Asumu Mum Munoz,Q112162674,Minister of Fishing,2008-07-15,2012-05-22
,Andrés Jorge Mbomio Nsem Abu,Q112162699,Minister of Youth and Sports,2015-04-15,2017-06-13
,Angel Masie Mibuy,Q111021203,Minister of Justice,2004-06-15,2006-08-22
,Angel Masie Mibuy,Q112162690,Minister of Relations with Parliament and Legal Affairs of the Government,2006-08-22,2016-06-24
,Angel Masie Mibuy,Q112162690,Minister of Relations with Parliament and Legal Affairs of the Government,2006-08-22,2006-08-22
,Angel Masie Mibuy,Q112162701,Vice-Prime Minister,2016-06-24,2019-12-31
,Angel Serafin Seriche Dugan,Q2351213,Prime Minister,1996-03-25,2001-02-23
,Aniceto Ebiaka Muete,Q112162698,Minister of Urban Planning and Infrastructure,2004-06-15,2006-08-22
,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister,2006-08-22,2008-07-15
,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister,2008-07-15,2012-05-22
,Anselmo Ondo Eseno,Q111021199,Minister of Education,2008-07-15,2010-01-12
,Antonio Fernando Nve Ngu,Q112162680,Minister of Parliament Relations,1999-07-22,2001-03-09
,Antonio Fernando Nve Ngu,Q111021199,Minister of Education,2001-03-09,2003-02-11
,Antonio Fernando Nve Ngu,Q111021199,Minister of Education,2003-02-11,2004-06-15
,Antonio Martin Ndong Ntutumu,Q112162665,Minister of Administrative Coordination,2004-06-15,2006-08-22
,Antonio Martin Ndong Ntutumu,Q111020058,Minister of Health,2006-08-22,2008-07-15
,Antonio Mba Nguema,Q111021195,Minister of Defence,2004-06-15,2016-06-24
,Antonio Mba Nguema,Q112162684,Minister of Presidential Security,2016-06-24,2019-12-31
,Antonio Nve Nseng,Q112162681,Minister of Planning,2003-02-11,2004-06-15
,Antonio Pedro Olivera Boropu,Q112162696,Minister of Trade,2016-06-24,2018-02-06
