item,name,positionItem,position,start,end,psid
Q1149802,Candido Muatetema Rivas,Q2351213,Prime Minister,2001-03-04,2004-06-14,Q1149802-0CC941E6-8861-42F8-9DDF-FC63825DE5D1
Q1353126,Miguel Abia Biteo Borico,Q2351213,Prime Minister,2004-06-14,2006-08-14,Q1353126-D61B3587-5B21-43E3-BBBB-87FE756361E0
Q17198388,Santiago Nchama,Q112128225,Minister of Information,2006-01-01,2008-01-01,Q17198388-129a54bd-4b93-b34d-c6cd-cefed4d98968
Q17198388,Santiago Nchama,Q111021196,Minister of Foreign Affairs,1999-01-01,2003-01-01,Q17198388-8124a197-41ed-538f-da1e-7ae363bf7a15
Q2201806,Vicente Ehate Tomi,Q2351213,Prime Minister of Equatorial Guinea,2012-05-21,2016-06-22,Q2201806-64188B02-419B-4044-8F48-0C667C5F9CE9
Q24761111,Francisco Pascual Eyegue Obama Asue,Q2351213,Prime Minister,2016-06-22,,Q24761111-bcace455-4919-84b0-9b54-ac7de8dbcde2
Q251902,Ángel Serafín Seriche Dougan,Q2351213,Prime Minister of Equatorial Guinea,1996-04-11,2001-03-04,Q251902-A76F2E48-A8E6-4FE9-AD3D-EA86A084A4ED
Q477201,Nguema Teodoro Obiang,Q7925046,Vice-President,2012-05-21,,Q477201-994A9014-A18F-475E-8C72-3746518FC022
Q57385,Teodoro Obiang,Q19058522,President of Equatorial Guinea,1979-08-03,,Q57385-89f0f77d-4aba-f646-254d-58d700a57d57
Q57898,Ignacio Milam Tang,Q7925046,Vice President of Equatorial Guinea,2012-05-21,2016-06-22,Q57898-9261F20D-0C1B-4921-9771-011ED5C945E9
Q57898,Ignacio Milam Tang,Q2351213,Prime Minister of Equatorial Guinea,2008-07-08,2012-05-21,Q57898-BE0CA2C2-4124-437C-9235-EF2576C39219
Q602837,Ricardo Mangue Obama Nfube,Q2351213,Prime Minister,2006-08-14,2008-07-08,Q602837-7475A633-57C6-4F5F-ABA5-89BA5A33CE9D
