raw,transformed,position
President,President,Q19058522
President and Minister of Defence,President,Q19058522
Vice-President,Vice-President,Q7925046
Prime Minister,Prime Minister,Q2351213
Prime Minister and Minister of Administrative Coordination,Prime Minister,Q2351213
Vice-Prime Minister,Vice-Prime Minister,Q112162701
Administrative Coordination,Minister of Administrative Coordination,Q112162665
Administrative Coordination and Relations with Parliament,Minister of Administrative Coordination,Q112162665
Agriculture and Forests,Minister of Agriculture,Q111021197
"Agriculture, Livestock and Food",Minister of Agriculture,Q111021197
"Agriculture, Livestock and Rural Development",Minister of Agriculture,Q111021197
"Agriculture, Livestock, Forests, and Environment",Minister of Agriculture,Q111021197
Budget,Minister of Budget,Q112162667
Civil Aviation,Minister of Civil Aviation,Q112162668
Civil Cabinet,Minister of Civil Cabinet,Q112162669
Civil Service and Administrative Reform,Minister of Civil Service and Administrative Reform,Q112162670
Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,Minister of Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,Q112162671
Culture and Craft Production,Minister of Culture,Q112162672
"Culture, Tourism and Craft Promotion",Minister of Culture,Q112162672
Defence,Minister of Defence,Q111021195
Economy and Finance,Minister of Economy,Q111021198
"Economy, Commerce, and Business Promotion",Minister of Economy,Q111021198
"Economy, Planning and Public Investment",Minister of Economy,Q111021198
"Economy, Trade and Promotion",Minister of Economy,Q111021198
Education and Science,Minister of Education,Q111021199
"Education, Science and Francophone Affairs",Minister of Education,Q111021199
"Education, Science and Sport",Minister of Education,Q111021199
"Education, University Teaching and Sports",Minister of Education,Q111021199
External Security,Minister of External Security,Q112162673
Finance and Budget,Minister of Finance,Q111021200
"Finance, Economy and Planning",Minister of Finance,Q111021200
"Finance, Economy, and Planning",Minister of Finance,Q111021200
Fishing and Environment,Minister of Fishing,Q112162674
Fishing and Water Resources,Minister of Fishing,Q112162674
Foreign Affairs and International Cooperation,Minister of Foreign Affairs,Q111021196
"Foreign Affairs, International Cooperation and Francophone Affairs",Minister of Foreign Affairs,Q111021196
Forests and Environment,Minister of Forests,Q112162675
"Forests, Fishing and Environment",Minister of Forests,Q112162675
Health and Social Welfare,Minister of Health,Q111020058
Industry and Energy,Minister of Industry,Q111021201
"Industry, Commerce and Small and Medium Enterprises",Minister of Industry,Q111021201
"Information, Press, and Radio",Minister of Information,Q112128225
"Information, Tourism and Culture",Minister of Information,Q112128225
Infrastructure and Forests,Minister of Infrastructure and Forests,Q112162676
