raw,transformed,position
Interior and Local Corporations,Minister of Interior,Q111021202
Justice,Minister of Justice,Q111021203
Justice and Penitentiary Institutions,Minister of Justice,Q111021203
"Justice, Religion, and Penitentiary Institutions",Minister of Justice,Q111021203
Labour and Social Security,Minister of Labour,Q111021204
"Labour, Employment Promotion and Social Security",Minister of Labour,Q111021204
Mines and Energy,Minister of Mines,Q112162677
Mines and Hydrocarbons,Minister of Mines,Q112162677
"Mines, Industry and Energy",Minister of Mines,Q112162677
Minister at the Presidency,Minister at the Presidency,Q112162663
Minister without Portfolio,Minister without Portfolio,Q112162700
Missions,Minister of Missions,Q112162678
National Security,Minister of National Security,Q112162679
"Parliament Relations, Juridical Affairs and Government Spokesman",Minister of Parliament Relations,Q112162680
Planning and Economic Development,Minister of Planning,Q112162681
"Planning, Economic Development, and Public Investment",Minister of Planning,Q112162681
Political and Administrative Affairs,Minister of Political and Administrative Affairs,Q112162683
Presidential Security,Minister of Presidential Security,Q112162684
Promotion of Small and Medium Businesses,Minister of Promotion of Small and Medium Businesses,Q112162685
Public Administration and Administrative Reform,Minister of Public Administration and Administrative Reform,Q112162686
Public Service and Administrative Planning,Minister of Public Service and Administrative Planning,Q112162687
Public Works and Administrative Coordination,Minister of Public Works,Q111021205
Public Works and Infrastructure,Minister of Public Works,Q111021205
Public Works and Urban Affairs,Minister of Public Works,Q111021205
"Public Works, Housing, and Town Planning",Minister of Public Works,Q111021205
Regional Integration,Minister of Regional Integration,Q112162689
Relations with Parliament and Legal Affairs of the Government,Minister of Relations with Parliament and Legal Affairs of the Government,Q112162690
Social Affairs and Gender Equality,Minister of Social Affairs,Q112162691
Social Affairs and Promotion of Women,Minister of Social Affairs,Q112162691
Telecommunications and New Technologies,Minister of Telecommunications and New Technologies,Q112162692
Tourism,Minister of Tourism,Q112162693
Town Planning,Minister of Town Planning,Q112162694
Trade,Minister of Trade,Q112162696
Trade and Business Promotion,Minister of Trade,Q112162696
Trade and Promotion of Small and Medium Businesses,Minister of Trade,Q112162696
Transport and Communications,Minister of Transport,Q112162697
Transport and Posts,Minister of Transport,Q112162697
"Transport, Technology, and Posts and Telecommunications",Minister of Transport,Q112162697
"Transport, the Postal Service and Telecommunications",Minister of Transport,Q112162697
Urban Planning and Infrastructure,Minister of Urban Planning and Infrastructure,Q112162698
"Vice-Prime Minister and Minister for Education, University Teaching and Sports",Minister of Education,Q111021199
Vice-Prime Minister and Minister of Administrative Reform and Civil Service,Vice-Prime Minister,Q112162701
Vice-Prime Minister and Minister of Interior and Local Corporations,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Civil Service and Administrative Reform,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Domestic Policy,Vice-Prime Minister,Q112162701
"Vice-Prime Minister in charge of Domestic Policy, Urban Planning and Infrastructure",Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Economy and Finance,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Health and Social Wellbeing,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Human Rights,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Human Rights Affairs,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of National Defence and State Security,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Parliamentary Relations and Judicial Affairs,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Social Affairs and Human Rights,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of Social and Human Rights Affairs,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of the Social Sector,Vice-Prime Minister,Q112162701
Vice-Prime Minister in charge of the Social Sector and Minister of Education and Science,Vice-Prime Minister,Q112162701
"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations",Vice-Prime Minister,Q112162701
Women Advancement and Social Affairs,Minister of Women,Q28555503
Women Affairs,Minister of Women,Q28555503
Youth and Sports,Minister of Youth and Sports,Q112162699
